player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Walker Eget,146170,QB,S JOSE ST,1,7.85,0,60,285,67.4,46,53,8.7,2.49,3,1,1.6,52.8,28,17,9.7,55,91.7,3,15,,71.6,70.7,78.4,66.2,,72.9,2,1,63,0.0,71.1,0.0,0,2,0,2,2,0,0.0,258,4.9,67.6,34,37,9.0,2.48,1,1,2.4,54.1,20,10,13.0,39,65.0,3,12,,70.9,77.1,77.5,72.2,,72.9,0,1,44,0.0,68.1,0.0,0,2,0,2,1,0,0.0,206,5.6,76.5,17,21,4.5,2.28,2,0,0.0,61.9,13,7,0.0,21,35.0,0,3,,67.6,54.8,73.0,54.6,,,2,0,24,0.0,83.6,0.0,0,0,0,0,1,0,0.0,71,3.4,0,100.0,5,5,-3.8,1.58,0,0,0.0,100.0,5,0,0.0,5,8.3,0,0,,63.8,65.7,68.1,65.4,,,0,0,5,,82.5,0.0,0,0,0,0,0,0,0.0,19,3.8,-2.19
Sawyer Robertson,146839,QB,BAYLOR,1,-3.75,0,55,118,54.5,44,44,13.3,2.47,0,3,6.0,54.5,24,9,0.0,48,87.3,0,20,,70.6,63.6,29.7,65.6,,55.7,0,0,54,11.1,89.6,2.1,1,2,0,0,1,1,1.9,364,8.3,62.9,35,35,9.9,2.41,0,1,2.6,60.0,21,6,4.5,38,69.1,1,18,,70.0,59.7,25.4,62.1,,55.7,0,1,42,16.7,86.6,2.6,1,2,0,0,1,0,0.0,310,8.9,56.3,16,16,13.6,2.2,0,2,11.1,56.3,9,3,0.0,17,30.9,0,7,,67.0,71.1,72.2,70.5,,,0,0,19,0.0,104.9,0.0,0,0,0,0,1,1,5.3,135,8.4,0,100.0,7,7,-3.4,1.49,0,0,0.0,85.7,6,0,14.3,7,12.7,1,5,,64.6,66.8,69.1,66.5,,,0,1,7,,114.9,0.0,0,0,0,0,1,0,0.0,81,11.6,-0.42
Tucker Gleason,122475,QB,TOLEDO,1,8.37,0,54,316,57.5,40,44,10.7,2.6,2,2,4.0,47.7,21,23,8.7,48,88.9,2,13,,43.5,60.6,77.3,64.2,,50.2,1,1,54,4.3,64.9,2.1,1,3,0,1,1,3,5.6,263,6.0,57.7,26,27,5.5,2.68,0,0,0.0,48.1,13,12,13.3,30,55.6,2,7,,33.4,50.6,76.0,52.8,,52.7,1,1,33,8.3,43.6,3.3,1,2,0,0,0,2,6.1,109,4.0,65.0,20,23,13.7,2.22,2,2,7.7,56.5,13,12,0.0,24,44.4,0,8,,67.9,72.7,73.4,74.6,,56.3,0,0,27,0.0,119.3,0.0,0,1,0,1,2,1,3.7,227,9.9,0,83.3,6,6,-1.7,1.48,0,0,0.0,83.3,5,1,0.0,6,11.1,0,2,,64.2,60.1,68.6,59.9,,,0,0,6,0.0,156.9,0.0,0,0,0,0,1,0,0.0,73,12.2,5.83
Sam Leavitt,175465,QB,ARIZONA ST,1,-11.42,0,52,110,56.3,32,36,10.2,3.56,1,2,5.0,44.4,16,22,11.1,43,82.7,2,8,,72.0,66.1,78.1,57.0,57.8,75.5,0,1,47,13.6,43.9,7.0,3,4,0,3,0,1,2.1,141,3.9,63.0,27,29,7.1,2.85,1,2,6.3,55.2,16,16,5.9,34,65.4,1,5,,71.7,74.8,77.6,62.1,,81.6,0,0,37,18.8,62.3,8.8,3,2,0,1,0,0,0.0,99,3.4,57.1,14,16,7.4,3.92,0,0,0.0,43.8,7,6,12.5,18,34.6,1,4,,67.0,46.4,72.4,49.7,57.8,52.9,0,1,19,0.0,28.4,0.0,0,2,0,2,0,1,5.3,61,3.8,0,77.8,9,9,-3.4,1.58,0,0,0.0,77.8,7,0,0.0,9,17.3,0,1,,65.1,57.6,69.8,57.4,,,0,0,9,,79.2,0.0,0,0,0,0,0,0,0.0,19,2.1,0.4
Connor Bazelak,99135,QB,BOWL GREEN,1,-16.56,0,52,122,65.8,38,39,10.4,2.57,0,0,0.0,61.5,24,18,4.0,41,78.8,1,15,,69.2,56.4,76.7,55.7,,,1,0,43,11.1,112.2,4.9,2,0,0,0,3,1,2.3,311,8.0,76.9,26,26,8.1,2.34,0,0,0.0,73.1,19,4,5.0,29,55.8,1,11,,68.2,67.4,75.9,66.6,,,0,0,31,75.0,112.5,10.3,3,0,0,0,1,0,0.0,229,8.8,65.0,20,23,8.4,2.53,1,0,0.0,56.5,13,14,0.0,23,44.2,0,7,,67.5,45.0,72.8,45.0,,,1,0,23,0.0,107.3,0.0,0,0,0,1,2,1,4.3,161,7.0,0,100.0,8,10,-2.1,1.87,1,0,0.0,80.0,8,0,0.0,11,21.2,0,3,,65.4,62.0,70.4,61.7,,,0,0,11,,99.6,9.1,1,0,0,1,0,0,0.0,79,7.9,-1.81
Dillon Gabriel,86272,QB,OREGON,1,-7.33,0,52,264,81.3,32,37,9.8,3.59,2,1,2.6,67.6,25,23,3.8,47,90.4,1,13,,69.9,56.4,76.6,58.0,,53.5,2,0,48,30.4,107.6,14.9,7,3,0,1,2,2,4.2,277,7.5,82.1,28,31,8.7,3.57,1,1,3.2,71.0,22,20,4.3,40,76.9,1,11,,69.5,55.6,76.2,57.5,60.0,53.5,1,0,40,30.0,113.6,15.0,6,3,0,1,2,2,5.0,230,7.4,87.5,8,11,6.8,2.77,2,0,0.0,63.6,7,3,0.0,12,23.1,0,3,,66.0,62.0,71.0,61.7,,,1,0,13,33.3,81.3,8.3,1,0,0,0,0,0,0.0,69,6.3,0,100.0,4,5,-4.0,1.44,1,0,0.0,80.0,4,0,0.0,5,9.6,0,1,,63.8,61.8,68.6,62.4,60.0,,0,0,5,,85.0,0.0,0,0,0,0,0,0,0.0,22,4.4,-1.15
Michael Hawkins Jr.,184595,QB,OKLAHOMA,1,1.96,0,51,261,78.8,33,36,10.5,3.49,0,2,5.1,63.9,23,15,11.5,44,86.3,3,14,,45.4,75.6,77.5,72.2,,68.3,0,0,48,26.7,101.4,9.1,4,4,0,3,2,1,2.1,238,6.6,80.6,31,34,9.0,3.25,0,1,2.9,64.7,22,14,12.0,42,82.4,3,13,,43.7,78.4,77.3,75.6,,68.3,0,0,43,28.6,102.8,9.5,4,4,0,3,2,1,2.3,222,6.5,88.9,9,9,6.0,2.9,0,1,9.1,66.7,6,1,25.0,9,17.6,2,1,,65.8,59.9,70.7,59.7,,,0,0,12,0.0,70.1,0.0,0,0,0,0,0,0,0.0,25,2.8,0,100.0,7,7,-2.1,1.34,0,0,0.0,71.4,5,0,28.6,7,13.7,2,0,,64.6,66.8,69.1,66.5,,,0,0,7,,74.1,0.0,0,0,0,0,0,0,0.0,9,1.3,-3.75
Demond Williams Jr.,183648,QB,WASHINGTON,1,10.63,0,50,340,83.3,24,26,13.2,3.68,0,4,13.8,76.9,20,22,0.0,43,86.0,0,16,,70.2,83.3,76.7,82.5,,67.3,0,1,46,22.7,141.8,11.6,5,12,0,2,4,1,2.2,351,13.5,85.7,21,23,9.6,3.41,0,4,16.0,78.3,18,17,0.0,36,72.0,0,12,,69.8,78.4,76.2,78.5,,64.7,0,1,38,23.5,132.9,11.1,4,9,0,2,4,1,2.6,247,10.7,88.9,9,9,10.7,3.44,0,0,0.0,88.9,8,6,0.0,14,28.0,0,5,,66.4,80.0,71.4,76.8,,67.0,0,0,15,33.3,118.8,14.3,2,3,0,0,0,0,0.0,127,14.1,0,100.0,6,6,-3.3,1.81,0,0,0.0,100.0,6,1,0.0,7,14.0,0,1,,64.6,64.2,69.1,63.9,,,0,0,7,100.0,82.6,14.3,1,0,0,0,0,0,0.0,23,3.8,3.37
Grayson James,145214,QB,BOSTON COL,1,0.3,0,50,121,65.5,29,33,12.7,2.99,2,2,5.7,54.5,18,20,5.3,40,80.0,1,13,,32.5,52.7,76.3,48.7,,65.4,0,0,42,15.0,72.3,7.5,3,4,0,2,0,4,9.5,196,5.9,71.4,28,30,9.5,2.65,1,1,3.1,63.3,19,17,5.0,38,76.0,1,13,,69.3,62.2,76.2,58.9,,65.4,0,0,40,11.8,85.8,5.3,2,4,0,1,0,1,2.5,223,7.4,77.8,9,11,8.6,2.83,1,1,8.3,63.6,7,5,0.0,12,24.0,0,3,,20.0,38.0,71.0,38.1,,,0,0,13,20.0,84.7,8.3,1,0,0,1,0,3,23.1,78,7.1,0,100.0,8,8,-3.3,1.52,0,0,0.0,100.0,8,2,0.0,10,20.0,0,3,,65.6,63.1,70.4,62.9,,,0,0,11,0.0,118.8,0.0,0,0,0,0,0,0,0.0,105,13.1,-0.34
Marcel Reed,175940,QB,TEXAS A&M,1,6.06,0,47,312,71.9,32,36,9.8,2.74,0,1,2.7,58.3,21,11,8.7,41,87.2,2,13,,70.8,60.4,76.9,59.7,,59.8,1,2,42,9.1,86.6,2.4,1,4,0,3,3,2,4.8,270,7.5,70.0,30,33,8.8,2.57,0,1,2.9,60.6,20,9,4.8,37,78.7,1,13,,70.6,59.5,76.7,57.5,,62.0,1,2,38,11.1,85.7,2.7,1,3,0,2,3,2,5.3,222,6.7,100.0,8,9,4.0,2.6,0,0,0.0,66.7,6,2,25.0,10,21.3,2,2,,65.4,67.5,70.1,71.6,,57.3,0,0,10,0.0,90.0,0.0,0,1,0,1,0,0,0.0,70,7.8,0,100.0,6,6,-3.2,1.42,0,0,0.0,83.3,5,0,16.7,6,12.8,1,2,,64.2,66.2,68.6,65.9,,,0,0,6,,81.9,0.0,0,0,0,0,0,0,0.0,22,3.7,1.05
