player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Seth Henigan,144267,QB,MEMPHIS,1,32.65,0,61,218,66.0,50,55,13.4,3.19,0,1,1.7,56.4,31,11,6.1,60,98.4,2,18,,,,45.3,66.9,78.2,64.8,,,64.9,0,1,64,9.1,81.4,1.7,1,4,0,5,2,3,4.7,367,6.7,63.6,44,49,13.0,3.22,0,1,1.9,53.1,26,10,7.1,54,88.5,2,14,,,,43.3,61.0,78.0,58.4,,,64.9,0,1,58,10.0,68.5,1.9,1,4,0,5,1,3,5.2,281,5.7,85.7,7,7,13.3,2.71,0,0,0.0,85.7,6,1,0.0,7,11.5,0,4,,,,64.6,89.1,69.1,88.3,,,,0,0,7,0.0,158.3,0.0,0,0,0,0,1,0,0.0,90,12.9,0,100.0,1,1,-3.0,1.2,0,0,0.0,100.0,1,0,0.0,1,1.6,0,0,,,,60.3,60.8,63.6,60.6,,,,0,0,1,,83.3,0.0,0,0,0,0,0,0,0.0,4,4.0,7.13
John Mateer,158516,QB,WASH STATE,1,-20.1,0,60,341,67.5,40,43,15.7,3.31,0,4,8.9,55.8,24,19,11.1,55,91.7,3,19,,,,72.1,79.2,78.2,72.6,,,74.1,1,2,58,15.8,95.4,5.5,3,9,0,2,4,2,3.4,363,8.4,74.2,31,34,11.9,3.17,1,3,8.6,61.8,21,14,8.7,44,73.3,2,15,,,,71.7,88.6,77.6,83.4,,,74.5,1,0,46,14.3,127.5,4.5,2,7,0,1,4,0,0.0,283,8.3,54.5,11,12,22.9,2.97,0,1,7.1,41.7,5,5,16.7,16,26.7,1,5,,,,66.8,47.7,72.0,45.7,,,62.1,0,2,18,20.0,34.4,6.3,1,2,0,1,0,2,11.1,107,8.9,0,100.0,2,3,-3.0,0.96,1,0,0.0,66.7,2,0,0.0,5,8.3,0,1,,,,64.2,57.4,68.6,57.2,,,,0,0,6,,95.1,0.0,0,0,0,0,0,0,0.0,27,9.0,0.6
Jacolby Criswell,122830,QB,N CAROLINA,1,14.74,0,56,245,65.9,41,43,15.0,3.26,1,2,4.0,55.8,24,18,11.1,50,89.3,3,21,,,,25.0,64.7,77.6,61.6,,,67.9,0,2,57,16.7,94.4,6.0,3,4,0,1,3,4,7.0,433,10.1,65.7,35,38,11.1,3.02,1,0,0.0,55.3,21,18,8.7,46,82.1,2,17,,,,24.3,49.5,77.3,45.1,,,67.9,1,2,53,16.7,67.2,6.5,3,4,0,1,1,4,7.5,294,7.7,80.0,10,10,21.6,3.3,0,2,20.0,70.0,7,2,12.5,10,17.9,1,7,,,,65.4,92.8,70.7,92.3,,,,0,0,10,0.0,152.1,0.0,0,0,0,0,2,0,0.0,183,18.3,0,100.0,4,5,-2.3,1.52,0,0,0.0,80.0,4,2,0.0,6,10.7,0,3,,,,64.2,53.9,68.6,53.8,,,,1,0,6,0.0,103.3,0.0,0,0,0,0,0,0,0.0,44,8.8,10.56
Emmett Brown,157344,QB,S JOSE ST,1,-8.33,0,56,285,72.0,50,53,11.1,2.47,1,6,10.3,64.2,34,18,5.6,55,98.2,2,18,,,,26.2,60.0,77.4,60.6,,,55.5,0,2,61,5.6,94.4,1.8,1,1,0,2,4,7,11.5,374,7.1,75.0,40,42,10.8,2.54,0,6,13.0,66.7,28,15,6.7,44,78.6,2,16,,,,24.0,63.0,76.7,64.0,,,55.5,0,1,49,6.7,112.1,2.3,1,1,0,2,4,6,12.2,329,7.8,63.6,11,12,10.6,2.13,1,0,0.0,58.3,7,3,0.0,12,21.4,0,2,,,,66.0,51.6,71.0,51.5,,,,0,1,13,0.0,31.9,0.0,0,0,0,0,0,1,7.7,46,3.8,0,100.0,1,1,-3.0,1.4,0,0,0.0,100.0,1,0,0.0,1,1.8,0,0,,,,60.3,60.6,63.6,60.4,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,1,1.0,-4.0
Devon Dampier,171556,QB,NEW MEXICO,1,-39.77,0,56,241,69.6,46,49,10.8,2.75,0,2,3.8,59.2,29,15,9.4,52,92.9,3,18,,,,72.3,74.5,77.8,74.8,,,61.3,0,2,56,0.0,68.9,0.0,0,3,0,3,1,2,3.6,326,6.7,78.0,41,43,9.2,2.65,0,1,2.2,69.8,30,12,6.3,46,82.1,2,17,,,,72.1,74.0,77.4,74.5,,,61.3,0,2,48,0.0,77.6,0.0,0,3,0,2,1,2,4.2,299,7.0,44.4,9,10,12.2,2.8,0,1,8.3,30.0,3,3,25.0,10,17.9,1,1,,,,65.8,69.1,70.7,68.7,,,,0,0,12,0.0,41.7,0.0,0,0,0,1,0,0,0.0,35,3.5,0,100.0,4,4,-2.0,1.8,0,0,0.0,100.0,4,0,0.0,4,7.1,0,0,,,,63.3,65.0,67.4,64.8,,,,0,0,4,,79.2,0.0,0,0,0,0,0,0,0.0,8,2.0,-3.45
Shedeur Sanders,131396,QB,COLORADO,1,12.61,0,55,143,69.0,29,34,14.6,3.72,2,3,7.7,52.9,18,28,10.0,48,87.3,2,14,,,,71.9,82.9,77.8,74.0,,,79.5,0,0,56,28.6,103.6,16.7,8,6,0,3,2,0,0.0,308,9.1,73.3,30,34,13.4,3.67,1,3,7.7,58.8,20,24,9.1,44,80.0,2,12,,,,71.8,87.0,77.6,78.2,,,81.1,0,0,52,25.0,109.3,13.6,6,4,0,3,2,0,0.0,315,9.3,83.3,6,7,0.7,2.81,1,0,0.0,71.4,5,4,0.0,11,20.0,0,3,,,,65.6,54.2,70.4,51.5,,,61.3,0,0,11,50.0,77.1,18.2,2,2,0,0,0,0,0.0,26,3.7,0,100.0,7,7,-2.3,1.99,0,0,0.0,100.0,7,0,0.0,7,12.7,0,1,,,,64.6,66.8,69.1,66.5,,,,0,0,7,,86.3,0.0,0,0,0,0,0,0,0.0,33,4.7,-5.55
Miller Moss,70727,QB,USC,1,-2.94,0,55,326,67.6,34,41,9.1,2.66,1,1,2.4,53.7,22,24,4.3,45,81.8,1,14,,,,35.8,60.5,76.8,60.4,54.3,,,4,1,46,16.7,89.0,8.9,4,0,0,2,3,3,6.5,275,6.7,67.9,28,34,5.3,2.46,1,0,0.0,55.9,19,19,0.0,37,67.3,0,10,,,,31.3,51.2,76.3,50.9,54.3,,,4,1,39,15.8,70.7,8.1,3,0,0,1,1,3,7.7,200,5.9,71.4,14,17,9.0,2.65,1,1,5.6,52.9,9,6,10.0,18,32.7,1,4,,,,67.0,76.0,72.2,75.4,,,,0,0,19,16.7,105.8,5.6,1,0,0,2,2,0,0.0,83,4.9,0,75.0,8,10,-4.4,1.88,1,0,0.0,60.0,6,1,0.0,10,18.2,0,0,,,,65.8,60.4,70.7,60.1,,,,0,0,12,0.0,64.6,0.0,0,0,0,1,0,0,0.0,8,0.8,-1.0
Fernando Mendoza,158323,QB,CAL,1,-6.99,0,49,130,66.7,30,32,12.9,2.8,0,1,3.1,53.1,17,19,15.0,44,89.8,3,16,,,,35.0,56.9,27.3,57.3,,,60.0,0,1,44,36.8,70.6,15.9,7,5,1,1,0,2,4.5,286,8.9,75.0,24,26,8.3,2.6,0,0,0.0,61.5,16,14,11.1,36,73.5,2,10,,,,29.9,51.2,24.2,49.5,,,62.6,0,1,36,42.9,63.9,16.7,6,4,1,1,0,2,5.6,166,6.4,63.6,11,11,16.4,2.76,0,1,9.1,54.5,6,5,14.3,13,26.5,1,6,,,,66.0,71.4,71.0,73.8,,,57.3,0,0,13,20.0,99.4,7.7,1,1,0,0,0,0,0.0,137,12.5,0,100.0,5,5,-1.8,1.26,0,0,0.0,100.0,5,0,0.0,5,10.2,0,0,,,,63.8,65.6,68.1,65.3,,,,0,0,5,,80.8,0.0,0,0,0,0,0,0,0.0,17,3.4,6.07
Ethan Hampton,145858,QB,N ILLINOIS,1,0.51,0,48,254,66.7,33,39,9.0,2.73,2,1,2.5,48.7,19,16,13.6,43,89.6,3,12,,,,33.7,68.9,77.8,68.8,,,59.1,1,1,44,6.3,52.1,2.3,1,3,0,3,0,2,4.5,188,4.8,68.0,25,30,6.9,2.46,2,0,0.0,53.3,16,12,5.9,32,66.7,1,10,,,,68.4,70.2,77.2,68.8,,,62.5,1,1,32,0.0,53.2,0.0,0,2,0,2,0,1,3.1,148,4.9,75.0,12,13,9.8,3.05,0,1,7.1,53.8,7,5,22.2,16,33.3,2,2,,,,22.4,60.9,71.8,65.6,,,53.1,0,0,17,20.0,61.7,6.3,1,2,0,1,0,1,5.9,46,3.5,0,100.0,4,4,-1.8,2.08,0,0,0.0,100.0,4,1,0.0,5,10.4,0,0,,,,63.8,59.4,68.1,64.7,,,57.3,0,0,5,0.0,79.2,0.0,0,1,0,0,0,0,0.0,6,1.5,-1.39
Spencer Petras,82136,QB,UTAH ST,1,-14.29,0,47,329,69.2,39,40,9.8,2.61,0,1,2.4,60.0,24,7,11.1,43,91.5,3,14,,,,34.3,56.8,77.4,56.8,,,57.3,0,1,45,28.6,77.3,4.7,2,1,0,1,1,4,8.9,262,6.6,74.1,27,28,6.9,2.62,0,0,0.0,64.3,18,5,10.0,30,63.8,2,11,,,,68.3,57.9,76.7,57.9,,,57.3,0,1,31,20.0,80.5,3.3,1,1,0,1,1,2,6.5,187,6.7,60.0,15,16,12.6,2.56,0,1,5.9,50.0,8,3,11.1,17,36.2,1,5,,,,22.9,54.9,72.0,54.8,,,,0,0,18,33.3,92.2,5.9,1,0,0,1,1,2,11.1,106,6.6,0,66.7,3,4,-1.7,2.5,0,0,0.0,50.0,2,1,0.0,4,8.5,0,2,,,,63.3,54.2,67.4,54.1,,,,0,0,4,0.0,115.6,0.0,0,0,0,1,1,0,0.0,31,7.8,-0.05
