player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Kevin Jennings,158272,QB,SMU,1,28.41,0,54,287,73.8,42,46,10.3,3.14,2,2,4.2,58.7,27,14,12.9,48,88.9,4,18,,45.2,78.9,77.6,74.7,,71.6,0,1,50,14.3,90.0,4.2,2,0,0,2,3,2,4.0,291,6.3,75.0,40,44,7.7,2.76,2,1,2.2,59.1,26,11,13.3,44,81.5,4,13,,72.3,76.5,77.3,71.9,,71.6,0,1,46,0.0,73.9,0.0,0,0,0,2,2,1,2.2,178,4.0,87.5,8,8,14.3,3.84,0,1,12.5,87.5,7,3,0.0,10,18.5,0,6,,18.0,72.5,70.4,71.9,,,0,0,10,66.7,158.3,20.0,2,0,0,0,1,1,10.0,136,17.0,0,100.0,6,6,-2.0,1.58,0,0,0.0,100.0,6,0,0.0,6,11.1,0,1,,64.2,60.6,68.6,60.4,,,0,0,6,,82.6,0.0,0,0,0,0,0,0,0.0,23,3.8,12.95
Quinn Ewers,127253,QB,TEXAS,1,16.57,0,52,311,77.1,35,40,10.9,2.6,1,4,9.5,55.0,22,17,18.5,46,88.5,5,14,,69.6,88.1,76.9,88.4,,57.3,1,2,49,35.3,70.1,13.0,6,0,0,3,1,2,4.1,333,8.3,70.8,24,27,11.0,2.31,1,3,10.3,51.9,14,9,17.6,29,55.8,3,8,,68.3,79.0,75.8,78.2,,,1,2,31,22.2,44.7,6.9,2,0,0,1,0,2,6.5,196,7.3,94.1,17,19,5.6,2.87,0,1,5.3,68.4,13,8,18.8,23,44.2,3,8,,67.6,88.5,73.0,90.1,,57.3,0,0,24,50.0,112.2,17.4,4,0,0,2,1,0,0.0,162,8.5,0,100.0,6,6,-3.7,2.25,0,0,0.0,83.3,5,0,16.7,6,11.5,1,2,,64.2,66.3,68.6,66.0,,,0,0,6,,84.0,0.0,0,0,0,0,0,0,0.0,25,4.2,1.27
Cade Klubnik,156253,QB,CLEMSON,1,10.42,0,45,140,63.3,30,33,10.6,2.93,0,1,2.9,48.5,16,16,15.8,37,82.2,3,12,,41.7,70.4,76.7,76.2,,52.3,0,0,38,18.8,102.6,8.1,3,1,0,3,3,1,2.6,236,7.2,70.0,30,32,8.0,2.65,0,1,3.0,56.3,18,11,14.3,35,77.8,3,11,,40.8,72.7,76.5,77.8,,53.8,0,0,36,27.3,117.3,8.6,3,0,0,2,4,1,2.8,221,6.9,75.0,8,9,6.0,2.61,0,0,0.0,66.7,6,6,0.0,10,22.2,0,3,,65.4,60.7,70.1,63.7,,57.3,0,0,10,0.0,76.2,0.0,0,1,0,1,0,0,0.0,40,4.4,0,100.0,8,8,-3.8,1.31,0,0,0.0,100.0,8,1,0.0,8,17.8,0,2,,64.9,67.3,69.5,67.0,,,0,0,8,0.0,119.3,0.0,0,0,0,0,1,0,0.0,25,3.1,-2.47
Drew Allar,164157,QB,PENN STATE,1,2.63,0,41,266,57.1,35,37,10.5,2.76,0,3,7.9,51.4,19,11,5.0,39,95.1,1,14,,70.7,69.1,77.9,66.3,57.2,68.6,0,2,40,0.0,74.8,0.0,0,2,0,2,3,2,5.0,226,6.1,50.0,20,20,8.5,2.7,0,1,4.8,50.0,10,4,0.0,21,51.2,0,6,,69.8,56.8,76.9,52.3,,65.0,0,2,22,0.0,40.8,0.0,0,1,0,0,1,2,9.1,96,4.8,64.7,17,19,11.4,2.73,0,2,10.5,52.6,10,8,9.1,20,48.8,1,8,,67.1,79.3,72.8,77.6,57.2,64.3,0,0,20,0.0,109.5,0.0,0,1,0,2,2,0,0.0,130,6.8,0,50.0,2,2,-2.5,1.8,0,0,0.0,50.0,1,1,0.0,2,4.9,0,0,,61.8,54.4,65.5,54.6,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,0,0.0,2.04
Rocco Becht,157567,QB,IOWA STATE,1,16.73,0,39,193,74.1,27,34,10.8,3.02,3,3,8.6,58.8,20,9,0.0,36,92.3,0,13,,70.2,90.4,76.5,82.7,,83.7,0,1,38,0.0,83.8,0.0,0,2,0,4,2,0,0.0,207,6.1,70.0,20,25,12.0,2.95,2,3,11.5,56.0,14,6,0.0,26,66.7,0,7,,69.7,89.0,75.9,82.7,,76.3,0,1,28,0.0,71.6,0.0,0,1,0,3,1,0,0.0,157,6.3,88.9,9,11,4.8,2.65,1,0,0.0,72.7,8,3,0.0,13,33.3,0,7,,66.0,78.6,71.0,69.5,,69.4,0,0,13,0.0,118.8,0.0,0,1,0,1,1,0,0.0,68,6.2,0,100.0,2,2,-5.0,0.87,0,0,0.0,100.0,2,0,0.0,3,7.7,0,1,,62.7,60.3,66.6,60.2,,,0,0,3,,104.2,0.0,0,0,0,0,0,0,0.0,18,9.0,-0.1
Hajj-Malik Williams,102348,QB,UNLV,1,14.29,0,38,325,40.0,25,25,14.5,3.01,0,2,7.7,40.0,10,14,0.0,35,92.1,0,4,,24.3,40.4,21.9,31.2,,65.5,0,1,36,42.9,34.3,17.1,6,4,0,0,0,4,11.1,93,3.7,42.9,21,21,14.6,2.91,0,2,9.1,42.9,9,11,0.0,28,73.7,0,3,,22.7,39.7,18.4,30.4,,65.2,0,1,29,45.5,33.4,17.9,5,2,0,0,0,4,13.8,78,3.7,57.1,7,7,6.9,2.9,0,0,0.0,57.1,4,3,0.0,10,26.3,0,2,,65.4,57.5,70.1,55.0,,61.8,0,0,10,33.3,68.8,10.0,1,2,0,0,0,0,0.0,32,4.6,0,100.0,3,3,-2.7,1.77,0,0,0.0,100.0,3,0,0.0,3,7.9,0,1,,62.7,64.1,66.6,63.9,,,0,0,3,,90.3,0.0,0,0,0,0,0,0,0.0,17,5.7,0.86
Dillon Gabriel,86272,QB,OREGON,1,-3.33,0,35,264,85.0,20,23,10.1,2.9,3,0,0.0,69.6,16,11,5.9,26,74.3,1,12,,29.4,81.3,76.7,88.3,,53.4,0,0,26,9.1,145.5,3.8,1,2,0,0,4,0,0.0,253,11.0,78.9,19,20,7.2,2.67,1,0,0.0,70.0,14,6,6.7,22,62.9,1,9,,28.2,71.2,76.5,77.3,,53.4,0,0,22,0.0,127.9,0.0,0,2,0,0,2,0,0.0,164,8.2,100.0,10,12,3.9,2.25,2,0,0.0,66.7,8,5,20.0,13,37.1,2,4,,66.0,85.6,71.0,85.0,,,0,0,13,20.0,138.5,7.7,1,0,0,0,2,0,0.0,119,9.9,0,88.9,9,9,-2.8,1.4,0,0,0.0,66.7,6,0,25.0,9,25.7,2,1,,65.1,62.6,69.8,62.3,,,0,0,9,,71.5,0.0,0,0,0,0,0,0,0.0,30,3.3,1.72
Darian Mensah,169984,QB,TULANE,1,8.44,0,33,319,73.9,23,24,11.3,3.89,0,0,0.0,66.7,16,11,5.9,31,93.9,1,10,,40.3,53.6,75.9,53.1,,57.7,1,1,31,9.1,103.8,3.2,1,6,0,0,2,2,6.5,206,8.6,71.4,14,14,12.1,3.85,0,0,0.0,64.3,9,8,10.0,20,60.6,1,5,,22.8,61.9,75.0,58.9,,62.9,0,0,20,25.0,116.1,10.0,2,4,0,0,1,2,10.0,123,8.8,80.0,10,11,8.7,3.55,0,0,0.0,72.7,8,3,0.0,13,39.4,0,5,,25.1,35.2,71.0,39.2,,51.8,1,1,13,0.0,87.7,0.0,0,2,0,0,1,1,7.7,86,7.8,0,100.0,1,1,-2.0,1.25,0,0,0.0,100.0,1,0,0.0,2,6.1,0,0,,5.8,36.6,65.5,37.6,,,0,0,2,,79.2,50.0,1,0,0,0,0,1,50.0,3,3.0,-0.97
Caden Veltkamp,156642,QB,W KENTUCKY,1,-33.33,0,33,346,54.2,24,25,13.4,2.58,0,0,0.0,52.0,13,12,0.0,28,84.8,0,5,,26.3,60.3,76.2,59.9,,59.4,0,0,33,25.0,81.3,10.7,3,0,0,1,1,1,3.0,135,5.4,69.6,23,24,10.1,2.45,0,0,0.0,66.7,16,10,0.0,26,78.8,0,6,,26.0,65.2,76.1,64.9,,59.4,0,0,31,20.0,94.1,7.7,2,0,0,1,1,1,3.2,130,5.4,33.3,6,6,12.8,2.23,0,0,0.0,33.3,2,2,0.0,7,21.2,0,0,,64.2,50.2,69.1,50.2,,,0,0,7,50.0,42.4,14.3,1,0,0,0,0,0,0.0,11,1.8,0,100.0,5,5,-2.4,1.4,0,0,0.0,100.0,5,0,0.0,5,15.2,0,1,,63.8,65.7,68.1,65.4,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,6,1.2,-3.59
Daniel Beale,197861,QB,LA LAFAYET,1,-12.61,0,31,207,60.0,20,23,12.1,3.26,1,1,4.0,34.8,8,13,33.3,30,96.8,4,5,,69.4,45.0,75.4,51.9,,44.4,0,1,32,15.4,30.2,6.7,2,5,0,2,0,1,3.1,95,4.1,64.3,14,17,7.1,2.95,1,0,0.0,41.2,7,6,22.2,20,64.5,2,3,,68.6,41.2,74.5,46.1,,47.7,0,0,21,0.0,51.6,0.0,0,3,0,2,0,0,0.0,62,3.6,57.1,7,7,19.9,3.73,0,1,12.5,28.6,2,7,50.0,11,35.5,2,2,,65.8,58.0,70.7,64.0,,51.8,0,1,12,28.6,7.1,18.2,2,2,0,0,0,1,8.3,33,4.7,0,100.0,1,1,-3.0,2.2,0,0,0.0,100.0,1,0,0.0,1,3.2,0,0,,60.3,61.1,63.6,61.0,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,0,0.0,1.06
