player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_overall_tackle,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_grades_run_defense,no_screen_grades_tackle,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_overall_tackle,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_grades_run_defense,npa_grades_tackle,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_overall_tackle,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_grades_run_defense,pa_grades_tackle,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_overall_tackle,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_grades_run_defense,screen_grades_tackle,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Malik Washington,198729,QB,MARYLAND,1,21.18,0,67,215,69.2,52,55,12.9,2.88,0,3,5.5,60.0,33,22,8.3,60,89.6,3,20,,,,,70.9,71.5,77.0,,72.2,,,57.7,,,1,1,60,9.1,95.1,3.3,2,3,0,2,3,2,3.3,428,7.8,70.8,48,51,12.3,2.8,0,3,5.9,58.8,30,21,11.8,57,85.1,4,19,,,,,70.8,70.9,76.9,,71.7,,,57.7,,,1,1,57,9.5,94.0,3.5,2,3,0,2,3,2,3.5,385,7.5,80.0,10,10,6.2,2.3,0,0,0.0,80.0,8,1,0.0,10,14.9,0,4,,,,,65.4,67.3,70.1,,67.0,,,,,,0,0,10,0.0,97.5,0.0,0,0,0,0,0,0,0.0,74,7.4,0,100.0,6,6,-2.7,1.41,0,0,0.0,83.3,5,0,16.7,7,10.4,1,3,,,,,64.6,64.2,69.1,,63.9,,,,,,0,0,7,,88.2,0.0,0,0,0,0,0,0,0.0,31,5.2,-0.15
Max Cutforth,176220,QB,BOISE ST,1,-4.05,0,53,120,65.1,43,46,9.2,2.95,1,2,4.1,50.0,23,16,17.9,49,92.5,5,15,,,,,69.8,59.3,78.3,,56.9,,,64.2,,,0,0,53,12.5,79.5,4.1,2,1,0,2,1,4,7.5,315,6.8,70.6,34,37,7.8,2.74,1,1,2.5,54.1,20,12,16.7,39,73.6,4,12,,,,,69.2,57.9,77.8,,55.0,,,64.2,,,0,0,43,8.3,94.4,2.6,1,1,0,2,2,3,7.0,260,7.0,58.3,12,12,9.5,3.29,0,1,8.3,50.0,6,4,14.3,14,26.4,1,4,,,,,66.2,63.8,71.2,,63.5,,,,,,0,0,14,25.0,71.9,7.1,1,0,0,0,0,1,7.1,81,6.8,0,100.0,3,3,-6.0,2.15,0,0,0.0,100.0,3,0,0.0,4,7.5,0,1,,,,,63.3,61.5,67.4,,61.4,,,,,,0,0,4,,142.4,0.0,0,0,0,0,1,0,0.0,26,8.7,-0.28
Robby Ashford,131702,QB,WAKE,1,-15.71,0,52,339,79.4,34,37,11.4,3.07,1,6,14.6,59.5,22,17,18.5,46,88.5,5,19,,,,,44.9,90.8,77.2,,91.3,,,66.0,,,0,1,50,11.8,95.1,4.3,2,6,0,2,2,1,2.0,326,8.8,81.8,33,35,7.7,2.85,0,5,13.2,65.7,23,13,14.8,42,80.8,4,15,,,,,43.2,86.2,76.9,,88.5,,,64.4,,,0,1,45,15.4,98.9,4.8,2,5,0,2,2,1,2.2,293,8.4,71.4,7,8,16.0,3.12,1,1,11.1,50.0,4,5,20.0,10,19.2,1,4,,,,,65.6,88.5,70.4,,85.7,,,63.2,,,0,0,11,0.0,67.7,0.0,0,1,0,0,0,0,0.0,46,5.8,0,83.3,6,6,-4.0,1.6,0,0,0.0,83.3,5,1,0.0,6,11.5,0,0,,,,,64.2,60.0,68.6,,59.8,,,,,,0,0,6,0.0,79.2,0.0,0,0,0,0,0,0,0.0,13,2.2,-2.62
Jaylen Raynor,172203,QB,ARK STATE,1,-20.73,0,52,113,76.2,42,44,9.4,2.83,1,4,8.9,65.9,29,8,9.4,49,94.2,3,18,,,,,45.6,77.2,77.5,,83.6,,,51.9,,,1,1,50,37.5,102.7,6.1,3,2,0,0,3,1,2.0,342,7.8,79.5,39,41,8.1,2.74,1,4,9.5,70.7,29,5,6.5,45,86.5,2,18,,,,,44.6,80.1,77.3,,87.6,,,51.9,,,1,1,46,40.0,110.3,4.4,2,2,0,0,3,1,2.2,345,8.4,66.7,6,6,11.0,2.96,0,0,0.0,50.0,3,3,25.0,7,13.5,1,1,,,,,64.2,54.4,69.1,,54.3,,,,,,0,0,7,33.3,56.3,14.3,1,0,0,0,0,0,0.0,18,3.0,0,100.0,3,3,-3.7,1.87,0,0,0.0,100.0,3,0,0.0,3,5.8,0,1,,,,,62.7,64.1,66.6,,63.9,,,,,,0,0,3,,95.8,0.0,0,0,0,0,0,0,0.0,21,7.0,-5.41
Ashton Daniels,157259,QB,AUBURN,1,-26.61,0,51,115,65.7,35,36,10.2,3.05,0,1,2.6,44.4,16,18,30.4,48,94.1,7,13,,,,,73.3,61.4,77.2,,58.8,,,62.5,,,0,1,51,5.6,65.6,2.1,1,11,0,1,1,2,3.9,249,6.9,70.0,30,31,8.6,3.03,1,1,3.0,51.6,16,16,23.8,42,82.4,5,13,,,,,73.2,68.3,76.8,,66.7,,,63.7,,,0,1,44,6.3,74.4,2.4,1,10,0,0,1,1,2.3,238,7.7,57.1,7,8,12.9,2.57,0,0,0.0,25.0,2,2,50.0,9,17.6,2,1,,,,,65.4,39.2,70.1,,41.1,,,57.3,,,0,0,10,0.0,39.6,0.0,0,1,0,1,0,1,10.0,21,2.6,0,100.0,2,3,-5.0,1.4,1,0,0.0,66.7,2,0,0.0,3,5.9,0,1,,,,,62.7,60.3,66.6,,60.2,,,,,,0,0,3,,71.5,0.0,0,0,0,0,0,0,0.0,10,3.3,-5.05
Tristan Ti'a,204242,QB,OREGON ST,1,-7.2,0,50,265,77.1,35,36,10.3,2.94,0,1,2.6,69.4,25,17,7.4,45,90.0,2,12,,,,,16.4,41.7,25.4,,50.1,,,35.9,,,1,2,49,35.3,72.7,13.3,6,3,0,0,1,5,10.2,230,6.4,80.6,31,33,7.9,2.78,1,1,2.9,69.7,23,12,8.0,41,82.0,2,10,,,,,15.2,43.1,23.3,,52.6,,,35.9,,,1,1,44,41.7,82.5,12.2,5,3,0,0,1,4,9.1,197,6.0,62.5,8,8,12.3,2.93,0,0,0.0,62.5,5,5,0.0,9,18.0,0,2,,,,,65.4,52.1,70.1,,52.1,,,,,,0,1,10,20.0,37.0,11.1,1,0,0,0,0,1,10.0,43,5.4,0,75.0,4,5,-4.3,1.68,1,0,0.0,60.0,3,0,0.0,5,10.0,0,0,,,,,63.8,62.6,68.1,,62.3,,,,,,0,0,5,,64.6,0.0,0,0,0,0,0,0,0.0,10,2.0,-0.59
Ryan Browne,174949,QB,PURDUE,1,25.97,0,50,273,54.1,37,39,13.6,3.58,0,4,10.0,46.2,18,14,10.0,42,84.0,2,11,,,,,34.4,55.8,76.6,,63.3,,,36.0,,,0,1,43,0.0,53.8,0.0,0,3,0,2,0,3,7.0,224,5.7,54.8,31,33,11.8,3.53,0,3,8.8,45.5,15,10,11.8,36,72.0,2,7,,,,,30.4,63.7,76.2,,72.9,,,36.0,,,0,1,37,0.0,46.1,0.0,0,3,0,2,0,2,5.4,149,4.5,71.4,14,14,7.4,2.79,0,1,6.7,71.4,10,4,0.0,14,28.0,0,5,,,,,66.4,46.9,71.4,,47.0,,,,,,0,0,15,0.0,88.1,0.0,0,0,0,0,0,1,6.7,89,6.4,0,87.5,8,8,-4.1,1.98,0,0,0.0,87.5,7,0,0.0,8,16.0,0,1,,,,,65.1,67.5,69.8,,67.2,,,,,,0,0,9,,79.2,0.0,0,0,0,0,0,0,0.0,14,1.8,1.84
LaNorris Sellers,174326,QB,S CAROLINA,1,-27.27,0,49,289,61.8,34,38,12.3,2.86,3,7,18.4,55.3,21,18,0.0,45,91.8,0,15,,,,,71.3,93.6,76.1,,94.0,,,62.9,,,1,2,45,27.8,84.9,11.1,5,2,0,0,2,1,2.2,375,9.9,69.0,29,33,11.4,2.79,2,5,15.2,60.6,20,17,0.0,40,81.6,0,13,,,,,71.1,92.2,75.7,,92.6,,,62.9,,,1,2,40,29.4,87.9,12.5,5,2,0,1,2,1,2.5,320,9.7,37.5,8,9,10.9,2.91,1,2,22.2,33.3,3,2,0.0,9,18.4,0,2,,,,,65.1,90.3,69.8,,90.0,,,,,,0,0,9,0.0,58.1,0.0,0,0,0,0,0,0,0.0,61,6.8,0,66.7,3,4,0.3,2.3,0,0,0.0,50.0,2,1,0.0,4,8.2,0,0,,,,,63.3,60.7,67.4,,60.5,,,,,,0,0,4,0.0,56.3,0.0,0,0,0,1,0,0,0.0,6,1.5,-2.92
Skyler Locklear,164027,QB,UTEP,1,2.78,0,49,330,64.3,28,34,11.9,3.52,1,3,7.9,52.9,18,21,0.0,44,89.8,0,11,,,,,70.4,43.2,23.7,,38.4,,,66.6,,,0,5,50,23.8,86.2,11.4,5,5,0,5,4,5,10.0,329,9.7,71.4,21,27,11.0,3.58,1,2,6.7,55.6,15,16,0.0,34,69.4,0,8,,,,,69.8,50.8,18.4,,43.1,,,76.1,,,0,3,39,31.3,71.5,14.7,5,2,0,5,2,3,7.7,246,9.1,58.3,12,12,7.6,2.8,0,1,7.7,58.3,7,6,0.0,15,30.6,0,3,,,,,66.5,38.0,71.6,,42.1,,,51.0,,,0,2,16,0.0,82.6,0.0,0,3,0,0,2,2,12.5,92,7.7,0,80.0,5,5,-2.4,1.78,0,0,0.0,80.0,4,1,0.0,5,10.2,0,0,,,,,63.8,58.9,68.1,,58.8,,,,,,0,0,5,0.0,79.2,0.0,0,0,0,0,0,0,0.0,9,1.8,-1.44
Noah Fifita,158722,QB,ARIZONA,1,22.86,0,49,109,77.1,35,40,10.6,2.64,1,1,2.3,62.5,25,9,7.4,43,87.8,2,16,,,,,72.9,76.1,77.7,,75.3,,,64.0,,,0,0,46,11.1,88.2,2.3,1,1,0,4,1,0,0.0,247,6.2,71.4,28,35,11.8,2.7,1,1,2.6,57.1,20,8,0.0,38,77.6,0,14,,,,,72.8,74.5,77.5,,73.5,,,64.0,,,0,0,41,12.5,83.4,2.6,1,1,0,6,1,0,0.0,203,5.8,100.0,10,10,3.2,1.83,0,0,0.0,80.0,8,2,20.0,11,22.4,2,3,,,,,65.6,67.3,70.4,,67.0,,,,,,0,0,11,0.0,101.3,0.0,0,0,0,0,0,0,0.0,83,8.3,0,100.0,3,5,-3.0,1.52,0,0,0.0,60.0,3,1,0.0,6,12.2,0,1,,,,,64.2,57.1,68.6,,56.9,,,,,,0,0,6,0.0,84.6,0.0,0,0,0,2,0,0,0.0,39,7.8,2.5
