player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Devin Leary,77628,QB,NC STATE,1,74.1,54,59,10.5,2.72,0,5,8.1,62.7,37,0,16,7.5,62,3,19,248,43.8,74.7,73.5,62.7,2,2,65,0,12.5,91.5,3.2,2,1,0,3,4,3,4.6,406,6.9
Ben Bryant,77655,QB,E MICHIGAN,1,76.4,55,57,9.2,2.77,2,0,0.0,71.9,41,0,7,2.4,61,1,22,160,71.3,72.7,71.5,67.3,0,1,62,1,28.6,86.4,3.3,2,2,0,0,1,1,1.6,354,6.2
Gunnar Watson,83570,QB,TROY,1,71.4,49,55,5.9,3.0,1,1,1.8,52.7,29,0,19,17.1,59,6,20,318,45.0,73.5,72.0,64.4,3,1,61,0,15.8,70.7,5.1,3,1,0,2,1,1,1.6,346,6.3
Tanner Mordecai,77656,QB,SMU,1,79.2,48,53,4.1,2.47,0,0,0.0,67.9,36,0,16,5.3,57,2,24,287,43.3,69.4,69.2,59.4,0,1,58,0,6.3,99.1,1.8,1,2,0,5,3,2,3.4,374,7.1
Will Rogers,124184,QB,MISS STATE,1,82.4,51,53,8.0,2.65,1,2,3.6,77.4,41,0,10,2.4,57,1,26,227,43.1,78.7,81.0,50.2,0,0,62,0,20.0,135.7,3.5,2,2,1,0,6,2,3.2,399,7.5
Aidan O'Connell,60516,QB,PURDUE,1,80.8,52,52,7.4,2.03,0,5,9.4,76.9,40,0,1,4.8,52,2,23,273,69.8,88.6,87.6,,0,0,53,0,0.0,123.1,0.0,0,0,0,0,4,1,1.9,390,7.5
Taulia Tagovailoa,97271,QB,MARYLAND,1,73.3,45,51,8.5,2.75,0,2,3.8,56.9,29,0,16,12.1,53,4,14,215,43.8,66.7,68.8,57.6,0,1,55,3,6.3,83.0,1.9,1,1,0,6,2,3,5.5,350,6.9
Jake Constantine,40166,QB,RICE,1,68.1,47,50,12.1,2.77,2,2,3.8,56.0,28,0,19,12.5,54,4,19,275,33.6,63.4,63.4,57.3,0,4,56,0,15.8,53.3,5.6,3,1,0,1,1,3,5.4,374,7.5
Layne Hatcher,82068,QB,ARK STATE,1,78.7,47,50,10.5,2.63,1,5,10.0,68.0,34,0,8,8.1,51,3,18,113,70.1,84.6,83.6,60.0,0,2,51,0,12.5,92.4,2.0,1,0,0,2,2,1,2.0,444,8.9
Tyler Van Dyke,122225,QB,MIAMI FL,1,61.4,44,48,12.3,2.5,2,3,6.3,52.1,25,0,10,7.4,54,2,15,220,70.2,57.6,58.1,56.3,0,2,54,0,30.0,83.3,5.6,3,3,1,1,4,1,1.9,316,6.6
Carson Strong,83524,QB,NEVADA,1,79.5,44,48,6.8,2.58,0,2,4.0,70.8,34,0,16,2.9,53,1,18,239,39.5,80.0,80.3,57.3,2,0,55,0,25.0,112.3,7.5,4,1,0,2,3,1,1.8,350,7.3
Sam Hartman,77618,QB,WAKE,1,58.5,41,47,14.0,3.35,3,1,2.0,42.6,20,0,17,16.7,58,4,22,339,71.9,66.3,65.2,60.2,2,3,63,0,17.6,57.9,5.2,3,8,0,1,3,1,1.6,290,6.2
Tyler Vitt,83566,QB,TEXAS ST,1,76.7,43,46,7.8,2.74,0,0,0.0,63.0,29,0,17,12.1,51,4,11,314,72.2,69.4,70.4,58.9,1,1,53,0,11.8,69.4,3.9,2,3,0,2,0,2,3.8,263,5.7
Holton Ahlers,77651,QB,E CAROLINA,1,70.5,44,46,6.8,2.45,1,0,0.0,63.0,29,0,17,6.5,57,2,22,156,72.4,67.6,60.1,73.6,0,2,59,0,35.3,64.7,10.5,6,5,0,1,0,2,3.4,311,6.8
Jarret Doege,60353,QB,W VIRGINIA,1,69.8,43,45,9.2,3.11,0,0,0.0,60.0,27,0,12,10.0,49,3,16,343,46.9,51.8,52.1,57.3,0,2,49,0,25.0,73.2,6.1,3,1,0,2,2,2,4.1,268,6.0
DJ Uiagalelei,122162,QB,CLEMSON,1,61.5,39,45,10.1,2.29,1,1,2.0,46.7,21,0,12,12.5,45,3,10,140,70.0,58.3,57.7,63.3,1,1,49,2,0.0,61.4,0.0,0,0,0,4,1,1,2.0,241,5.4
Bailey Zappe,60396,QB,W KENTUCKY,1,83.3,42,44,8.0,2.3,0,5,10.9,77.3,34,0,3,2.9,45,1,22,346,69.8,79.8,81.3,59.6,0,1,47,2,0.0,138.8,0.0,0,1,0,2,5,1,2.1,464,10.5
Casey Thompson,77677,QB,TEXAS,1,76.2,42,44,9.2,2.51,0,4,8.3,68.2,30,0,10,6.3,48,2,21,311,39.6,80.7,82.4,57.1,0,1,52,0,10.0,122.9,2.1,1,3,1,1,6,0,0.0,358,8.1
Sean Clifford,51708,QB,PENN STATE,1,70.3,37,44,6.8,2.72,1,0,0.0,52.3,23,0,23,11.5,55,3,12,266,26.2,56.1,52.2,64.9,1,0,57,1,26.1,72.6,10.9,6,5,0,5,1,3,5.3,205,4.7
Kenny Pickett,60515,QB,PITTSBURGH,1,70.7,41,44,12.2,3.47,0,4,8.7,56.8,25,0,16,13.8,53,4,16,268,70.4,72.6,78.7,47.9,0,1,56,0,25.0,95.5,7.5,4,5,1,2,3,2,3.6,346,7.9
Chris Reynolds,60361,QB,CHARLOTTE,1,65.0,40,42,14.1,3.03,0,8,17.4,59.5,25,0,21,3.8,47,1,20,136,70.8,89.7,90.6,55.6,0,1,51,0,9.5,102.1,4.3,2,3,0,2,2,2,3.9,448,10.7
Brock Purdy,77672,QB,IOWA STATE,1,78.6,42,42,9.6,2.94,0,2,4.3,76.2,32,0,9,3.0,47,1,22,193,70.2,63.9,64.7,57.0,0,2,52,0,11.1,105.7,2.1,1,4,0,0,3,3,5.8,364,8.7
Zach Calzada,98006,QB,TEXAS A&M,1,67.5,40,42,9.9,2.91,1,5,11.6,57.1,24,0,12,11.1,43,3,11,312,69.7,87.9,87.5,59.6,0,2,44,0,8.3,53.4,2.3,1,0,0,1,0,1,2.3,237,5.6
Bo Nix,97790,QB,AUBURN,1,75.0,40,41,10.8,2.42,0,3,7.1,65.9,27,0,11,10.0,43,3,16,115,69.7,85.3,83.6,63.3,0,0,44,0,9.1,111.5,2.3,1,0,0,1,2,2,4.5,377,9.2
Zach Gibson,100201,QB,AKRON,1,73.0,37,40,12.2,3.5,0,5,11.4,65.0,26,0,35,3.7,49,1,19,102,69.8,90.2,88.2,74.2,2,0,53,1,8.6,104.7,6.1,3,6,0,1,2,0,0.0,305,7.6
Grant Wells,97784,QB,MARSHALL,1,73.0,37,39,8.6,2.52,0,1,2.5,56.4,22,0,10,18.5,44,5,12,214,35.6,64.7,64.1,60.5,0,1,45,0,20.0,80.3,4.5,2,2,0,2,2,3,6.7,232,5.9
Desmond Ridder,55086,QB,CINCINNATI,1,83.3,36,39,7.1,2.5,0,1,2.4,76.9,30,0,4,0.0,44,0,19,138,72.3,84.1,82.5,68.3,0,1,46,0,25.0,104.4,2.3,1,4,1,2,2,0,0.0,298,7.6
Dustin Crum,60418,QB,KENT STATE,1,80.6,36,38,8.0,2.36,1,1,2.6,73.7,28,0,9,3.4,41,1,14,201,71.9,75.2,70.3,71.6,0,0,42,0,33.3,116.1,7.3,3,0,0,1,2,1,2.4,320,8.4
C.J. Stroud,129759,QB,OHIO STATE,1,81.6,38,38,6.8,2.15,0,1,2.4,81.6,31,0,2,0.0,38,0,18,260,70.4,76.4,76.7,57.6,0,0,42,0,0.0,145.8,0.0,0,0,0,0,5,0,0.0,361,9.5
Desmond Trotter,83552,QB,S ALABAMA,1,66.7,33,38,8.8,2.78,0,0,0.0,55.3,21,0,22,4.5,44,1,13,288,69.9,71.3,72.7,55.8,1,2,47,0,13.6,59.8,6.8,3,3,0,4,1,0,0.0,226,5.9
Rocky Lombardi,60452,QB,N ILLINOIS,1,65.8,38,38,9.6,2.75,0,4,10.3,60.5,23,0,8,8.0,42,2,13,254,69.7,58.9,59.2,56.0,0,1,43,0,0.0,79.3,0.0,0,4,0,0,1,1,2.3,264,6.9
Hendon Hooker,60593,QB,TENNESSEE,1,71.4,35,37,9.0,2.44,0,0,0.0,64.9,24,0,15,4.0,45,1,13,307,44.3,55.4,47.0,72.5,0,1,48,0,40.0,81.4,13.3,6,2,0,2,1,2,4.2,244,6.6
Matt Corral,83517,QB,OLE MISS,1,76.5,34,37,7.7,2.54,1,1,2.7,64.9,24,0,11,7.7,40,2,16,226,24.3,57.8,62.7,49.7,0,0,40,0,9.1,93.0,2.5,1,2,0,2,1,2,5.0,247,6.7
Jayden de Laura,131928,QB,WASH STATE,1,65.6,32,36,9.1,2.97,1,3,8.1,55.6,20,0,15,4.8,41,1,11,341,33.8,45.3,47.1,50.6,0,2,42,0,20.0,76.2,7.3,3,2,0,3,2,4,9.5,280,7.8
Clayton Tune,77652,QB,HOUSTON,1,75.8,33,34,10.7,3.32,1,3,8.8,61.8,21,0,12,16.0,38,4,15,182,70.2,90.7,91.4,57.0,0,0,38,0,25.0,100.6,7.9,3,1,0,0,2,0,0.0,224,6.6
Lucas Johnson,40551,QB,S DIEGO ST,1,66.7,33,34,10.3,2.5,0,3,8.8,61.8,21,0,9,4.5,38,1,9,284,70.2,76.2,75.9,61.8,1,0,38,0,11.1,84.9,2.6,1,3,0,0,1,1,2.6,176,5.2
