player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Cade Klubnik,156253,QB,CLEMSON,1,65.9,41,43,8.4,2.77,1,5,11.4,60.5,26,0,14,3.7,47,1,16,140,38.8,80.3,81.8,60.7,0,1,48,0,21.4,98.6,6.4,3,1,0,1,3,2,4.2,336,7.8
Kevin Jennings,158272,QB,SMU,1,73.3,30,36,7.0,3.31,0,3,7.3,55.6,20,0,19,9.1,40,2,11,287,70.9,57.4,55.6,61.4,0,3,45,0,15.8,45.5,7.5,3,1,0,6,1,3,6.7,195,5.4
Kurtis Rourke,97998,QB,INDIANA,1,64.5,31,34,10.4,2.42,2,1,2.6,58.8,20,0,8,0.0,38,0,12,190,69.6,55.1,53.8,61.5,0,1,42,0,37.5,84.8,7.9,3,1,1,0,2,2,4.8,215,6.3
Riley Leonard,143862,QB,NOTRE DAME,1,89.3,28,32,5.5,3.19,1,1,3.0,71.9,23,0,18,8.0,40,2,14,258,70.8,75.9,76.3,65.6,2,1,41,1,16.7,85.2,7.5,3,5,0,1,1,0,0.0,198,6.2
Nico Iamaleava,174728,QB,TENNESSEE,1,57.1,28,31,10.7,3.28,3,1,3.1,45.2,14,0,19,12.5,44,2,6,307,71.9,61.5,56.8,64.7,0,0,45,0,21.1,53.7,9.1,4,9,0,0,0,1,2.2,104,3.4
Will Howard,122599,QB,OHIO STATE,1,88.9,27,29,7.7,2.53,0,3,9.7,82.8,24,0,8,0.0,31,0,14,260,70.4,84.9,85.2,63.4,0,1,34,0,0.0,120.0,0.0,0,1,0,2,2,0,0.0,311,10.7
Quinn Ewers,127253,QB,TEXAS,1,79.2,24,24,7.7,2.64,0,1,3.7,70.8,17,0,6,10.5,28,2,11,311,69.3,67.7,66.7,61.1,0,1,31,0,33.3,92.7,7.1,2,2,0,0,1,0,0.0,202,8.4
Drew Allar,164157,QB,PENN STATE,1,63.6,22,22,5.1,3.33,0,0,0.0,59.1,13,0,11,7.1,27,1,7,266,69.1,60.0,54.1,68.3,0,0,27,0,27.3,75.4,11.1,3,2,0,0,0,0,0.0,127,5.8
Ethan Grunkemeyer,183606,QB,PENN STATE,1,100.0,2,2,4.5,1.65,0,0,0.0,50.0,1,0,1,50.0,2,1,1,266,61.8,63.8,62.7,,0,1,2,0,0.0,22.9,0.0,0,0,0,0,0,0,0.0,9,4.5
Julian Sayin,183708,QB,OHIO STATE,1,0.0,1,1,11.0,2.3,0,0,0.0,0.0,0,0,0,,1,0,0,260,60.3,48.3,48.5,,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyler Warren,129798,TE,PENN STATE,1,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,0,100.0,1,1,0,266,66.7,70.5,60.4,63.1,0,0,1,0,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Devin Brown,156479,QB,OHIO STATE,1,100.0,1,1,5.0,1.9,0,0,0.0,100.0,1,0,0,0.0,1,0,0,260,60.3,61.2,60.6,,0,0,1,0,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0
Keldric Luster,175287,QB,SMU,1,0.0,1,1,35.0,2.3,0,0,0.0,0.0,0,0,0,,1,0,0,287,60.3,37.2,38.3,,0,0,1,0,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0
