player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Walker Eget,146170,QB,S JOSE ST,1,70.6,51,58,7.5,2.41,3,1,1.5,56.9,33,0,17,8.3,60,3,15,285,71.8,71.1,66.7,72.9,2,1,68,1,0.0,73.7,0.0,0,2,0,2,2,0,0.0,277,4.8
Sawyer Robertson,146839,QB,BAYLOR,1,60.8,51,51,11.0,2.35,0,3,5.3,58.8,30,0,9,3.2,55,1,25,118,70.9,64.6,66.4,55.7,0,1,61,1,11.1,92.4,1.8,1,2,0,0,2,1,1.6,445,8.7
Tucker Gleason,122475,QB,TOLEDO,1,60.9,46,50,9.0,2.47,2,2,3.6,52.0,26,0,24,7.1,54,2,15,316,45.5,60.6,64.0,50.2,1,1,60,0,4.2,78.4,1.9,1,3,0,1,2,3,5.0,336,6.7
Connor Bazelak,99135,QB,BOWL GREEN,1,71.7,46,49,8.2,2.43,1,0,0.0,65.3,32,0,18,3.0,52,1,18,122,69.8,57.3,56.6,,1,0,54,0,16.7,110.1,5.8,3,0,0,1,3,1,1.9,390,8.0
Sam Leavitt,175465,QB,ARIZONA ST,1,61.0,41,45,7.2,3.22,1,2,4.1,51.1,23,0,22,8.0,52,2,9,110,72.3,65.2,56.7,75.5,0,1,56,0,13.6,50.2,5.8,3,4,0,3,0,1,1.8,160,3.6
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,1,59.5,42,45,13.4,2.64,0,4,8.9,51.1,23,0,6,8.0,45,2,11,144,69.4,67.0,67.7,,0,2,45,1,0.0,62.3,0.0,0,0,0,3,1,1,2.2,310,6.9
Henry Belin IV,162693,QB,DUKE,1,61.0,41,44,8.9,2.87,0,0,0.0,56.8,25,0,23,0.0,46,0,15,154,71.1,53.4,53.7,58.3,1,1,48,0,0.0,77.5,0.0,0,2,0,2,2,2,4.2,236,5.4
Zevi Eckhaus,148535,QB,WASH STATE,1,76.2,42,43,9.4,2.8,0,1,2.2,72.1,31,0,7,3.1,45,1,18,341,72.7,69.0,60.8,75.8,0,2,49,0,14.3,101.2,2.2,1,1,0,1,3,4,8.2,363,8.4
Michael Hawkins Jr.,184595,QB,OKLAHOMA,1,82.5,40,43,8.3,3.19,0,2,4.3,65.1,28,0,15,15.2,51,5,14,261,47.5,76.0,72.7,68.3,0,0,55,0,26.7,95.8,7.8,4,4,0,3,2,1,1.8,247,5.7
Marcel Reed,175940,QB,TEXAS A&M,1,76.3,38,42,7.8,2.57,0,1,2.3,61.9,26,1,11,10.3,47,3,15,312,71.1,61.6,61.1,59.8,1,2,48,1,9.1,86.6,2.1,1,4,0,3,3,2,4.2,292,7.0
Dillon Gabriel,86272,QB,OREGON,1,83.3,36,42,8.3,3.38,3,1,2.3,69.0,29,0,23,3.3,52,1,14,264,70.2,57.0,58.6,53.5,2,0,53,2,30.4,105.2,13.5,7,3,0,1,2,2,3.8,299,7.1
Grayson James,145214,QB,BOSTON COL,1,73.0,37,41,9.3,2.7,2,2,4.5,63.4,26,0,22,3.7,50,1,16,121,38.6,54.4,51.0,65.4,0,0,53,0,13.6,85.5,6.0,3,4,0,2,0,4,7.5,301,7.3
Drew Mestemaker,190616,QB,N TEXAS,1,70.0,40,41,11.0,2.61,0,1,2.3,63.4,26,0,16,7.1,45,2,18,251,41.6,74.4,66.1,81.6,0,2,47,0,18.8,90.8,6.7,3,1,0,1,2,3,6.4,393,9.6
Garrett Greene,123420,QB,W VIRGINIA,1,81.6,38,39,11.4,2.7,0,7,17.5,71.8,28,0,9,9.7,44,3,17,343,71.3,90.0,88.7,68.7,0,1,45,0,0.0,103.0,0.0,0,5,0,1,2,1,2.2,325,8.3
Caden Veltkamp,156642,QB,W KENTUCKY,1,75.7,37,39,8.3,2.54,0,2,4.9,64.1,25,0,21,10.7,43,3,11,346,69.7,77.8,75.6,63.3,1,0,45,0,14.3,104.9,7.0,3,0,0,1,2,1,2.2,302,7.7
Jayden Maiava,158135,QB,USC,1,62.9,35,39,9.5,2.45,2,1,2.3,56.4,22,0,15,0.0,40,0,13,326,70.1,59.9,58.2,62.9,1,3,44,1,6.7,82.7,2.5,1,0,0,1,4,3,6.8,295,7.6
Maddux Madsen,163379,QB,BOISE ST,1,73.5,34,36,9.4,2.74,1,0,0.0,63.9,23,0,9,8.0,41,2,15,120,69.8,57.2,57.2,56.2,0,3,46,1,22.2,65.0,4.9,2,3,0,1,1,4,8.7,304,8.4
Bryce Archie,156667,QB,USF,1,70.6,34,36,5.4,2.61,1,1,2.6,66.7,24,0,12,0.0,40,0,10,327,71.9,61.1,60.2,60.8,0,1,42,0,25.0,73.3,7.5,3,1,1,0,0,1,2.4,235,6.5
