player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kevin Jennings,158272,QB,SMU,1,77.1,48,52,8.8,2.96,2,2,3.7,63.5,33,0,14,10.8,54,4,19,287,47.1,78.0,73.9,71.6,0,1,56,0,14.3,91.3,3.7,2,0,0,2,3,2,3.6,314,6.0
Quinn Ewers,127253,QB,TEXAS,1,80.5,41,46,8.7,2.56,1,4,8.3,58.7,27,0,17,18.2,52,6,16,311,70.0,87.7,87.9,57.3,1,2,55,0,35.3,72.6,11.5,6,0,0,3,1,2,3.6,358,7.8
Cade Klubnik,156253,QB,CLEMSON,1,71.1,38,41,7.6,2.64,0,1,2.4,58.5,24,0,17,11.1,45,3,14,140,44.7,71.2,76.4,52.3,0,0,46,0,17.6,109.9,6.7,3,1,0,3,4,1,2.2,261,6.4
Drew Allar,164157,QB,PENN STATE,1,56.8,37,39,9.8,2.72,0,3,7.5,51.3,20,0,12,4.8,41,1,14,266,70.8,68.2,65.2,68.6,0,2,42,0,0.0,73.2,0.0,0,2,0,2,3,2,4.8,226,5.8
Rocco Becht,157567,QB,IOWA STATE,1,75.9,29,36,9.7,2.85,3,3,8.1,61.1,22,0,9,0.0,39,0,14,193,70.4,90.2,81.9,83.7,0,1,41,0,0.0,86.0,0.0,0,2,0,4,2,0,0.0,225,6.3
Dillon Gabriel,86272,QB,OREGON,1,86.2,29,32,6.1,2.52,3,0,0.0,68.8,22,0,11,12.0,35,3,13,264,34.6,79.5,84.9,53.4,0,0,35,0,9.1,135.8,2.9,1,2,0,0,4,0,0.0,283,8.8
Caden Veltkamp,156642,QB,W KENTUCKY,1,62.1,29,30,10.7,2.4,0,0,0.0,60.0,18,0,12,0.0,33,0,6,346,27.7,61.6,61.1,59.4,0,0,38,0,25.0,82.8,9.1,3,0,0,1,1,1,2.6,141,4.7
Hajj-Malik Williams,102348,QB,UNLV,1,46.4,28,28,12.6,2.91,0,2,6.9,46.4,13,0,14,0.0,38,0,5,325,24.9,41.7,33.2,65.5,0,1,39,1,42.9,42.3,15.8,6,4,0,0,0,4,10.3,110,3.9
Parker Navarro,123758,QB,OHIO,1,81.5,27,27,9.6,2.51,0,1,3.6,74.1,20,0,5,9.1,30,2,12,259,26.8,73.9,59.2,80.0,0,0,31,0,20.0,124.8,3.3,1,1,0,0,2,3,9.7,235,8.7
Maddux Madsen,163379,QB,BOISE ST,1,73.1,26,27,8.5,2.6,0,2,7.4,66.7,18,0,8,5.3,29,1,8,120,69.7,68.8,62.7,72.4,0,0,29,0,12.5,94.4,3.4,1,1,0,1,1,3,10.3,158,5.9
Braylon Braxton,144442,QB,MARSHALL,1,73.1,26,26,10.8,2.91,0,3,11.1,69.2,18,0,9,5.3,30,1,8,214,74.2,64.3,67.3,57.6,0,0,31,0,11.1,116.3,3.3,1,3,0,0,2,2,6.5,193,7.4
Brett Gabbert,97404,QB,MIAMI OH,1,60.9,23,25,9.1,2.24,0,0,0.0,56.0,14,0,9,0.0,27,0,7,221,68.5,40.7,40.9,57.0,0,1,27,0,11.1,53.3,3.7,1,1,0,2,0,2,7.4,127,5.1
