player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_pass_rush_defense,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_pass_rush_defense,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_pass_rush_defense,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_pass_rush_defense,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Austin Reed,111760,QB,W KENTUCKY,1,63,64.7,17,18,8.4,2.1,1,2,10.5,55.6,10,10,9.1,22,34.9,1,5,,,,,67.4,77.4,72.8,76.7,,,,0,0,23,40.0,91.9,18.2,4,0,0,0,1,0,0.0,108,6.0,0,346,46.2,67.0,62.8,71.4,81.1,37,38,4.6,1.94,0,3,7.5,76.3,29,7,3.3,41,65.1,1,14,,,,,33.1,54.8,75.0,52.7,,,64.0,0,1,43,28.6,104.9,4.9,2,1,0,1,2,3,7.0,298,7.8,77.8,45,45,5.2,1.77,0,4,8.7,73.3,33,0,5.7,46,73.0,2,15,,,,,35.5,61.5,75.4,61.2,,,,0,1,47,,101.7,2.2,1,0,0,0,2,3,6.4,356,7.9,0,66.7,9,11,9.1,2.61,1,1,7.7,54.5,6,17,0.0,17,27.0,0,4,,,,,66.8,68.4,72.2,65.0,,,64.0,0,0,19,29.4,96.8,29.4,5,1,0,1,1,0,0.0,50,4.5
Chase Cunningham,78533,QB,MIDDLE TN,1,60,75.0,8,8,9.1,2.16,0,1,10.0,62.5,5,2,16.7,8,13.3,1,2,,,,,65.4,79.2,70.1,78.5,,,,0,0,10,0.0,88.0,0.0,0,0,0,0,0,0,0.0,65,8.1,0,224,28.0,51.7,58.1,41.3,82.1,39,49,6.8,2.96,1,0,0.0,61.2,30,20,6.3,52,86.7,2,12,,,,,69.9,52.0,75.9,50.5,,,63.1,2,0,54,5.0,85.7,1.9,1,1,1,6,1,3,5.6,303,6.2,82.9,35,37,8.4,2.23,1,1,2.6,73.0,27,0,6.9,38,63.3,2,11,,,,,69.0,66.8,74.8,66.3,,,,0,0,40,,107.6,0.0,0,0,1,0,1,2,5.0,317,8.6,0,75.0,12,20,3.8,3.93,0,0,0.0,40.0,8,22,11.1,22,36.7,1,3,,,,,67.6,47.5,73.0,44.6,,,63.1,2,0,24,4.5,47.9,4.5,1,1,0,6,0,1,4.2,51,2.6
John Paddock,77689,QB,BALL ST,1,59,85.7,7,11,8.6,2.42,2,0,0.0,45.5,5,8,16.7,12,20.3,1,4,,,,,66.2,72.2,71.2,71.7,,,,0,0,14,12.5,103.2,8.3,1,0,0,2,1,0,0.0,87,7.9,0,117,71.1,75.3,76.0,54.6,80.9,47,47,6.4,2.13,0,1,2.0,74.5,35,4,7.9,47,79.7,3,20,,,,,69.7,75.2,75.6,74.4,,,,0,2,50,0.0,89.0,0.0,0,0,0,0,2,1,2.0,320,6.8,82.6,46,47,6.0,2.04,1,1,1.9,72.3,34,0,10.5,47,79.7,4,18,,,,,69.8,74.0,75.7,73.2,,,,0,2,52,,85.4,0.0,0,0,0,0,2,1,1.9,300,6.4,0,75.0,8,11,10.4,2.73,1,0,0.0,54.5,6,12,0.0,12,20.3,0,6,,,,,65.8,75.6,70.7,75.1,,,,0,0,12,8.3,118.4,8.3,1,0,0,2,1,0,0.0,107,9.7
Seth Henigan,144267,QB,MEMPHIS,1,58,60.9,23,25,10.4,2.73,0,0,0.0,40.0,10,13,28.6,30,51.7,4,8,,,,,68.5,51.5,74.2,47.0,,,69.5,0,0,34,15.4,61.3,6.7,2,3,0,2,1,3,8.8,63,2.5,0,218,72.2,53.8,51.7,60.2,78.9,19,20,7.4,3.44,1,0,0.0,70.0,14,10,6.7,28,48.3,1,5,,,,,68.1,52.7,73.6,61.4,,,46.4,0,0,29,20.0,87.9,7.1,2,6,0,0,0,0,0.0,132,6.6,74.2,31,32,8.7,2.53,1,0,0.0,59.4,19,0,17.4,35,60.3,4,9,,,,,68.9,59.8,74.6,57.9,,,64.1,0,0,38,,81.1,0.0,0,3,0,0,1,2,5.3,147,4.6,0,54.5,11,13,10.1,3.9,0,0,0.0,38.5,5,23,16.7,23,39.7,1,4,,,,,67.7,40.9,73.1,45.0,,,50.1,0,0,25,17.4,49.5,17.4,4,6,0,2,0,1,4.0,48,3.7
Donovan Smith,73929,QB,TEXAS TECH,1,58,61.5,13,16,9.0,2.6,1,0,0.0,50.0,8,8,0.0,19,32.8,0,3,,,,,67.0,34.0,72.2,35.3,,,57.3,0,0,19,25.0,63.3,10.5,2,1,0,2,0,1,5.3,75,4.7,0,315,47.8,61.3,60.2,60.9,81.3,32,32,8.8,2.91,0,3,8.8,81.3,26,13,0.0,39,67.2,0,15,,,,,32.5,73.2,74.9,73.8,,,58.4,0,2,42,38.5,98.4,12.8,5,2,0,0,2,3,7.1,284,8.9,80.6,36,37,7.2,2.21,1,2,5.3,78.4,29,0,0.0,37,63.8,0,13,,,,,68.9,69.8,74.6,69.2,,,,0,1,38,,106.9,0.0,0,0,0,0,2,2,5.3,297,8.0,0,55.6,9,11,15.6,3.87,0,1,8.3,45.5,5,21,0.0,21,36.2,0,5,,,,,25.2,43.9,72.8,44.4,,,55.7,0,1,23,33.3,25.6,33.3,7,3,0,2,0,2,8.7,62,5.6
Hayden Wolff,98362,QB,DOMINION,1,55,61.5,13,13,10.1,2.7,0,1,7.1,53.8,7,4,12.5,13,23.6,1,5,,,,,66.2,68.8,71.2,68.4,,,,0,0,14,0.0,77.7,0.0,0,0,0,0,0,0,0.0,96,7.4,0,263,25.7,68.0,68.0,59.3,83.3,30,33,5.1,2.91,2,1,2.9,60.6,20,17,20.0,42,76.4,5,12,,,,,22.1,64.1,75.1,65.8,,,55.6,1,1,44,29.4,85.5,11.9,5,4,0,0,2,3,6.8,201,6.1,77.4,31,33,6.7,2.51,2,2,5.7,57.6,19,0,20.8,34,61.8,5,11,,,,,68.7,77.6,74.4,78.6,,,57.0,0,1,36,,74.6,0.0,0,1,0,0,1,1,2.8,214,6.5,0,75.0,12,13,6.5,3.44,0,0,0.0,61.5,8,21,11.1,21,38.2,1,6,,,,,14.8,47.2,72.7,46.5,,,58.6,1,0,22,23.8,105.6,23.8,5,3,0,0,1,2,9.1,83,6.4
Michael Penix Jr.,82134,QB,WASHINGTON,1,54,86.7,15,16,8.4,2.3,1,1,5.6,81.3,13,7,0.0,17,31.5,0,7,,,,,67.0,80.6,72.2,79.8,,,,0,0,19,14.3,141.4,5.9,1,0,0,0,3,0,0.0,135,8.4,0,340,70.3,54.0,54.3,56.0,74.2,31,33,7.4,2.47,0,1,2.6,60.6,20,7,13.0,37,68.5,3,12,,,,,69.1,41.1,74.9,40.6,,,59.1,0,2,42,14.3,64.0,2.7,1,3,1,1,1,2,4.8,210,6.4,80.6,36,37,7.3,2.36,0,2,5.1,75.7,28,0,3.4,40,74.1,1,16,,,,,69.1,65.5,74.9,65.7,,,59.1,0,1,42,,104.9,0.0,0,3,1,0,2,1,2.4,293,7.9,0,70.0,10,12,9.3,2.59,1,0,0.0,41.7,5,14,28.6,14,25.9,2,3,,,,,67.0,36.2,72.2,36.5,,,,0,1,19,14.3,59.7,14.3,2,0,0,1,2,1,5.3,52,4.3
Hunter Dekkers,122511,QB,IOWA STATE,1,54,66.7,12,12,6.8,2.28,0,0,0.0,58.3,7,6,12.5,14,25.9,1,4,,,,,66.2,51.3,71.2,51.3,,,,0,0,14,33.3,69.4,14.3,2,0,0,0,0,0,0.0,54,4.5,0,193,71.4,53.9,51.3,67.6,74.3,35,36,6.9,2.64,0,1,2.7,63.9,23,9,11.5,40,74.1,3,9,,,,,69.2,54.7,75.0,53.4,,,62.8,1,1,43,33.3,80.0,7.5,3,1,0,0,1,2,4.7,233,6.5,71.1,38,38,6.9,2.4,0,1,2.6,65.8,25,0,7.4,39,72.2,2,9,,,,,69.0,53.4,74.8,52.1,,,62.8,0,1,40,,81.8,0.0,0,1,0,0,1,2,5.0,247,6.5,1,77.8,9,10,7.0,2.93,0,0,0.0,50.0,5,15,28.6,15,27.8,2,4,,,,,66.7,54.1,71.8,53.9,,,,1,0,17,33.3,60.4,33.3,5,0,0,0,0,0,0.0,40,4.0
N'Kosi Perry,60446,QB,FAU,1,54,50.0,12,12,15.3,2.18,0,3,25.0,33.3,4,7,33.3,12,22.2,2,4,,,,,65.8,61.6,70.7,61.4,,,,0,1,12,0.0,45.5,0.0,0,0,0,0,1,2,16.7,65,5.4,0,165,70.3,72.8,69.8,68.9,66.7,36,38,9.8,2.98,0,3,7.7,57.9,22,8,8.3,42,77.8,2,12,,,,,69.2,74.0,75.0,71.6,,,66.9,0,1,43,12.5,73.4,2.4,1,3,0,2,1,3,7.0,230,6.1,67.6,37,38,11.4,2.41,0,6,15.4,55.3,21,0,16.0,39,72.2,4,11,,,,,69.0,88.1,74.8,88.6,,,57.3,0,1,40,,69.7,0.0,0,1,0,1,1,2,5.0,217,5.7,0,45.5,11,12,10.2,3.82,0,0,0.0,41.7,5,15,0.0,15,27.8,0,5,,,,,66.4,32.6,71.4,28.0,,,71.0,0,1,15,6.7,56.9,6.7,1,2,0,1,1,3,20.0,78,6.5
Jayden de Laura,131928,QB,ARIZONA,1,53,73.7,19,21,9.7,2.78,0,1,4.5,61.9,13,7,7.1,24,45.3,1,13,,,,,67.7,79.6,73.1,76.8,,,64.3,0,0,25,14.3,131.7,4.2,1,1,0,2,4,0,0.0,194,9.2,0,109,70.8,87.0,83.4,66.5,91.7,24,27,7.4,2.76,1,1,3.7,74.1,20,5,9.1,29,54.7,2,15,,,,66.7,68.4,82.9,73.9,81.8,89.1,,57.2,0,0,30,0.0,133.3,0.0,0,2,2,0,2,0,0.0,290,10.7,84.2,38,40,8.2,2.41,0,1,2.4,75.0,30,0,6.3,41,77.4,2,24,,,,,69.1,80.0,74.9,79.1,,,,0,0,42,,149.6,0.0,0,0,2,0,6,0,0.0,436,10.9,0,80.0,5,8,10.2,4.0,1,1,12.5,37.5,3,12,25.0,12,22.6,1,4,,,,66.7,66.4,85.8,71.2,83.4,89.1,,62.1,0,0,13,8.3,58.3,8.3,1,3,0,2,0,0,0.0,48,6.0
