player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Cade Klubnik,156253,QB,CLEMSON,1,47,54.5,11,13,9.2,2.78,1,2,15.4,46.2,6,4,0.0,14,29.8,0,4,,17.9,52.9,71.2,52.9,,,0,0,14,25.0,93.8,7.1,1,0,0,1,1,2,14.3,86,6.6,0,140,38.8,80.3,81.8,60.7,70.0,30,30,8.2,2.76,0,3,9.7,66.7,20,10,4.8,33,70.2,1,12,,68.5,90.8,74.2,90.3,,61.7,0,1,34,20.0,100.7,6.1,2,1,0,0,2,0,0.0,250,8.3,65.6,32,33,7.9,2.46,0,4,12.1,60.6,20,0,4.8,33,70.2,1,11,,68.5,85.8,74.1,84.8,,,0,1,33,,79.4,0.0,0,0,0,1,1,1,3.0,232,7.0,0,66.7,9,10,10.3,3.5,1,1,9.1,60.0,6,14,0.0,14,29.8,0,5,,18.5,68.0,71.4,66.0,,61.7,0,0,15,21.4,135.0,21.4,3,1,0,0,2,1,6.7,104,10.4
Nico Iamaleava,174728,QB,TENNESSEE,1,44,50.0,4,5,8.3,2.14,1,0,0.0,20.0,1,2,50.0,5,11.4,1,0,,64.2,35.5,68.6,35.9,,,0,0,6,0.0,39.6,0.0,0,0,0,0,0,1,16.7,2,0.4,0,307,71.9,61.5,56.8,64.7,58.3,24,26,11.1,3.43,2,1,3.8,50.0,13,17,7.1,39,88.6,1,6,,68.9,59.8,74.7,65.2,,52.2,0,0,39,23.5,60.1,10.3,4,9,0,0,0,0,0.0,102,3.9,72.7,22,24,8.3,2.31,2,1,4.2,58.3,14,0,12.5,25,56.8,2,4,,67.7,74.8,73.1,75.9,,57.8,0,0,25,,68.8,0.0,0,1,0,0,0,0,0.0,104,4.3,0,0.0,6,7,19.3,4.56,1,0,0.0,0.0,0,19,,19,43.2,0,2,,67.0,30.2,72.4,29.0,,53.3,0,0,20,21.1,39.6,21.1,4,8,0,0,0,1,5.0,0,0.0
Riley Leonard,143862,QB,NOTRE DAME,1,40,100.0,11,12,6.3,3.17,0,1,8.3,83.3,10,7,9.1,14,35.0,1,6,,66.2,76.5,71.2,76.0,,,1,0,14,28.6,126.0,14.3,2,0,0,0,1,0,0.0,91,7.6,0,258,70.8,75.9,76.3,65.6,82.4,17,20,5.1,3.2,1,0,0.0,65.0,13,11,7.1,26,65.0,1,8,,67.9,69.1,73.4,71.1,,58.9,1,1,27,9.1,57.7,3.8,1,5,0,1,0,0,0.0,107,5.4,90.0,20,21,4.6,2.43,1,0,0.0,76.2,16,0,11.1,22,55.0,2,7,,67.4,76.9,72.7,78.9,,57.3,0,1,22,,84.8,0.0,0,1,0,0,1,0,0.0,117,5.6,1,87.5,8,11,7.9,4.12,0,1,8.3,63.6,7,18,0.0,18,45.0,0,7,,67.0,66.5,72.2,66.0,,61.6,2,0,19,16.7,85.8,16.7,3,4,0,1,0,0,0.0,81,7.4
Kevin Jennings,158272,QB,SMU,1,40,57.1,14,16,2.6,3.38,0,0,0.0,50.0,8,9,0.0,19,47.5,0,1,,67.1,29.9,72.4,30.6,,57.3,0,2,20,22.2,16.7,10.5,2,1,0,2,0,1,5.0,36,2.3,0,287,70.9,57.4,55.6,61.4,87.5,16,20,10.8,3.24,0,3,12.5,60.0,12,10,14.3,21,52.5,2,10,,67.7,76.7,73.1,76.1,,,0,1,25,10.0,81.0,4.8,1,0,0,4,1,2,8.0,159,8.0,80.0,20,20,5.8,2.3,0,3,13.6,70.0,14,0,12.5,21,52.5,2,8,,67.5,90.0,72.8,90.5,,57.3,0,1,23,,86.0,0.0,0,1,0,0,1,0,0.0,143,7.2,0,60.0,10,16,9.5,4.42,0,0,0.0,37.5,6,19,0.0,19,47.5,0,3,,67.4,26.8,72.7,27.0,,,0,2,22,15.8,7.3,15.8,3,0,0,6,0,3,13.6,52,3.3
Kurtis Rourke,97998,QB,INDIANA,1,38,30.0,10,10,14.8,2.69,0,0,0.0,30.0,3,4,0.0,11,28.9,0,2,,66.2,42.2,71.2,42.5,,,0,0,14,25.0,43.3,9.1,1,0,0,0,0,1,7.1,39,3.9,0,190,69.6,55.1,53.8,61.5,81.0,21,24,8.3,2.3,2,1,4.0,70.8,17,4,0.0,27,71.1,0,10,,68.0,66.0,73.5,63.8,,63.2,0,1,28,50.0,102.1,7.4,2,1,1,0,2,1,3.6,176,7.3,71.4,28,30,10.1,2.13,1,1,3.0,66.7,20,0,0.0,30,78.9,0,11,,68.5,57.6,74.1,57.4,,,0,1,33,,95.8,0.0,0,0,1,0,2,2,6.1,215,7.2,0,0.0,3,4,13.3,3.49,1,0,0.0,0.0,0,8,,8,21.1,0,1,,65.1,51.9,69.8,46.5,,63.2,0,0,9,37.5,39.6,37.5,3,1,0,0,0,0,0.0,0,0.0
Will Howard,122599,QB,OHIO STATE,1,31,88.9,9,9,1.9,2.74,0,0,0.0,88.9,8,3,0.0,10,32.3,0,5,,65.4,69.2,70.1,72.8,,57.3,0,0,10,0.0,108.3,0.0,0,1,0,0,0,0,0.0,90,10.0,0,260,70.4,84.9,85.2,63.4,88.9,18,20,10.7,2.42,0,3,13.6,80.0,16,5,0.0,21,67.7,0,9,,67.6,85.6,73.0,84.8,,,0,1,24,0.0,125.2,0.0,0,0,0,2,2,0,0.0,221,11.1,90.5,21,21,7.0,2.36,0,2,9.1,90.5,19,0,0.0,23,74.2,0,10,,67.6,79.3,73.0,81.0,,57.3,0,1,24,,122.0,0.0,0,1,0,0,2,0,0.0,219,10.4,0,83.3,6,8,10.2,3.01,0,1,11.1,62.5,5,8,0.0,8,25.8,0,4,,65.4,80.6,70.1,80.0,,,0,0,10,0.0,102.1,0.0,0,0,0,2,0,0,0.0,92,11.5
Quinn Ewers,127253,QB,TEXAS,1,28,100.0,6,6,3.0,2.12,0,0,0.0,100.0,6,2,0.0,6,21.4,0,2,,64.2,71.2,68.6,70.8,,,0,0,6,0.0,104.9,0.0,0,0,0,0,0,0,0.0,55,9.2,0,311,69.3,67.7,66.7,61.1,72.2,18,18,9.2,2.79,0,1,4.8,61.1,11,4,15.4,22,78.6,2,9,,67.7,63.9,73.1,63.5,,60.5,0,1,25,50.0,82.4,9.1,2,2,0,0,1,0,0.0,147,8.2,76.2,21,21,9.1,2.52,0,1,4.3,66.7,14,0,12.5,22,78.6,2,9,,67.6,72.4,73.0,70.3,,63.1,0,1,24,,84.8,0.0,0,1,0,0,1,0,0.0,157,7.5,0,100.0,3,3,-2.7,3.08,0,0,0.0,100.0,3,6,0.0,6,21.4,0,2,,64.6,48.4,69.1,51.9,,57.3,0,0,7,33.3,118.8,33.3,2,1,0,0,0,0,0.0,45,15.0
Drew Allar,164157,QB,PENN STATE,1,27,75.0,4,4,9.5,2.62,0,0,0.0,75.0,3,3,0.0,5,18.5,0,1,,63.8,62.1,69.1,62.2,60.0,,0,0,5,33.3,106.3,20.0,1,0,0,0,0,0,0.0,40,10.0,0,266,69.1,60.0,54.1,68.3,61.1,18,18,4.2,3.49,0,0,0.0,55.6,10,8,9.1,22,81.5,1,6,,67.4,57.3,72.7,52.1,,68.2,0,0,22,25.0,68.5,9.1,2,2,0,0,0,0,0.0,87,4.8,73.3,15,15,5.0,2.49,0,0,0.0,66.7,10,0,9.1,16,59.3,1,5,,66.5,62.1,72.1,60.0,60.0,61.7,0,0,16,,82.1,0.0,0,1,0,0,0,0,0.0,88,5.9,0,42.9,7,7,5.4,4.54,0,0,0.0,42.9,3,11,0.0,11,40.7,0,2,,65.6,54.3,70.4,48.8,,64.2,0,0,11,27.3,61.0,27.3,3,1,0,0,0,0,0.0,39,5.6
Ethan Grunkemeyer,183606,QB,PENN STATE,1,2,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,266,61.8,63.8,62.7,,100.0,2,2,4.5,1.65,0,0,0.0,50.0,1,1,50.0,2,100.0,1,1,,61.8,62.9,65.5,62.7,,,0,1,2,0.0,22.9,0.0,0,0,0,0,0,0,0.0,9,4.5,100.0,1,1,5.0,1.5,0,0,0.0,100.0,1,0,0.0,1,50.0,0,1,,60.3,61.1,63.6,61.0,,,0,0,1,,104.2,0.0,0,0,0,0,0,0,0.0,9,9.0,0,100.0,1,1,4.0,1.8,0,0,0.0,0.0,0,1,100.0,1,50.0,1,0,,60.3,60.8,63.6,60.6,,,0,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0
Tyler Warren,129798,TE,PENN STATE,1,1,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,70.7,63.7,72.9,69.6,60.4,71.8,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,266,66.7,70.5,60.4,63.1,,0,0,,,0,0,,,0,0,,0,0.0,0,0,70.7,62.9,56.6,76.2,,59.7,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,74.9,65.3,65.1,74.8,60.4,68.6,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,56.8,72.8,,56.9,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Julian Sayin,183708,QB,OHIO STATE,1,1,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,260,60.3,48.3,48.5,,0.0,1,1,11.0,2.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,60.3,48.1,63.6,48.5,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,1,11.0,2.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,60.3,48.1,63.6,48.5,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Devin Brown,156479,QB,OHIO STATE,1,1,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0,260,60.3,61.2,60.6,,100.0,1,1,5.0,1.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,60.3,60.8,63.6,60.6,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,100.0,1,1,5.0,1.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,60.3,60.8,63.6,60.6,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
