player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Kevin Jennings,158272,QB,SMU,1,54,100.0,6,6,5.5,2.1,0,0,0.0,100.0,6,1,0.0,6,11.1,0,3,,64.6,72.2,69.1,71.8,,,0,0,7,0.0,98.6,0.0,0,0,0,0,0,0,0.0,46,7.7,0,287,47.1,78.0,73.9,71.6,73.8,42,46,9.2,3.07,2,2,4.3,58.7,27,13,12.9,48,88.9,4,16,,37.4,72.9,75.6,72.2,,,0,1,49,15.4,88.0,4.2,2,0,0,2,3,2,4.1,268,5.8,77.5,40,40,9.2,2.42,0,2,4.9,67.5,27,0,12.9,40,74.1,4,14,,69.1,90.3,74.9,89.8,,,0,0,41,,110.7,0.0,0,0,0,0,3,0,0.0,263,6.6,0,75.0,8,12,6.6,4.53,2,0,0.0,50.0,6,14,0.0,14,25.9,0,5,,21.6,30.2,71.4,30.5,,,0,1,15,14.3,26.7,14.3,2,0,0,2,0,2,13.3,51,4.3
Quinn Ewers,127253,QB,TEXAS,1,52,83.3,18,22,9.6,2.55,1,1,4.5,59.1,13,11,13.3,26,50.0,2,7,,67.8,88.0,73.3,87.0,,,1,1,26,36.4,61.2,15.4,4,0,0,2,0,0,0.0,152,6.9,0,311,70.0,87.7,87.9,57.3,78.3,23,24,8.0,2.57,0,3,11.5,58.3,14,6,22.2,26,50.0,4,9,,68.1,78.7,73.6,79.8,,57.3,0,1,29,33.3,83.0,7.7,2,0,0,1,1,2,6.9,206,8.6,82.9,35,35,8.6,2.3,0,3,8.1,68.6,24,0,17.2,35,67.3,5,14,,68.9,91.7,74.6,91.7,,57.3,0,0,38,,106.1,0.0,0,0,0,0,1,1,2.6,314,9.0,0,66.7,6,11,9.7,3.1,1,1,9.1,27.3,3,17,25.0,17,32.7,1,2,,66.7,54.5,71.8,54.2,,,1,2,17,35.3,4.2,35.3,6,0,0,3,0,1,5.9,44,4.0
Cade Klubnik,156253,QB,CLEMSON,1,45,54.5,11,13,11.0,2.71,0,0,0.0,46.2,6,9,0.0,15,33.3,0,5,,66.5,54.8,71.6,54.7,,,0,0,16,22.2,91.8,13.3,2,0,0,2,1,1,6.3,80,6.2,0,140,44.7,71.2,76.4,52.3,77.8,27,28,6.1,2.6,0,1,3.6,64.3,18,8,14.3,30,66.7,3,9,,68.2,85.5,73.7,86.7,,57.3,0,0,30,12.5,118.3,3.3,1,1,0,1,3,0,0.0,181,6.5,74.1,27,27,7.0,2.26,0,1,3.7,63.0,17,0,15.0,28,62.2,3,9,,68.0,83.2,73.5,84.4,,57.3,0,0,28,,120.1,0.0,0,1,0,0,4,0,0.0,168,6.2,0,63.6,11,14,9.0,3.26,0,0,0.0,50.0,7,17,0.0,17,37.8,0,5,,66.8,57.8,72.0,57.6,,,0,0,18,17.6,71.4,17.6,3,0,0,3,0,1,5.6,93,6.6
Drew Allar,164157,QB,PENN STATE,1,41,69.2,13,13,9.3,2.71,0,1,7.7,61.5,8,4,11.1,15,36.6,1,7,,66.4,76.5,71.4,70.2,,70.8,0,0,15,0.0,76.4,0.0,0,2,0,0,0,0,0.0,72,5.5,0,266,70.8,68.2,65.2,68.6,50.0,24,26,10.1,2.72,0,2,7.4,46.2,12,8,0.0,26,63.4,0,7,,67.9,60.5,73.7,60.7,57.2,,0,2,27,0.0,71.6,0.0,0,0,0,2,3,2,7.4,154,5.9,62.1,29,29,8.1,2.28,0,1,3.3,62.1,18,0,0.0,29,70.7,0,11,,68.2,62.3,73.7,62.0,,,0,2,30,,77.4,0.0,0,0,0,0,2,2,6.7,204,7.0,0,37.5,8,10,15.9,3.78,0,2,20.0,20.0,2,12,33.3,12,29.3,1,3,,65.8,75.0,71.3,69.4,57.2,70.8,0,0,12,0.0,72.9,0.0,0,2,0,2,1,0,0.0,22,2.2
Rocco Becht,157567,QB,IOWA STATE,1,39,60.0,5,8,10.8,2.99,1,0,0.0,37.5,3,4,0.0,9,23.1,0,2,,65.4,50.8,70.1,50.7,,,0,0,10,0.0,45.8,0.0,0,0,0,2,0,0,0.0,21,2.6,0,193,70.4,90.2,81.9,83.7,79.2,24,28,9.5,2.81,2,3,10.3,67.9,19,5,0.0,30,76.9,0,12,,68.3,91.7,73.9,90.1,,75.8,0,1,31,0.0,97.9,0.0,0,2,0,2,2,0,0.0,204,7.3,76.9,26,29,9.8,2.32,2,3,10.0,69.0,20,0,0.0,30,76.9,0,12,,68.3,88.3,73.9,87.3,,,0,1,31,,100.1,0.0,0,0,0,1,2,0,0.0,222,7.7,0,66.7,3,7,9.3,4.62,1,0,0.0,28.6,2,9,0.0,9,23.1,0,2,,65.4,69.9,70.1,53.4,,75.8,0,0,10,0.0,39.6,0.0,0,2,0,3,0,0,0.0,3,0.4
Hajj-Malik Williams,102348,QB,UNLV,1,38,55.6,9,9,13.9,2.66,0,1,11.1,55.6,5,5,0.0,13,34.2,0,1,,66.0,48.9,71.0,48.9,,,0,0,13,80.0,72.5,30.8,4,0,0,0,0,1,7.7,52,5.8,0,325,24.9,41.7,33.2,65.5,42.1,19,19,12.1,3.04,0,1,5.0,42.1,8,9,0.0,25,65.8,0,4,,26.3,38.3,73.3,31.1,,68.4,0,1,26,22.2,28.0,8.0,2,4,0,0,0,3,11.5,58,3.1,52.2,23,23,12.5,2.47,0,2,8.3,52.2,12,0,0.0,24,63.2,0,4,,26.0,48.9,73.1,50.3,,57.3,0,0,25,,64.9,0.0,0,1,0,0,0,2,8.0,107,4.7,1,20.0,5,5,13.2,3.67,0,0,0.0,20.0,1,14,0.0,14,36.8,0,1,,66.2,31.1,71.2,26.1,,72.6,0,1,14,42.9,0.0,42.9,6,3,0,0,0,2,14.3,3,0.6
Dillon Gabriel,86272,QB,OREGON,1,35,86.7,15,17,4.7,2.12,2,0,0.0,64.7,11,4,15.4,17,48.6,2,7,,66.7,85.0,71.8,84.2,,,0,0,17,0.0,129.7,0.0,0,0,0,0,3,0,0.0,139,8.2,0,264,34.6,79.5,84.9,53.4,85.7,14,15,7.5,2.89,1,0,0.0,73.3,11,7,8.3,18,51.4,1,6,,66.8,76.3,72.0,75.9,,61.8,0,0,18,14.3,125.4,5.6,1,2,0,0,1,0,0.0,144,9.6,82.6,23,24,4.4,2.13,1,0,0.0,66.7,16,0,15.8,24,68.6,3,8,,67.6,77.4,73.0,76.7,,,0,0,24,,124.3,0.0,0,0,0,0,3,0,0.0,156,6.5,0,100.0,6,8,12.5,3.35,2,0,0.0,75.0,6,11,0.0,11,31.4,0,5,,65.6,86.5,70.4,87.9,,61.8,0,0,11,9.1,156.3,9.1,1,2,0,0,1,0,0.0,127,15.9
Darian Mensah,169984,QB,TULANE,1,33,71.4,7,8,7.3,3.13,0,0,0.0,62.5,5,4,0.0,10,30.3,0,3,,23.0,57.0,70.1,54.7,,61.8,1,0,10,0.0,121.9,0.0,0,2,0,0,1,0,0.0,54,6.8,0,319,20.8,49.5,48.3,57.7,76.5,17,17,12.1,3.99,0,0,0.0,70.6,12,7,7.7,23,69.7,1,7,,22.6,42.4,72.8,48.1,,47.2,0,1,23,28.6,94.0,8.7,2,4,0,0,1,3,13.0,155,9.1,72.2,18,18,12.1,3.18,0,0,0.0,66.7,12,0,7.7,22,66.7,1,6,,22.2,36.6,72.7,40.7,,49.2,0,1,22,,91.9,4.5,1,3,0,0,1,3,13.6,168,9.3,0,83.3,6,7,6.7,4.83,0,0,0.0,71.4,5,11,0.0,11,33.3,0,4,,23.7,66.7,70.4,69.9,,58.2,1,0,11,9.1,125.6,9.1,1,3,0,0,1,0,0.0,41,5.9
Caden Veltkamp,156642,QB,W KENTUCKY,1,33,59.1,22,22,9.9,2.16,0,0,0.0,59.1,13,8,0.0,25,75.8,0,5,,23.8,61.5,73.4,61.2,,,0,0,27,37.5,87.5,12.0,3,0,0,0,1,1,3.7,111,5.0,0,346,27.7,61.6,61.1,59.4,71.4,7,8,13.1,3.15,0,0,0.0,62.5,5,4,0.0,8,24.2,0,1,,65.6,60.6,70.4,60.4,,,0,0,11,0.0,69.8,0.0,0,0,0,1,0,0,0.0,30,3.8,65.0,20,20,10.0,2.0,0,0,0.0,65.0,13,0,0.0,21,63.6,0,4,,23.0,56.6,73.0,56.4,,,0,0,24,,89.2,4.8,1,0,0,0,1,1,4.2,78,3.9,0,55.6,9,10,12.2,3.09,0,0,0.0,50.0,5,12,0.0,12,36.4,0,2,,66.0,67.7,71.2,67.3,,,0,0,14,16.7,70.0,16.7,2,0,0,1,0,0,0.0,63,6.3
Daniel Beale,197861,QB,LA LAFAYET,1,31,50.0,8,10,7.3,2.97,1,0,0.0,30.0,3,5,25.0,12,38.7,1,1,,66.0,46.7,71.0,48.8,,57.3,0,0,13,20.0,39.6,8.3,1,1,0,1,0,0,0.0,21,2.1,0,207,69.5,45.5,52.4,44.4,69.2,13,14,13.8,3.38,0,1,6.7,42.9,6,8,33.3,19,61.3,3,4,,67.1,48.2,72.4,57.7,,44.2,0,1,20,12.5,30.1,5.3,1,4,0,1,0,1,5.0,74,5.3,62.5,16,16,8.4,2.61,0,0,0.0,50.0,8,0,20.0,18,58.1,2,4,,67.0,48.7,72.2,52.5,,51.8,0,0,19,,65.1,0.0,0,2,0,0,0,0,0.0,82,5.1,1,60.0,5,8,20.8,4.07,1,1,11.1,12.5,1,13,66.7,13,41.9,2,1,,66.2,46.1,71.2,55.7,,46.5,0,1,14,15.4,0.0,15.4,2,3,0,2,0,1,7.1,13,1.6
