player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Maverick McIvor,99476,QB,W KENTUCKY,1,56,82.4,17,18,7.6,2.02,0,1,5.6,66.7,12,8,14.3,18,32.1,2,9,66.8,90.0,72.0,89.1,,,1,0,18,0.0,92.1,0.0,0,0,0,0,0,0,0.0,149,8.3,0,346,70.8,77.3,78.1,58.3,74.2,31,33,12.2,2.61,1,3,8.8,63.6,21,8,8.7,38,67.9,2,13,68.9,65.4,74.7,66.4,,57.0,0,0,39,25.0,118.0,5.3,2,3,0,1,3,1,2.6,258,7.8,81.1,37,38,10.4,2.27,1,4,10.3,71.1,27,0,10.0,40,71.4,3,16,69.1,77.7,74.9,77.5,,60.2,0,0,41,,124.1,0.0,0,2,0,0,3,1,2.4,333,8.8,0,63.6,11,13,11.3,2.81,0,0,0.0,46.2,6,16,14.3,16,28.6,1,6,66.5,68.6,71.6,70.8,,57.3,1,0,16,12.5,64.3,12.5,2,1,0,1,0,0,0.0,74,5.7
Micah Alejado,184162,QB,HAWAII,1,49,75.0,12,12,11.2,2.4,0,0,0.0,66.7,8,2,11.1,15,30.6,1,6,66.4,64.8,71.4,60.9,,64.1,0,0,15,100.0,80.9,13.3,2,1,0,0,0,0,0.0,67,5.6,0,180,30.3,56.1,55.5,58.9,76.9,26,27,8.4,2.65,0,1,3.7,70.4,19,8,5.0,34,69.4,1,10,26.6,52.0,74.3,53.6,,55.2,0,0,35,25.0,107.5,5.9,2,5,0,1,2,1,2.9,143,5.3,75.0,36,36,9.8,2.34,0,1,2.8,69.4,25,0,7.4,39,79.6,2,14,69.0,63.7,74.8,65.7,,54.6,0,0,40,,100.7,0.0,0,3,0,0,2,0,0.0,192,5.3,0,100.0,2,3,1.0,3.47,0,0,0.0,66.7,2,10,0.0,10,20.4,0,2,14.7,34.7,70.1,27.6,,64.4,0,0,10,40.0,82.6,40.0,4,3,0,1,0,1,10.0,18,6.0
Hunter Watson,183993,QB,SM HOUSTON,1,39,75.0,8,10,4.8,3.56,1,0,0.0,60.0,6,6,0.0,14,35.9,0,2,66.4,56.2,71.4,55.9,,59.4,0,0,15,16.7,74.6,7.1,1,3,0,1,0,0,0.0,54,5.4,0,281,71.2,62.0,66.1,57.1,75.0,20,20,7.1,3.08,0,0,0.0,65.0,13,10,13.3,25,64.1,2,6,67.9,64.8,73.4,70.5,,51.7,0,1,27,10.0,67.7,4.0,1,4,0,0,0,1,3.7,155,7.8,84.2,19,20,6.9,2.63,1,0,0.0,75.0,15,0,6.3,23,59.0,1,7,67.7,67.2,73.1,72.3,,51.0,0,1,25,,82.9,0.0,0,3,0,0,0,1,4.0,188,9.4,1,55.6,9,10,5.3,4.14,0,0,0.0,40.0,4,16,20.0,16,41.0,1,1,66.7,53.8,71.8,53.5,,58.5,0,0,17,12.5,47.9,12.5,2,4,0,1,0,0,0.0,21,2.1
Rocco Becht,157567,QB,IOWA STATE,1,36,78.6,14,14,10.9,2.65,0,2,13.3,64.3,9,5,18.2,18,50.0,2,7,23.4,82.9,72.2,85.3,,59.2,0,0,19,20.0,133.9,5.6,1,3,0,0,2,1,5.3,130,9.3,0,193,26.2,76.0,74.3,65.8,46.2,13,14,10.5,2.93,0,0,0.0,35.7,5,7,16.7,18,50.0,1,2,27.9,56.0,72.0,57.4,,57.8,0,0,18,42.9,47.6,16.7,3,1,0,1,0,0,0.0,53,3.8,72.7,22,23,11.3,2.48,0,2,8.7,56.5,13,0,18.8,24,66.7,3,8,31.0,86.1,73.0,87.2,,57.8,0,0,24,,109.5,0.0,0,1,0,1,2,0,0.0,173,7.5,0,20.0,5,5,8.4,3.42,0,0,0.0,20.0,1,12,0.0,12,33.3,0,1,20.0,43.6,71.0,40.9,,59.2,0,0,13,33.3,39.6,33.3,4,3,0,0,0,1,7.7,10,2.0
E.J. Warner,156185,QB,FRESNO ST,1,32,66.7,9,10,6.0,3.06,0,0,0.0,60.0,6,7,0.0,12,37.5,0,3,19.2,43.5,70.7,43.5,,,0,1,12,28.6,32.5,16.7,2,0,0,1,0,2,16.7,48,4.8,0,169,28.8,59.4,56.9,63.3,73.7,19,19,5.5,2.53,0,0,0.0,63.2,12,4,14.3,20,62.5,2,6,67.1,67.0,72.4,66.6,,,0,1,20,25.0,61.5,5.0,1,0,0,0,0,0,0.0,131,6.9,66.7,21,21,4.8,2.24,0,0,0.0,57.1,12,0,14.3,21,65.6,2,5,67.2,67.4,72.5,66.9,,,0,1,21,,46.3,0.0,0,0,0,0,0,0,0.0,83,4.0,0,85.7,7,8,8.4,3.65,0,0,0.0,75.0,6,11,0.0,11,34.4,0,4,18.5,42.8,70.4,43.0,,,0,1,11,27.3,75.0,27.3,3,0,0,1,0,2,18.2,96,12.0
Ben Gulbranson,131734,QB,STANFORD,1,32,63.6,11,13,4.3,2.48,0,0,0.0,53.8,7,5,0.0,13,40.6,0,2,66.0,41.7,71.0,41.8,,,0,1,13,0.0,37.3,0.0,0,0,0,2,0,2,15.4,70,5.4,0,300,68.6,29.4,29.3,51.4,50.0,16,17,6.8,2.95,0,0,0.0,41.2,7,3,12.5,19,59.4,1,2,67.4,28.6,72.7,29.3,,51.4,1,0,22,0.0,48.9,0.0,0,2,0,0,0,1,4.5,37,2.2,60.9,23,23,6.0,2.51,0,0,0.0,56.5,13,0,7.1,24,75.0,1,3,67.6,32.8,73.0,34.1,,57.3,0,1,24,,43.9,0.0,0,1,0,0,0,2,8.3,71,3.1,1,25.0,4,7,4.3,3.5,0,0,0.0,14.3,1,8,0.0,8,25.0,0,1,65.6,29.7,70.4,31.5,,56.3,1,0,11,0.0,48.5,0.0,0,1,0,2,0,1,9.1,36,5.1
Avery Johnson,173108,QB,KANSAS ST,1,32,71.4,7,8,7.1,2.35,0,0,0.0,50.0,4,3,20.0,8,25.0,1,3,64.9,69.4,69.5,69.0,,,0,0,8,0.0,67.7,0.0,0,0,0,1,0,1,12.5,46,5.8,0,199,71.9,85.6,83.8,68.6,90.5,21,23,11.0,2.28,1,1,4.3,73.9,17,2,10.5,24,75.0,2,6,67.4,85.7,73.0,84.8,,,0,0,24,0.0,133.8,0.0,0,0,0,1,2,0,0.0,227,9.9,84.0,25,26,9.7,2.1,1,1,3.8,69.2,18,0,14.3,27,84.4,3,7,67.8,78.7,73.4,78.0,,,0,0,27,,119.7,0.0,0,0,0,0,2,1,3.7,214,8.2,1,100.0,3,5,12.7,3.38,0,0,0.0,60.0,3,5,0.0,5,15.6,0,2,63.3,87.2,68.1,86.5,,,0,0,5,0.0,101.3,0.0,0,0,0,2,0,0,0.0,59,11.8
Anthony Colandrea,170131,QB,UNLV,1,28,80.0,10,11,9.4,2.55,0,2,15.4,63.6,7,6,12.5,14,50.0,1,4,66.5,82.8,71.9,72.8,,77.5,0,0,16,16.7,111.6,7.1,1,2,0,1,1,0,0.0,69,6.3,0,325,72.3,86.9,74.9,80.6,88.9,9,10,9.0,3.53,0,1,10.0,80.0,8,5,0.0,14,50.0,0,7,66.2,72.1,71.2,70.8,,62.8,0,0,14,40.0,118.8,14.3,2,2,0,1,0,0,0.0,126,12.6,81.3,16,16,7.4,2.65,0,2,11.8,75.0,12,0,7.7,17,60.7,1,7,66.8,80.7,72.3,77.9,,64.3,0,0,18,,96.6,0.0,0,1,0,0,0,0,0.0,123,7.7,0,100.0,3,5,18.7,3.64,0,1,16.7,60.0,3,11,0.0,11,39.3,0,4,65.8,74.3,70.7,62.3,,73.5,0,0,12,27.3,143.8,27.3,3,3,0,2,1,0,0.0,72,14.4
Jalon Daniels,122555,QB,KANSAS,1,23,100.0,7,8,5.3,3.0,0,0,0.0,75.0,6,5,14.3,9,39.1,1,5,65.4,77.6,70.1,77.1,,,1,0,10,20.0,143.2,11.1,1,0,0,0,1,0,0.0,75,9.4,0,198,70.9,88.7,83.2,74.4,92.3,13,13,4.2,2.99,0,0,0.0,92.3,12,5,0.0,14,60.9,0,7,66.2,82.8,71.2,79.5,,64.2,0,0,14,0.0,138.6,0.0,0,1,0,0,2,0,0.0,101,7.8,92.3,13,13,4.5,2.27,0,0,0.0,92.3,12,0,0.0,13,56.5,0,8,66.2,80.9,71.2,80.3,,,0,0,14,,148.2,0.0,0,0,0,0,2,0,0.0,131,10.1,0,100.0,7,8,4.6,3.93,0,0,0.0,75.0,6,10,14.3,10,43.5,1,4,65.4,80.1,70.1,76.0,,64.2,1,0,10,10.0,127.6,10.0,1,1,0,0,1,0,0.0,45,5.6
Alex Orji,158545,QB,UNLV,1,4,100.0,1,1,-2.0,1.1,0,0,0.0,100.0,1,0,0.0,1,25.0,0,1,61.8,55.0,66.6,58.9,54.3,,0,0,2,,118.8,0.0,0,0,0,0,0,0,0.0,19,19.0,0,325,20.5,63.7,61.4,63.4,100.0,2,2,5.0,2.67,0,0,0.0,100.0,2,1,0.0,3,75.0,0,2,62.7,70.4,66.6,62.6,,63.7,0,0,3,0.0,104.2,0.0,0,1,0,0,0,0,0.0,18,9.0,100.0,3,3,2.7,1.53,0,0,0.0,100.0,3,0,0.0,3,75.0,0,2,62.7,60.2,67.4,63.9,54.3,,0,0,3,,118.1,0.0,0,0,0,0,0,0,0.0,37,12.3,0,,0,0,,4.5,0,0,0.0,,0,1,,1,25.0,0,1,61.8,66.0,65.5,60.0,,63.7,0,0,2,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,
