player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Parker McKinney,82109,QB,E KENTUCKY,1,2.66,2.38,3.15,4.68,60,159,65.6,32,33,8.1,1.91,1,2,5.9,57.6,19,5,9.5,33,55.0,2,11,,,,,68.5,89.4,74.2,,88.3,,,,,0,0,34,0.0,109.5,0.0,0,0,0,0,4,0,0.0,157,4.8,62.5,16,17,13.4,3.57,0,0,0.0,58.8,10,16,0.0,27,45.0,0,10,,,,,16.8,59.8,73.4,,65.5,,51.7,,,0,0,27,25.0,83.7,14.8,4,6,0,1,0,2,7.4,133,7.8
Kasim Hill,60444,QB,RHODE ISLD,1,2.8,2.66,4.32,,60,274,72.7,22,22,9.7,2.0,0,2,9.1,68.2,15,1,6.3,22,36.7,1,9,,,,,67.4,83.9,72.7,,83.0,,,,,0,0,22,0.0,122.7,0.0,0,0,0,0,2,0,0.0,177,8.0,65.5,29,33,13.0,3.26,1,2,5.7,48.5,16,7,15.8,38,63.3,3,10,,,,,69.0,72.3,74.8,,71.6,,,,,0,2,40,71.4,55.9,13.2,5,0,0,3,1,2,5.0,226,6.8
Rogan Wells,149999,QB,W CAROLINA,1,3.16,2.84,4.33,5.64,59,344,68.8,16,17,4.0,2.08,1,0,0.0,58.8,10,3,9.1,17,28.8,1,6,,,,,66.7,55.2,71.8,,55.1,,,,,0,0,17,0.0,88.6,0.0,0,0,0,0,1,0,0.0,73,4.3,67.7,31,34,11.4,3.59,0,2,5.4,58.8,20,17,4.8,42,71.2,1,14,,,,,69.4,62.2,75.2,,62.7,,58.3,,,0,0,45,17.6,119.6,7.1,3,5,0,3,3,2,4.4,319,9.4
Todd Centeio,60552,QB,COLO STATE,1,3.03,2.83,3.48,4.54,58,144,72.7,22,22,8.2,2.02,0,1,4.3,72.7,16,8,0.0,23,39.7,0,8,,,,,67.6,68.8,73.0,,68.3,,,,,0,1,24,12.5,128.0,4.3,1,0,0,0,3,1,4.2,236,10.7,60.9,23,26,13.5,3.7,0,3,11.5,50.0,13,17,7.1,35,60.3,1,12,,,,,68.5,82.0,74.3,,83.2,,60.8,,,0,1,35,23.5,100.0,11.4,4,5,0,3,2,1,2.9,291,11.2
Kobe Tracy,141317,QB,DIXIE,1,2.84,2.58,3.17,5.78,56,1285,56.5,23,23,10.1,1.84,0,0,0.0,47.8,11,2,15.4,24,42.9,2,9,,,,,25.6,39.7,73.0,,40.1,,,,,0,1,24,50.0,45.6,4.2,1,0,0,0,0,2,8.3,120,5.2,61.9,21,26,13.3,3.59,0,3,11.1,50.0,13,15,0.0,32,57.1,0,8,,,,,68.4,76.3,74.1,,80.0,,54.4,,,0,0,33,13.3,86.5,6.3,2,4,0,5,1,0,0.0,187,7.2
Dylan Morris,100570,QB,WASHINGTON,1,2.54,2.44,3.35,4.45,56,340,83.3,24,26,2.0,1.68,1,1,3.8,73.1,19,3,5.0,26,46.4,1,6,,,,,67.8,66.8,73.3,,66.3,,,,,1,1,26,0.0,85.4,0.0,0,0,0,0,1,0,0.0,160,6.2,72.7,22,26,14.8,3.3,1,2,7.7,53.8,14,9,12.5,30,53.6,2,12,,,,,27.7,79.9,73.7,,83.5,,51.7,,,0,1,30,22.2,80.1,6.7,2,2,0,3,1,2,6.7,227,8.7
Brennan Armstrong,77696,QB,VIRGINIA,1,2.59,2.46,3.46,5.0,55,335,75.0,28,28,9.6,2.05,0,1,3.4,71.4,20,2,4.8,28,50.9,1,14,,,,,68.1,75.8,73.6,,75.1,,,,,0,0,29,0.0,127.5,0.0,0,0,0,0,2,0,0.0,283,10.1,85.0,20,21,13.2,3.16,0,3,13.6,76.2,16,13,5.9,27,49.1,1,9,,,,,68.0,91.4,73.5,,91.6,,57.3,,,0,1,28,38.5,101.7,18.5,5,1,0,1,1,0,0.0,202,9.6
Connor Sampson,33374,QB,W ILLINOIS,1,3.23,2.79,4.07,5.77,55,345,88.2,17,18,-0.4,1.95,1,0,0.0,83.3,15,4,0.0,19,34.5,0,4,,,,,67.0,59.1,72.2,,58.8,,,,,0,0,19,25.0,82.2,5.3,1,0,0,0,0,0,0.0,67,3.7,76.2,21,22,7.4,3.91,0,2,8.7,63.6,14,18,12.5,36,65.5,2,5,,,,,68.8,51.6,74.6,,51.8,,57.5,,,0,3,37,61.1,34.5,30.6,11,3,0,1,0,2,5.4,100,4.5
Layne Hatcher,82068,QB,ARK STATE,1,2.81,2.74,3.32,3.5,55,113,76.2,21,22,4.1,1.91,1,0,0.0,68.2,15,5,6.3,25,45.5,1,5,,,,,67.8,51.9,73.3,,51.8,,,,,0,1,26,60.0,83.3,12.0,3,0,0,0,1,1,3.8,149,6.8,59.1,22,26,14.6,3.57,0,0,0.0,50.0,13,16,0.0,30,54.5,0,5,,,,,68.3,50.8,73.9,,53.0,,56.4,,,0,1,31,18.8,47.6,10.0,3,1,0,4,0,2,6.5,124,4.8
Davis Alexander,52162,QB,PORTLAND,1,2.29,2.16,3.5,6.2,54,269,80.0,35,37,4.8,1.7,1,1,2.6,70.3,26,4,7.1,37,68.5,2,13,,,,,68.9,80.5,74.7,,79.6,,,,,0,0,39,0.0,97.8,0.0,0,0,0,1,1,0,0.0,250,6.8,72.7,11,14,13.5,3.56,0,2,12.5,50.0,7,8,12.5,17,31.5,1,4,,,,,20.8,62.1,72.2,,59.3,,63.7,,,0,0,19,25.0,94.3,11.8,2,1,0,3,1,2,10.5,90,6.4
