player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Ren Hefley,101621,QB,PRESBYTERN,1,2.6,2.52,2.66,4.67,89,271,69.4,49,49,6.5,1.86,0,2,3.7,67.3,33,3,2.9,49,55.1,1,13,,,,69.9,35.7,75.9,,36.2,,,,,,0,1,54,0.0,87.8,0.0,0,0,0,0,2,5,9.3,288,5.9,58.1,31,32,11.0,3.51,0,6,16.2,53.1,17,18,5.6,40,44.9,1,9,,,,69.4,73.6,75.5,,71.8,,,65.5,,,0,2,45,27.8,76.2,12.5,5,3,0,1,2,2,4.4,269,8.4
Connor Sampson,33374,QB,W ILLINOIS,1,3.04,2.78,3.24,9.95,68,345,73.1,26,28,5.0,1.93,1,0,0.0,57.1,16,9,15.8,28,41.2,3,7,,,,68.1,39.6,73.6,,39.8,,,,,,1,0,29,0.0,81.5,0.0,0,0,0,0,1,1,3.4,134,4.8,84.6,26,31,16.1,3.82,0,5,15.2,64.5,20,24,9.1,40,58.8,2,17,,,,22.1,90.4,75.1,,90.0,,,66.2,,,1,1,44,29.2,117.0,17.5,7,2,0,4,3,3,6.8,315,10.2
Jonah Johnson,138484,QB,NEW MEX ST,1,2.49,2.4,3.4,,68,242,74.3,35,36,8.1,1.77,1,0,0.0,63.9,23,7,11.5,38,55.9,3,12,,,,68.9,63.6,74.7,,63.1,,,,,,0,0,39,28.6,88.4,5.3,2,0,0,0,1,0,0.0,206,5.7,70.8,24,26,14.0,3.4,0,2,7.7,57.7,15,20,11.8,30,44.1,2,7,,,,68.3,68.9,73.9,,66.4,,,64.2,,,0,0,31,20.0,110.9,13.3,4,0,0,2,2,2,6.5,219,8.4
Seth Henigan,144267,QB,MEMPHIS,1,2.75,2.48,3.53,4.88,66,218,80.8,26,26,6.7,1.97,0,1,3.6,76.9,20,4,4.8,26,39.4,1,11,,,,68.0,85.7,73.5,,84.7,,,,,,0,1,28,0.0,96.3,0.0,0,0,0,0,1,1,3.6,208,8.0,57.7,26,31,15.8,3.26,0,3,9.1,45.2,14,20,6.7,40,60.6,1,15,,,,32.5,69.4,74.9,,65.0,,,69.7,,,2,1,42,15.0,71.3,7.5,3,6,0,3,1,3,7.1,255,8.2
Bailey Zappe,60396,QB,W KENTUCKY,1,2.66,2.43,5.6,5.27,65,346,86.8,38,42,7.3,1.89,3,4,9.1,64.3,27,2,18.2,42,64.6,6,17,,,,69.3,69.4,75.1,,68.8,,,,,,1,1,44,0.0,102.6,0.0,0,0,0,0,3,2,4.5,333,7.9,75.0,16,18,11.8,4.06,0,2,10.5,61.1,11,6,8.3,23,35.4,1,10,,,,67.7,81.5,73.1,,88.6,,,49.1,,,0,0,25,33.3,134.0,8.7,2,3,0,2,2,1,4.0,190,10.6
Brennan Armstrong,77696,QB,VIRGINIA,1,2.62,2.52,3.78,,65,335,79.3,29,29,5.8,1.79,0,0,0.0,72.4,21,3,8.7,29,44.6,2,10,,,,68.1,76.2,73.6,,75.5,,,,,,0,1,29,0.0,94.5,0.0,0,0,0,0,2,0,0.0,163,5.6,67.7,31,31,14.1,3.29,0,1,3.1,61.3,19,11,9.5,36,55.4,2,15,,,,68.9,87.6,74.9,,82.2,,,77.2,,,0,1,39,45.5,94.0,13.9,5,0,0,0,1,1,2.6,324,10.5
Romelo Williams,78489,QB,CENT CT ST,1,3.09,2.7,4.74,4.45,64,133,84.0,25,27,9.4,1.95,2,4,14.3,74.1,20,3,4.8,27,42.2,1,14,,,,68.0,92.2,73.5,,91.8,,,,,,0,0,28,0.0,132.9,0.0,0,0,0,0,3,0,0.0,208,7.7,47.6,21,24,12.6,3.92,1,2,8.3,41.7,10,17,0.0,37,57.8,0,4,,,,20.1,52.7,74.5,,46.2,,,71.3,,,0,0,37,52.9,51.7,24.3,9,4,0,2,0,4,10.8,86,3.6
Jason Shelley,60581,QB,MO STATE,1,3.04,2.73,4.25,4.75,58,230,73.3,15,15,8.7,1.98,0,0,0.0,60.0,9,2,18.2,16,27.6,2,5,,,,66.7,63.2,71.8,,62.9,,,,,,0,0,17,50.0,116.1,6.3,1,0,0,0,2,0,0.0,88,5.9,67.7,31,33,13.5,3.45,2,1,2.9,54.5,18,17,14.3,42,72.4,3,19,,,,69.1,90.9,75.0,,85.1,,,83.0,,,0,2,43,17.6,77.5,7.1,3,6,0,0,2,2,4.7,277,8.4
Draylen Ellis,121346,QB,AUSTINPEAY,1,2.5,2.52,3.6,5.4,57,116,75.0,28,30,7.5,1.81,2,1,3.2,60.0,18,0,14.3,30,52.6,3,6,,,,68.3,61.3,73.9,,60.9,,,,,,0,0,31,,69.9,0.0,0,0,0,0,0,1,3.2,128,4.3,47.8,23,23,19.9,3.53,0,4,16.7,43.5,10,10,9.1,25,43.9,1,4,,,,67.8,76.2,73.3,,73.6,,,64.3,,,0,3,26,10.0,22.5,4.0,1,1,0,0,0,2,7.7,131,5.7
Davius Richard,109077,QB,NC CENT,1,2.58,2.34,3.73,3.88,57,247,81.5,27,30,4.3,1.62,0,1,3.2,66.7,20,6,9.1,30,52.6,2,6,,,,68.3,72.0,73.9,,71.4,,,,,,1,0,31,0.0,93.5,0.0,0,0,0,2,1,0,0.0,178,5.9,66.7,18,18,9.6,3.64,0,3,15.8,66.7,12,13,0.0,27,47.4,0,11,,,,27.0,64.9,73.5,,64.9,,,60.6,,,0,0,28,23.1,107.4,11.1,3,6,0,0,1,1,3.6,135,7.5
Nic Baker,87541,QB,S ILLINOIS,1,2.96,2.66,4.8,4.24,56,295,81.5,27,28,5.9,1.97,1,1,3.4,78.6,22,4,0.0,28,50.0,0,7,,,,68.1,86.4,73.6,,85.5,,,,,,0,0,29,0.0,108.0,0.0,0,0,0,0,1,0,0.0,198,7.1,50.0,14,18,17.5,3.95,0,2,11.1,38.9,7,16,0.0,28,50.0,0,8,,,,26.7,68.6,73.5,,77.4,,,52.4,,,1,0,28,12.5,112.3,7.1,2,8,0,3,3,1,3.6,165,9.2
Bryce Young,123943,QB,ALABAMA,1,2.78,2.59,2.9,6.5,56,103,75.0,24,24,6.7,1.8,0,1,4.0,70.8,17,4,5.6,25,44.6,1,10,,,,67.8,88.3,73.3,,87.3,,,,,,0,0,26,25.0,127.3,4.0,1,0,0,0,2,0,0.0,221,9.2,80.0,20,24,10.3,3.68,0,2,8.0,45.8,11,15,31.3,30,53.6,5,9,,,,68.3,73.4,73.9,,70.9,,,66.4,,,2,1,31,20.0,62.5,10.0,3,3,0,2,1,1,3.2,148,6.2
Kedon Slovis,100580,QB,USC,1,2.6,2.58,3.0,,55,326,95.8,24,28,4.0,1.84,2,0,0.0,78.6,22,6,4.3,29,52.7,1,14,,,,68.2,76.0,73.7,,75.4,,,,,,0,1,30,16.7,96.1,3.4,1,0,0,2,1,1,3.3,218,7.8,58.3,24,25,12.9,3.44,0,4,15.4,44.0,11,10,21.4,26,47.3,3,8,,,,67.9,87.1,73.4,,86.0,,,,,,1,0,27,10.0,82.6,3.8,1,0,0,0,1,1,3.7,183,7.3
Davis Alexander,52162,QB,PORTLAND,1,2.51,2.42,1.9,3.96,54,269,83.9,31,32,8.3,1.77,1,2,6.3,71.9,23,2,11.5,33,61.1,3,13,,,,68.5,56.9,74.1,,56.8,,,,,,0,0,33,50.0,99.5,3.0,1,0,0,0,1,1,3.0,208,6.5,64.3,14,15,22.9,3.86,1,4,22.2,60.0,9,13,0.0,20,37.0,0,8,,,,25.2,58.2,72.8,,71.5,,,39.1,,,0,0,23,0.0,143.8,0.0,0,5,0,0,3,3,13.0,216,14.4
Jack Chambers,60359,QB,CHARLES SO,1,3.2,2.87,3.85,5.19,54,135,52.6,19,19,3.6,1.66,0,0,0.0,42.1,8,7,20.0,19,35.2,2,4,,,,24.7,36.1,72.5,,36.4,,,,,,0,1,21,0.0,27.7,0.0,0,0,0,0,0,2,9.5,50,2.6,63.6,22,24,13.7,4.15,0,3,12.0,54.2,13,18,7.1,34,63.0,1,10,,,,29.1,74.6,74.3,,74.4,,,63.2,,,2,0,35,11.1,120.8,5.9,2,8,0,0,2,3,8.6,264,11.0
Tanner McKee,131770,QB,STANFORD,1,2.44,2.38,2.94,,51,300,69.0,29,29,9.8,2.07,0,3,9.7,58.6,17,4,15.0,30,58.8,3,11,,,,68.4,70.4,74.0,,69.8,,,,,,0,2,32,25.0,63.6,3.3,1,0,0,0,1,2,6.3,208,7.2,80.0,15,17,7.7,2.96,0,2,11.1,64.7,11,6,8.3,21,41.2,1,6,,,,67.4,78.0,72.7,,77.3,,,,,,0,1,22,66.7,68.8,19.0,4,0,0,2,0,1,4.5,152,8.9
Mark Pappas,109046,QB,MOREHEAD,1,2.28,2.07,4.4,4.8,51,234,68.8,32,32,6.9,1.68,0,1,3.1,62.5,20,9,9.1,32,62.7,2,10,,,,68.4,64.5,74.0,,64.1,,,,,,0,1,32,0.0,88.5,0.0,0,0,0,0,2,0,0.0,204,6.4,46.7,15,15,10.7,3.28,0,1,6.7,46.7,7,8,0.0,19,37.3,0,6,,,,67.0,60.7,72.2,,50.8,,,75.1,,,0,0,19,12.5,71.5,5.3,1,3,0,0,0,0,0.0,110,7.3
Trae Self,103962,QB,STF AUSTIN,1,2.44,2.34,4.4,3.6,51,301,67.9,28,29,7.0,1.78,1,0,0.0,55.2,16,3,15.8,29,56.9,3,7,,,,68.1,56.7,73.6,,56.5,,,,,,0,2,29,0.0,52.4,0.0,0,0,0,0,1,1,3.4,150,5.2,58.8,17,19,8.5,3.32,0,0,0.0,52.6,10,11,0.0,22,43.1,0,7,,,,67.4,60.1,72.7,,57.1,,,64.2,,,0,0,22,18.2,97.5,9.1,2,1,0,2,1,0,0.0,155,8.2
Aqeel Glass,60328,QB,ALAB A&M,1,2.41,2.29,2.69,4.7,51,104,70.8,24,25,5.7,1.82,0,0,0.0,68.0,17,6,0.0,28,54.9,0,10,,,,68.2,67.7,73.9,,67.2,,,,,,0,0,31,50.0,111.4,10.7,3,0,0,1,2,0,0.0,156,6.2,71.4,14,15,9.1,3.13,0,2,10.5,60.0,9,9,10.0,23,45.1,1,6,,,,17.6,65.6,73.5,,67.0,,,57.3,,,1,0,28,77.8,88.5,30.4,7,1,0,0,0,2,7.1,131,8.7
Grant Wells,97784,QB,MARSHALL,1,2.71,2.68,3.6,4.5,51,214,82.6,23,23,6.4,1.87,0,1,3.8,73.9,17,1,10.5,23,45.1,2,8,,,,67.8,72.8,73.3,,72.2,,,,,,0,1,26,0.0,70.0,0.0,0,0,0,0,0,0,0.0,135,5.9,66.7,21,23,14.7,3.54,0,6,23.1,56.5,13,12,7.1,27,52.9,1,6,,,,68.2,89.1,73.7,,90.0,,,57.3,,,0,1,30,25.0,89.8,11.1,3,1,0,2,2,0,0.0,164,7.1
John Seter,60388,QB,STETSON,1,2.67,2.39,3.93,4.97,49,302,73.1,26,27,4.1,1.74,1,0,0.0,63.0,17,2,10.5,27,55.1,2,7,,,,67.9,43.1,73.4,,43.1,,,,,,0,1,27,0.0,59.6,0.0,0,0,0,0,0,1,3.7,133,4.9,53.3,15,15,11.5,3.82,0,0,0.0,53.3,8,14,0.0,22,44.9,0,6,,,,67.6,56.4,73.0,,58.6,,,55.5,,,0,0,24,28.6,78.8,18.2,4,3,0,0,0,0,0.0,116,7.7
Kyle Vantrease,55029,QB,BUFFALO,1,2.64,2.51,2.85,5.15,48,126,66.7,21,21,8.8,1.87,0,1,4.8,66.7,14,3,0.0,21,43.8,0,7,,,,67.2,71.4,72.5,,70.8,,,,,,0,0,21,0.0,95.9,0.0,0,0,0,0,1,0,0.0,113,5.4,57.1,21,23,15.7,3.24,1,0,0.0,43.5,10,11,16.7,27,56.3,2,8,,,,68.3,64.3,73.9,,59.9,,,71.1,,,1,2,31,18.2,24.4,7.4,2,2,0,0,0,0,0.0,123,5.3
George Martin,103959,QB,ROB MORRIS,1,2.54,2.4,3.35,3.9,48,277,88.5,26,26,7.2,2.0,0,2,7.7,84.6,22,5,4.3,27,56.3,1,12,,,,67.9,82.3,73.4,,81.4,,,,,,0,1,27,20.0,110.9,3.7,1,0,0,0,2,0,0.0,216,8.3,50.0,16,16,12.1,3.24,0,1,5.9,43.8,7,10,12.5,21,43.8,1,4,,,,24.3,47.7,72.7,,50.6,,,52.9,,,0,0,22,30.0,59.9,14.3,3,2,0,0,0,1,4.5,82,5.1
Cole Smith,109050,QB,PRINCETON,1,2.45,2.31,2.72,4.65,47,272,70.8,24,24,8.6,1.81,0,0,0.0,70.8,17,1,0.0,25,53.2,0,7,,,,68.0,49.1,73.5,,49.1,,,,,,0,1,28,100.0,72.2,4.0,1,0,0,0,0,1,3.6,164,6.8,73.3,15,16,11.4,3.17,0,1,5.9,62.5,10,10,9.1,22,46.8,1,6,,,,67.5,66.8,72.8,,65.5,,,62.5,,,1,0,23,40.0,84.6,18.2,4,2,0,0,0,1,4.3,117,7.3
Jayden de Laura,131928,QB,WASH STATE,1,2.75,2.69,5.3,,47,341,87.0,23,23,5.7,1.92,0,1,4.3,78.3,18,1,10.0,23,48.9,2,9,,,,67.5,78.3,72.8,,77.7,,,,,,0,0,23,0.0,132.2,0.0,0,0,0,0,2,0,0.0,202,8.8,63.6,22,23,11.0,3.54,0,0,0.0,60.9,14,6,0.0,24,51.1,0,8,,,,67.6,71.5,73.0,,70.9,,,,,,0,1,24,16.7,84.9,4.2,1,0,0,1,1,1,4.2,197,8.6
Wiley Hartley,122297,QB,CAMPBELL,1,2.44,2.34,,4.7,47,131,70.0,30,31,6.7,1.85,0,1,3.1,58.1,18,5,14.3,31,66.0,3,6,,,,68.4,72.9,74.0,,72.3,,,,,,0,0,32,0.0,68.1,0.0,0,0,0,1,0,1,3.1,131,4.2,88.9,9,10,13.6,4.09,0,3,27.3,80.0,8,9,0.0,14,29.8,0,8,,,,66.4,93.5,71.4,,94.3,,,63.9,,,0,0,15,0.0,158.3,0.0,0,4,0,1,2,0,0.0,135,13.5
Lindsey Scott Jr.,40219,QB,NICHOLLS,1,3.12,2.67,6.6,5.14,47,243,66.7,18,18,11.7,1.76,0,2,11.1,66.7,12,2,0.0,18,38.3,0,9,,,,66.8,77.1,72.0,,76.5,,,,,,0,1,18,0.0,111.8,0.0,0,0,0,0,3,0,0.0,163,9.1,68.4,19,21,16.9,3.96,0,1,4.3,47.6,10,12,23.1,29,61.7,3,10,,,,68.3,85.3,73.9,,74.6,,,80.7,,,0,1,31,8.3,48.7,3.4,1,7,0,2,0,2,6.5,135,6.4
Zevi Eckhaus,148535,QB,BRYANT,1,2.64,2.56,3.0,4.15,47,124,81.3,16,19,4.4,1.87,2,0,0.0,68.4,13,2,0.0,19,40.4,0,7,,,,67.4,71.9,72.7,,71.4,,,,,,1,0,22,0.0,103.6,0.0,0,0,0,0,1,0,0.0,123,6.5,60.0,25,25,16.7,3.16,0,3,11.5,48.0,12,19,20.0,28,59.6,3,8,,,,68.1,76.6,73.6,,76.4,,,60.6,,,0,0,29,5.3,86.8,3.6,1,2,0,0,1,0,0.0,188,7.5
Richie Kenney,91723,QB,CORNELL,1,2.45,2.36,2.5,4.15,47,147,70.8,24,25,7.1,1.76,1,0,0.0,60.0,15,3,11.8,27,57.4,2,7,,,,67.9,54.5,73.4,,54.4,,,,,,0,0,27,66.7,75.3,7.4,2,0,0,0,0,1,3.7,139,5.6,40.0,15,17,17.1,3.37,0,1,5.9,29.4,5,10,16.7,20,42.6,1,4,,,,67.1,48.0,72.4,,46.8,,,61.0,,,0,0,20,10.0,41.1,5.0,1,2,0,2,0,0,0.0,57,3.4
Bo Nix,97790,QB,AUBURN,1,3.13,2.97,5.6,3.8,46,115,89.5,19,19,4.7,1.77,0,2,10.5,63.2,12,2,29.4,19,41.3,5,4,,,,67.0,78.2,72.2,,77.5,,,,,,0,1,19,0.0,53.4,0.0,0,0,0,0,0,1,5.3,94,4.9,76.9,13,20,8.7,4.25,0,1,5.0,45.0,9,15,10.0,26,56.5,1,6,,,,26.3,67.7,73.3,,73.8,,,50.1,,,1,0,26,20.0,65.2,11.5,3,3,0,6,0,1,3.8,123,6.2
Ken Seals,124359,QB,VANDERBILT,1,2.28,2.24,3.15,,46,333,60.0,30,30,6.1,1.92,0,0,0.0,53.3,16,10,11.1,30,65.2,2,6,,,,68.3,53.8,73.9,,53.7,,,,,,0,2,31,0.0,35.8,0.0,0,0,0,0,0,2,6.5,123,4.1,63.6,11,14,8.4,2.95,0,1,7.1,50.0,7,12,0.0,16,34.8,0,3,,,,66.5,62.5,71.6,,62.2,,,,,,0,0,16,16.7,66.7,12.5,2,0,0,3,0,0,0.0,77,5.5
Chase Cunningham,78533,QB,MIDDLE TN,1,2.74,2.58,4.93,3.1,46,224,65.2,23,24,7.7,1.85,0,1,3.8,62.5,15,5,0.0,24,52.2,0,5,,,,67.8,52.2,73.3,,52.1,,,,,,1,1,26,0.0,71.7,0.0,0,0,0,0,1,1,3.8,121,5.0,60.0,15,18,12.5,3.72,0,2,11.1,38.9,7,15,22.2,22,47.8,2,5,,,,22.2,50.8,72.7,,52.9,,,56.7,,,0,0,22,20.0,78.2,13.6,3,1,0,3,1,1,4.5,109,6.1
Taulia Tagovailoa,97271,QB,MARYLAND,1,2.81,2.43,5.62,6.5,46,215,91.7,24,25,2.5,1.91,1,0,0.0,84.0,21,3,4.5,25,54.3,1,11,,,,67.7,77.4,73.1,,76.8,,,,,,0,1,25,0.0,100.2,0.0,0,0,0,0,1,0,0.0,221,8.8,58.3,12,14,7.7,4.08,0,0,0.0,50.0,7,14,0.0,20,43.5,0,4,,,,14.3,38.2,72.7,,39.6,,,57.3,,,0,1,22,35.7,55.1,25.0,5,1,0,2,1,2,9.1,58,4.1
