player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cam Ward,133244,QB,INCAR WORD,1,2.88,2.47,5.18,6.15,71,189,82.4,34,35,5.7,1.56,1,3,7.9,74.3,26,3,7.1,35,49.3,2,16,,,,,68.9,92.1,74.6,,91.7,,,,,,0,0,38,0.0,114.8,0.0,0,0,0,0,2,0,0.0,267,7.6,66.7,21,24,10.1,4.29,0,2,8.0,54.2,13,23,7.1,35,49.3,1,10,,,,,13.8,27.9,74.5,,27.5,,,59.2,,,0,3,37,39.1,38.0,25.7,9,2,0,3,0,5,13.5,175,7.3
Carson Strong,83524,QB,NEVADA,1,2.52,2.39,3.58,5.1,66,239,87.5,32,32,6.0,1.72,0,2,6.1,87.5,28,3,0.0,32,48.5,0,11,,,,,68.5,92.1,74.1,,91.7,,,,,,0,0,33,0.0,116.9,0.0,0,0,0,0,2,0,0.0,226,7.1,84.6,26,28,11.5,3.28,0,2,5.7,75.0,21,15,4.5,34,51.5,1,11,,,,,69.0,85.3,74.9,,86.0,,,57.0,,,0,1,41,33.3,110.7,14.7,5,1,0,2,2,1,2.4,250,8.9
Peter Parrish,99138,QB,MEMPHIS,1,2.9,2.45,3.43,4.74,64,218,76.9,26,27,3.4,1.97,1,0,0.0,74.1,20,2,0.0,27,42.2,0,6,,,,,67.9,45.5,73.4,,45.5,,,,,,0,0,27,0.0,81.6,0.0,0,0,0,0,0,2,7.4,115,4.3,61.1,18,21,11.0,3.57,2,0,0.0,52.4,11,14,0.0,37,57.8,0,10,,,,,69.1,46.4,74.9,,39.9,,,63.4,,,0,3,41,42.9,26.0,16.2,6,10,0,1,0,1,2.4,100,4.8
Will Rogers,124184,QB,MISS STATE,1,2.66,2.46,3.9,6.1,63,227,74.2,31,33,4.0,1.63,2,0,0.0,69.7,23,0,0.0,33,52.4,0,10,,,,,68.5,63.5,74.1,,63.2,,,,,,0,1,33,,78.0,0.0,0,0,0,0,1,0,0.0,161,4.9,77.3,22,23,9.4,3.93,0,3,12.0,73.9,17,10,0.0,29,46.0,0,10,,,,,68.3,66.8,0.0,,73.5,,,50.2,,,0,1,31,30.0,121.7,10.3,3,3,0,1,3,2,6.5,202,8.8
Chris Oladokun,40364,QB,S DAK ST,1,3.14,2.77,5.13,5.42,62,292,75.0,24,24,7.6,1.97,0,1,4.2,70.8,17,0,5.6,24,38.7,1,7,,,,,67.6,69.5,73.0,,69.1,,,,,,0,0,24,,96.9,0.0,0,0,0,0,0,0,0.0,206,8.6,54.2,24,29,15.0,3.88,2,1,3.4,24.1,7,16,46.2,38,61.3,6,7,,,,,29.9,69.4,74.6,,65.8,,,67.8,,,1,0,38,18.8,54.4,7.9,3,6,0,2,1,1,2.6,110,3.8
Jonah Johnson,138484,QB,NEW MEX ST,1,3.0,2.78,,4.71,61,242,72.2,18,20,5.2,1.94,0,0,0.0,55.0,11,5,15.4,20,32.8,2,2,,,,,67.4,49.4,72.7,,49.3,,,,,,1,1,22,0.0,45.2,0.0,0,0,0,1,0,1,4.5,87,4.4,50.0,32,34,15.9,3.53,0,0,0.0,38.2,13,28,18.8,41,67.2,3,13,,,,,69.1,73.7,74.9,,72.4,,,64.5,,,1,1,42,0.0,39.0,0.0,0,7,0,1,0,0,0.0,141,4.1
Brady McBride,77641,QB,TEXAS ST,1,2.79,2.59,3.43,3.73,58,314,81.5,27,27,5.6,1.54,0,2,6.7,81.5,22,7,0.0,27,46.6,0,10,,,,,68.2,78.8,73.7,,78.0,,,,,,0,0,30,0.0,97.4,0.0,0,0,0,0,0,0,0.0,199,7.4,35.7,14,20,17.9,3.87,0,0,0.0,25.0,5,20,0.0,31,53.4,0,8,,,,,28.6,59.1,74.1,,45.9,,,78.0,,,0,1,33,20.0,19.0,12.9,4,7,0,6,0,1,3.0,61,3.1
Jack Chambers,60359,QB,CHARLES SO,1,2.86,2.56,4.45,4.73,56,135,59.1,22,22,4.5,1.84,0,0,0.0,59.1,13,5,0.0,22,39.3,0,6,,,,,67.6,34.4,73.0,,34.7,,,,,,0,1,24,0.0,52.8,0.0,0,0,0,0,0,2,8.3,108,4.9,36.0,25,26,16.5,3.51,0,4,15.4,23.1,6,14,33.3,34,60.7,3,8,,,,,29.2,54.6,74.2,,45.0,,,75.4,,,0,2,34,14.3,24.7,5.9,2,6,0,1,1,3,8.8,105,4.0
Mark Pappas,109046,QB,MOREHEAD,1,2.62,2.52,3.53,4.9,56,234,75.9,29,30,7.6,1.68,1,0,0.0,63.3,19,2,13.6,30,53.6,3,12,,,,,68.2,78.3,73.7,,77.5,,,,,,0,0,30,0.0,95.4,0.0,0,0,0,0,1,0,0.0,212,7.1,70.0,20,22,11.6,3.7,0,2,9.1,59.1,13,12,7.1,26,46.4,1,11,,,,,67.8,89.3,73.3,,86.6,,,64.1,,,0,0,26,25.0,116.3,11.5,3,1,0,2,2,0,0.0,183,8.3
Bryce Young,123943,QB,ALABAMA,1,3.36,2.87,3.95,6.26,54,103,94.4,18,18,3.7,1.73,0,1,5.6,83.3,15,2,11.8,18,33.3,2,7,,,,,66.8,90.6,72.0,,90.3,,,,,,0,0,18,0.0,110.6,0.0,0,0,0,0,1,0,0.0,110,6.1,69.6,23,25,13.0,4.29,0,1,3.8,64.0,16,11,0.0,35,64.8,0,17,,,,,68.7,74.6,74.4,,68.2,,,72.2,,,0,0,36,18.2,111.9,5.7,2,8,0,2,1,0,0.0,259,10.4
