player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
E.J. Perry,60349,QB,BROWN,1,2.84,2.55,3.48,4.9,70,123,73.3,30,31,1.7,1.88,1,0,0.0,67.7,21,0,4.5,31,44.3,1,7,,,,68.5,53.2,74.1,53.0,,,,0,1,33,,71.0,0.0,0,0,0,0,1,0,0.0,113,3.6,75.0,24,25,9.5,3.6,1,2,8.0,72.0,18,14,0.0,39,55.7,0,14,,,,68.9,74.4,74.8,72.9,,64.7,,0,1,40,64.3,97.8,23.1,9,5,0,0,1,1,2.5,234,9.4
Kenny Pickett,60515,QB,PITTSBURGH,1,3.03,2.8,3.3,5.24,64,268,73.1,26,27,6.1,2.08,0,0,0.0,70.4,19,2,0.0,27,42.2,0,10,,,,68.0,78.8,73.5,78.0,,,,0,0,28,0.0,94.7,0.0,0,0,0,1,0,0,0.0,220,8.1,77.8,27,28,12.8,3.72,0,3,10.7,71.4,20,16,4.8,37,57.8,1,14,,,,68.9,75.7,74.7,81.3,,51.9,,0,2,39,25.0,112.1,10.8,4,5,0,1,3,2,5.1,299,10.7
Orion Olivas,155517,QB,HOU BAPT,1,2.87,2.61,4.4,5.83,57,183,92.3,26,26,2.3,1.74,0,0,0.0,84.6,22,2,8.3,26,45.6,2,9,,,,68.1,66.0,73.6,65.5,,,,0,0,29,0.0,99.5,0.0,0,0,0,0,1,0,0.0,125,4.8,75.0,24,25,6.6,3.82,0,0,0.0,68.0,17,12,5.6,31,54.4,1,7,,,,68.5,66.4,74.1,72.2,,47.5,,0,1,33,25.0,66.9,9.7,3,3,0,1,0,2,6.1,149,6.0
Sean Clifford,51708,QB,PENN STATE,1,2.54,2.47,3.38,,56,266,80.8,26,27,2.5,1.67,0,0,0.0,77.8,21,7,0.0,27,48.2,0,11,,,,67.9,64.7,73.4,64.3,,,,0,0,27,0.0,94.0,0.0,0,0,0,1,0,0,0.0,177,6.6,89.5,19,25,11.7,3.34,2,2,7.1,56.0,14,15,17.6,29,51.8,3,9,,,,38.1,79.5,74.0,78.7,,,,1,1,32,26.7,76.1,13.8,4,0,0,3,1,1,3.1,184,7.4
Ethan Garbers,131896,QB,UCLA,1,2.91,2.42,2.3,5.44,55,324,76.0,25,27,5.4,1.89,1,1,3.4,63.0,17,4,10.5,28,50.9,2,9,,,,68.2,66.4,73.7,66.0,,,,0,0,30,25.0,79.7,3.6,1,0,0,1,0,0,0.0,163,6.0,75.0,16,17,9.3,3.97,1,2,11.8,58.8,10,12,16.7,27,49.1,2,8,,,,67.9,75.8,73.4,77.9,,62.2,,0,1,27,8.3,90.8,3.7,1,9,0,0,2,1,3.7,102,6.0
Bret Bushka,108927,QB,BUTLER,1,2.61,2.39,3.2,4.64,54,127,79.3,29,29,8.3,1.83,0,1,3.4,72.4,21,1,8.7,29,53.7,2,16,,,,68.1,84.8,73.6,83.8,,,,0,0,29,0.0,95.3,0.0,0,0,0,0,0,0,0.0,229,7.9,50.0,16,19,15.9,3.52,0,2,10.5,42.1,8,13,0.0,25,46.3,0,9,,,,67.7,50.6,73.1,43.6,,68.2,,0,2,25,7.7,53.1,4.0,1,5,0,3,1,2,8.0,173,9.1
Davius Richard,109077,QB,NC CENT,1,2.7,2.48,4.3,4.67,54,247,81.8,22,24,4.9,1.86,2,1,3.8,62.5,15,1,16.7,24,44.4,3,9,,,,67.8,57.1,73.3,56.9,,,,0,0,26,0.0,94.3,0.0,0,0,0,0,1,1,3.8,151,6.3,50.0,20,24,17.4,3.38,0,2,7.4,33.3,8,10,20.0,30,55.6,2,9,,,,28.6,62.2,74.1,59.3,,66.4,,2,1,33,30.0,52.3,10.0,3,3,0,2,1,2,6.1,149,6.2
Bailey Fisher,88643,QB,GARD-WEBB,1,2.67,2.49,,4.88,53,171,88.9,27,28,5.7,1.74,0,2,7.1,75.0,21,7,12.5,28,52.8,3,12,,,,68.0,70.3,73.5,69.7,,,,1,0,28,0.0,103.7,0.0,0,0,0,0,1,0,0.0,183,6.5,64.7,17,21,13.0,3.72,0,2,9.1,47.6,10,17,9.1,25,47.2,1,6,,,,67.8,76.4,0.0,76.5,,66.7,,1,0,26,0.0,75.7,0.0,0,4,0,3,0,1,3.8,171,8.1
Jack Chambers,60359,QB,CHARLES SO,1,2.37,2.0,3.3,6.43,52,135,84.8,33,33,1.8,1.54,0,0,0.0,84.8,28,2,0.0,33,63.5,0,7,,,,68.5,53.7,74.1,53.5,,,,0,1,33,0.0,83.2,0.0,0,0,0,0,1,1,3.0,151,4.6,46.2,13,14,18.9,3.81,0,2,14.3,35.7,5,8,16.7,19,36.5,1,7,,,,67.1,91.2,72.4,75.0,,91.2,,1,0,20,12.5,84.2,5.3,1,4,0,0,1,0,0.0,96,6.9
Cam Ward,133244,QB,INCAR WORD,1,2.66,2.51,4.7,5.3,51,189,82.8,29,29,5.6,1.57,0,0,0.0,79.3,23,0,4.2,29,56.9,1,9,,,,68.4,66.8,74.0,66.3,,,,0,0,32,,110.8,0.0,0,0,0,0,2,0,0.0,147,5.1,66.7,18,19,13.8,4.1,0,1,4.8,63.2,12,7,0.0,22,43.1,0,11,,,,67.7,85.2,73.1,79.1,,74.4,,0,0,25,14.3,130.2,4.5,1,2,0,1,2,1,4.0,184,9.7
Liam Welch,19897,QB,SAMFORD,1,2.69,2.54,3.0,5.8,51,282,84.0,25,26,6.6,1.79,1,2,7.7,80.8,21,1,0.0,27,52.9,0,11,,,,67.9,85.5,73.4,84.7,,,,0,0,27,100.0,114.9,3.7,1,0,0,0,1,0,0.0,221,8.5,61.9,21,21,11.9,3.7,0,1,4.5,52.4,11,9,15.4,24,47.1,2,7,,,,67.7,82.1,73.1,82.0,,61.3,,0,0,25,11.1,73.1,4.2,1,2,0,0,0,0,0.0,138,6.6
Carson Strong,83524,QB,NEVADA,1,2.53,2.47,3.6,4.7,51,239,89.3,28,28,2.7,1.52,0,0,0.0,85.7,24,1,4.0,28,54.9,1,14,,,,68.0,77.1,73.5,76.5,,,,0,0,28,0.0,110.0,0.0,0,0,0,0,1,0,0.0,211,7.5,76.5,17,21,12.2,3.77,0,2,8.7,61.9,13,11,0.0,23,45.1,0,9,,,,67.7,74.2,73.1,75.7,,57.3,,0,1,25,9.1,114.3,4.3,1,1,0,4,3,1,4.0,206,9.8
Wiley Hartley,122297,QB,CAMPBELL,1,2.67,2.51,3.4,4.23,51,131,69.6,23,24,10.9,1.95,1,1,4.2,62.5,15,3,6.3,24,47.1,1,7,,,,67.6,75.0,73.0,74.3,,,,0,1,24,0.0,58.7,0.0,0,0,0,0,0,1,4.2,126,5.3,66.7,21,21,11.3,3.3,0,1,4.5,61.9,13,12,7.1,27,52.9,1,8,,,,68.0,64.0,73.5,64.6,,58.6,,0,1,28,25.0,79.3,11.1,3,3,0,0,1,0,0.0,149,7.1
Mike Beaudry,101052,QB,IDAHO,1,2.53,2.32,4.3,5.55,50,185,75.0,28,30,6.4,1.91,1,0,0.0,63.3,19,6,9.5,30,60.0,2,8,,,,68.3,60.6,73.9,60.3,,,,1,1,31,0.0,75.7,0.0,0,0,0,0,1,2,6.5,170,5.7,62.5,16,16,16.3,3.47,0,1,6.3,56.3,9,6,10.0,20,40.0,1,6,,,,67.2,60.4,72.5,63.9,,52.8,,0,2,21,33.3,44.8,10.0,2,2,0,0,0,1,4.8,136,8.5
Gavin Hardison,100827,QB,UTEP,1,2.86,2.79,3.1,5.8,50,330,61.9,21,21,5.7,1.85,0,0,0.0,61.9,13,0,0.0,22,44.0,0,5,,,,67.2,54.0,72.7,53.9,,,,0,1,22,,52.1,4.5,1,0,0,0,0,2,9.1,92,4.4,56.5,23,25,23.3,3.66,1,2,7.4,40.0,10,8,23.1,28,56.0,3,8,,,,68.2,59.2,73.9,57.9,,62.5,,0,1,31,25.0,85.9,7.1,2,1,0,1,2,1,3.2,243,9.7
