player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Max Brosmer,105568,QB,NEW HAMP,1,2.7,2.51,4.6,5.8,61,240,75.0,28,28,6.1,1.98,0,0,0.0,64.3,18,5,14.3,28,45.9,3,11,,,,68.3,67.1,73.9,66.6,,,,,0,0,31,0.0,107.7,0.0,0,0,0,0,2,0,0.0,190,6.8,65.5,29,29,10.8,3.32,0,0,0.0,58.6,17,11,10.5,33,54.1,2,11,,,,68.5,65.5,74.2,64.0,,,63.3,,0,0,34,9.1,82.5,3.0,1,3,0,0,0,2,5.9,220,7.6
Parker McKinney,82109,QB,E KENTUCKY,1,2.83,2.45,,4.9,59,159,71.4,28,28,4.4,1.88,0,0,0.0,64.3,18,4,10.0,28,47.5,2,7,,,,68.0,70.5,73.5,69.9,,,,,0,0,28,0.0,82.0,0.0,0,0,0,0,1,0,0.0,97,3.5,60.0,20,22,9.4,3.68,0,1,4.5,54.5,12,13,0.0,31,52.5,0,13,,,,68.3,74.3,73.9,63.0,,,76.1,,0,0,31,0.0,108.7,0.0,0,9,0,2,2,2,6.5,163,7.4
Ben Bryant,77655,QB,NWESTERN,1,2.98,2.84,2.75,4.42,56,256,88.2,17,17,8.6,2.03,0,1,5.9,88.2,15,3,0.0,18,32.1,0,6,,,,66.8,83.9,72.0,83.1,,,,,0,0,18,33.3,118.1,5.6,1,0,0,0,1,1,5.6,130,7.6,62.1,29,32,12.9,3.43,0,1,2.9,56.3,18,16,0.0,38,67.9,0,12,,,,69.1,60.3,75.0,63.1,,,53.6,,1,0,41,6.3,114.7,2.6,1,5,0,2,3,1,2.4,265,8.3
Hajj-Malik Williams,102348,QB,CAMPBELL,1,2.88,2.36,4.5,5.58,56,131,89.7,29,29,4.8,1.85,0,0,0.0,82.8,24,3,7.7,31,55.4,2,12,,,,68.5,72.0,74.1,71.5,,,,,0,0,33,66.7,100.6,6.5,2,0,0,0,0,1,3.0,236,8.1,78.6,14,16,13.3,4.15,0,4,23.5,56.3,9,14,18.2,25,44.6,2,7,,,,67.8,80.2,73.3,79.1,,,65.3,,0,1,26,28.6,77.9,16.0,4,5,0,2,1,1,3.8,131,8.2
Noah Walters,164315,QB,N ALABAMA,1,2.26,2.13,3.13,6.2,55,389,75.0,32,33,4.9,1.62,1,0,0.0,72.7,24,2,0.0,33,60.0,0,10,,,,68.6,65.6,74.3,65.1,,,,,0,0,35,0.0,104.5,0.0,0,0,0,0,2,1,2.9,171,5.2,46.7,15,18,19.4,3.22,0,2,10.5,33.3,6,7,14.3,22,40.0,1,5,,,,67.5,62.7,72.8,60.5,,,63.1,,2,1,23,42.9,51.9,13.6,3,1,0,1,1,1,4.3,115,6.4
Jacob Zeno,98014,QB,UAB,1,2.57,2.32,3.2,5.43,55,321,82.1,28,30,3.3,1.78,1,0,0.0,70.0,21,2,8.7,30,54.5,2,8,,,,68.3,56.9,73.9,56.6,,,,,0,1,31,0.0,80.8,0.0,0,0,0,1,1,0,0.0,167,5.6,68.8,16,20,4.4,3.5,0,1,5.0,55.0,11,13,0.0,25,45.5,0,7,,,,67.7,54.3,73.1,56.9,,,54.8,,1,0,25,7.7,82.5,4.0,1,4,0,3,1,0,0.0,86,4.3
Jake Willcox,148649,QB,BROWN,1,2.64,2.45,5.7,5.95,55,123,86.7,30,31,3.0,1.85,1,0,0.0,74.2,23,5,11.5,31,56.4,3,13,,,,68.3,82.7,73.9,81.9,,,,,0,0,31,0.0,87.8,0.0,0,0,0,0,0,0,0.0,178,5.7,65.0,20,21,12.4,3.67,0,2,9.5,61.9,13,10,0.0,24,43.6,0,9,,,,67.6,79.3,73.0,79.5,,,60.5,,0,0,24,10.0,106.4,4.2,1,2,0,1,1,0,0.0,186,8.9
Michael Hiers,88636,QB,SAMFORD,1,2.26,2.11,3.45,4.8,54,282,88.6,35,36,2.8,1.66,0,2,5.4,80.6,29,1,6.5,36,66.7,2,12,,,,68.8,74.8,74.5,74.1,,,,,1,2,37,0.0,80.4,0.0,0,0,0,0,1,0,0.0,239,6.6,54.5,11,14,7.3,3.46,0,1,5.9,42.9,6,13,0.0,18,33.3,0,4,,,,67.2,67.8,72.5,67.4,,,61.0,,2,0,21,15.4,56.3,11.1,2,2,0,1,0,0,0.0,62,4.4
Kedon Slovis,100580,QB,BYU,1,2.87,2.83,3.4,4.1,54,128,76.5,17,17,9.1,1.86,0,1,5.9,70.6,12,0,7.7,17,31.5,1,8,,,,66.7,70.6,71.8,70.1,,,,,0,1,17,,71.7,0.0,0,0,0,0,0,1,5.9,144,8.5,65.6,32,34,9.9,3.33,0,2,5.6,52.9,18,16,14.3,37,68.5,3,10,,,,68.9,62.7,74.7,63.5,,,57.3,,1,1,39,12.5,79.7,5.4,2,1,0,1,2,1,2.6,213,6.3
Will Rogers,124184,QB,MISS STATE,1,2.61,2.48,3.45,4.2,54,227,75.0,28,32,10.1,2.01,4,2,6.1,56.3,18,2,14.3,32,59.3,3,10,,,,68.5,90.7,74.1,90.4,,,,,0,0,33,0.0,82.3,0.0,0,0,0,0,0,0,0.0,256,8.0,75.0,16,16,12.1,3.49,0,3,18.8,75.0,12,13,0.0,22,40.7,0,8,,,,24.3,80.3,72.7,89.9,,,43.9,,0,1,22,30.8,111.5,18.2,4,2,0,0,1,2,9.1,231,14.4
Matt Morrissey,148177,QB,W ILLINOIS,1,3.14,3.02,3.88,3.8,53,345,87.5,24,24,3.8,1.92,0,0,0.0,79.2,19,4,9.5,26,49.1,2,10,,,,67.9,76.3,73.4,75.6,,,,,0,1,27,50.0,95.7,7.7,2,0,0,0,1,1,3.7,187,7.8,64.7,17,22,9.0,4.31,0,0,0.0,45.5,10,18,9.1,27,50.9,1,4,,,,68.1,45.8,73.6,47.0,,,57.3,,0,2,29,22.2,20.1,14.8,4,1,0,5,0,2,6.9,95,4.3
Paxton DeLaurent,159618,QB,SE MO ST,1,2.67,2.37,3.83,5.9,53,293,77.4,31,32,8.9,1.79,0,1,3.0,75.0,24,7,0.0,32,60.4,0,15,,,,68.5,88.6,74.1,87.6,,,,,0,0,33,0.0,119.8,0.0,0,0,0,1,2,1,3.0,264,8.3,53.8,13,13,14.8,4.0,0,2,13.3,53.8,7,14,0.0,21,39.6,0,6,,,,25.6,64.2,73.0,61.6,,,64.7,,0,0,24,42.9,106.6,28.6,6,2,0,0,1,3,12.5,106,8.2
Seth Henigan,144267,QB,MEMPHIS,1,2.56,2.31,3.4,4.88,53,218,90.6,32,32,5.7,1.91,0,3,9.4,81.3,26,5,10.3,32,60.4,3,12,,,,68.4,91.5,74.0,91.1,,,,,0,1,32,0.0,120.2,0.0,0,0,0,0,3,1,3.1,271,8.5,36.4,11,14,13.5,3.55,0,0,0.0,28.6,4,9,0.0,21,39.6,0,4,,,,16.0,26.8,73.1,26.5,,,51.5,,0,1,25,33.3,10.7,14.3,3,4,0,3,0,4,16.0,45,3.2
McCae Hillstead,174761,QB,UTAH ST,1,2.63,2.6,2.86,,52,329,78.9,19,19,10.2,1.89,0,3,14.3,73.7,14,4,6.7,20,38.5,1,9,,,,67.4,91.2,72.7,90.9,,,,,0,1,22,25.0,124.3,5.0,1,0,0,0,3,0,0.0,197,10.4,42.3,26,28,14.2,3.09,0,2,7.1,39.3,11,20,0.0,32,61.5,0,7,,,,68.4,45.3,74.0,45.5,,,,,1,2,32,20.0,47.0,12.5,4,0,0,1,1,3,9.4,202,7.2
Emory Jones,82111,QB,CINCINNATI,1,2.73,2.39,2.7,4.49,51,138,72.2,18,20,9.9,1.93,0,0,0.0,55.0,11,4,15.4,20,39.2,2,7,,,,67.1,60.0,72.4,59.8,,,,,1,1,20,0.0,54.0,0.0,0,0,0,1,0,1,5.0,129,6.5,63.2,19,21,10.2,3.24,0,0,0.0,52.4,11,17,8.3,31,60.8,1,6,,,,68.5,54.8,74.1,53.9,,,59.4,,0,1,33,11.8,46.9,6.5,2,8,0,2,0,1,3.0,106,5.0
Nicholas Vattiato,145302,QB,MIDDLE TN,1,2.35,1.81,3.7,4.96,51,224,87.5,32,33,3.0,1.49,1,0,0.0,78.8,26,1,7.1,33,64.7,2,10,,,,68.5,71.9,74.1,71.4,,,,,0,0,33,0.0,115.0,0.0,0,0,0,0,2,0,0.0,223,6.8,62.5,8,8,19.1,3.94,0,1,11.1,50.0,4,10,20.0,18,35.3,1,6,,,,67.0,59.1,72.4,49.0,,,67.4,,0,0,20,30.0,77.6,16.7,3,7,0,0,0,1,5.0,65,8.1
Daniel Richardson,97103,QB,FAU,1,2.4,2.33,2.7,5.3,51,165,67.9,28,29,7.1,1.83,1,0,0.0,58.6,17,4,10.5,29,56.9,2,6,,,,68.2,56.5,73.7,56.3,,,,,0,0,30,0.0,68.2,0.0,0,0,0,0,0,0,0.0,120,4.1,63.2,19,20,11.7,3.15,0,3,15.0,55.0,11,7,8.3,22,43.1,1,6,,,,67.5,71.0,72.8,68.6,,,63.2,,0,1,23,14.3,88.8,4.5,1,1,0,1,2,1,4.3,136,6.8
Alan Bowman,77679,QB,OKLA STATE,1,3.1,3.02,4.8,5.3,50,262,58.3,12,14,13.3,1.91,1,1,7.1,50.0,7,6,0.0,14,28.0,0,4,,,,66.2,55.0,71.2,54.9,,,,,0,0,14,0.0,98.8,0.0,0,0,0,1,1,0,0.0,105,7.5,63.0,27,34,9.9,3.56,0,1,2.9,47.1,16,14,5.9,36,72.0,1,8,,,,68.8,43.0,74.5,44.1,,,57.3,,0,2,37,7.1,47.8,2.8,1,1,0,7,1,3,8.1,173,5.1
Davis Brin,77642,QB,GA SOUTHRN,1,2.57,2.51,2.8,3.95,49,174,91.3,23,24,3.4,1.77,0,0,0.0,79.2,19,2,9.5,24,49.0,2,7,,,,67.6,59.8,73.0,59.6,,,,,1,0,24,0.0,104.5,0.0,0,0,0,0,1,0,0.0,138,5.8,85.0,20,22,13.8,3.34,0,2,9.1,68.2,15,7,11.8,25,51.0,2,9,,,,67.7,88.1,73.1,90.5,,,52.6,,1,0,25,14.3,137.5,4.0,1,2,0,1,3,0,0.0,206,9.4
Aidan Sayin,148974,QB,PENN,1,2.19,2.19,,,49,267,76.5,34,34,3.7,1.76,0,0,0.0,70.6,24,5,7.7,34,69.4,2,11,,,,68.5,62.2,74.2,61.8,,,,,0,1,34,0.0,88.4,0.0,0,0,0,0,2,2,5.9,164,4.8,73.3,15,15,13.3,3.15,0,4,26.7,73.3,11,5,0.0,15,30.6,0,7,,,,66.4,93.0,71.4,92.6,,,,,0,1,15,0.0,109.7,0.0,0,0,0,0,1,1,6.7,190,12.7
Carter Cravens,150714,QB,MOREHEAD,1,2.69,2.6,2.47,5.0,48,234,69.6,23,23,10.7,1.94,0,3,12.5,47.8,11,4,31.3,24,50.0,5,8,,,,67.7,78.2,73.1,77.5,,,,,0,0,25,25.0,88.1,4.2,1,0,0,0,1,1,4.0,175,7.6,47.4,19,20,14.9,3.44,0,1,4.3,45.0,9,10,0.0,24,50.0,0,3,,,,68.0,51.8,73.5,52.0,,,58.1,,1,0,28,20.0,81.3,8.3,2,2,0,0,1,0,0.0,120,6.0
Hudson Card,123109,QB,PURDUE,1,3.34,2.93,3.0,5.4,48,273,84.6,13,13,7.5,1.92,0,0,0.0,84.6,11,1,0.0,13,27.1,0,8,,,,66.0,69.5,71.0,69.1,,,,,0,0,13,0.0,99.0,0.0,0,0,0,0,0,0,0.0,101,7.8,52.2,23,25,13.0,3.87,0,0,0.0,40.0,10,18,16.7,35,72.9,2,8,,,,68.6,48.9,74.4,34.5,,,76.2,,1,2,36,11.1,18.9,5.7,2,8,0,1,0,3,8.3,101,4.0
