player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Jameson Wang,148782,QB,CORNELL,1,2.72,2.57,2.45,4.85,60,147,70.4,27,27,7.3,1.91,0,1,3.7,66.7,18,4,5.3,28,46.7,1,11,,,,68.0,50.1,73.5,,50.1,,,,,0,2,28,25.0,89.0,3.6,1,0,0,0,4,2,7.1,147,5.4,66.7,27,27,13.4,3.43,0,0,0.0,55.6,15,10,16.7,32,53.3,3,12,,,,68.7,69.7,74.4,,66.1,,68.8,,,0,1,36,10.0,84.5,3.1,1,4,0,0,1,1,2.8,254,9.4
Fernando Mendoza,158323,QB,CAL,1,2.26,2.18,2.97,4.5,60,130,78.9,38,40,6.6,1.73,0,0,0.0,70.0,28,7,6.7,40,66.7,2,15,,,,69.1,69.9,74.9,,69.3,,,,,1,1,41,0.0,93.1,0.0,0,0,0,1,2,2,4.9,254,6.4,85.7,14,16,8.6,3.31,0,0,0.0,75.0,12,11,0.0,20,33.3,0,9,,,,67.2,81.9,72.8,,78.9,,64.9,,,0,0,21,27.3,98.7,15.0,3,1,0,2,0,0,0.0,131,8.2
Ralph Rucker IV,144625,QB,BUCKNELL,1,2.56,2.34,3.83,5.37,56,125,75.0,24,25,5.3,1.8,1,1,4.0,72.0,18,4,0.0,26,46.4,0,6,,,,67.8,56.6,73.3,,56.4,,,,,0,0,26,25.0,100.9,3.8,1,0,0,0,1,1,3.8,153,6.1,57.1,21,23,17.0,3.34,0,2,8.3,39.1,9,10,25.0,29,51.8,3,9,,,,28.0,64.6,73.9,,63.1,,63.2,,,1,0,31,30.0,94.3,10.3,3,3,0,1,2,4,12.9,169,7.3
Nathan Lamb,98020,QB,W ILLINOIS,1,2.86,2.59,3.5,4.2,55,345,70.6,17,19,6.8,1.89,2,1,5.0,63.2,12,2,0.0,19,34.5,0,6,,,,67.1,74.8,72.4,,74.2,,,,,0,0,20,0.0,75.5,0.0,0,0,0,0,0,0,0.0,95,5.0,59.1,22,26,11.3,3.36,0,0,0.0,46.2,12,15,7.7,36,65.5,1,12,,,,68.8,78.2,74.5,,74.5,,69.3,,,3,0,37,13.3,81.1,5.6,2,8,0,1,1,0,0.0,173,6.7
Kyle McCord,145053,QB,SYRACUSE,1,2.43,2.32,2.73,6.7,53,304,74.3,35,36,9.8,1.91,0,2,5.1,72.2,26,3,0.0,37,69.8,0,16,,,,31.1,81.0,74.8,,80.0,,,,,1,0,40,33.3,120.8,2.7,1,0,0,0,2,2,5.0,346,9.6,62.5,8,12,14.3,3.66,1,0,0.0,41.7,5,11,0.0,16,30.2,0,3,,,,22.4,61.0,71.8,,55.0,,68.3,,,2,0,17,27.3,52.8,18.8,3,1,0,1,0,1,5.9,46,3.8
Pat McQuaide,145792,QB,NICHOLLS,1,2.13,1.93,3.45,4.2,53,243,73.7,38,39,5.1,1.65,1,0,0.0,61.5,24,3,14.3,39,73.6,4,11,,,,69.0,75.3,74.8,,74.6,,,,,0,0,40,0.0,77.0,0.0,0,0,0,0,0,0,0.0,221,5.7,42.9,7,8,15.0,3.44,0,0,0.0,25.0,2,11,33.3,14,26.4,1,2,,,,66.5,50.3,71.6,,47.3,,62.8,,,0,0,16,36.4,40.1,28.6,4,2,0,1,0,0,0.0,25,3.1
Jake Willcox,148649,QB,BROWN,1,2.22,2.12,3.5,4.0,52,123,71.4,35,35,5.5,1.84,0,0,0.0,65.7,23,7,8.0,35,67.3,2,8,,,,68.8,63.4,74.5,,63.0,,,,,0,2,37,0.0,52.8,0.0,0,0,0,0,0,2,5.4,166,4.7,76.9,13,14,11.3,3.01,0,1,6.3,71.4,10,6,0.0,17,32.7,0,7,,,,66.8,72.3,72.2,,67.8,,68.3,,,0,1,19,16.7,87.5,5.9,1,2,0,1,1,1,5.3,107,7.6
Shedeur Sanders,131396,QB,COLORADO,1,3.06,2.51,6.43,5.6,51,143,92.0,25,25,1.9,1.59,0,0,0.0,80.0,20,2,13.0,25,49.0,3,11,,,,67.8,74.4,73.3,,73.9,,,,,0,0,26,0.0,136.8,0.0,0,0,0,0,3,0,0.0,183,7.3,66.7,15,18,8.7,4.47,0,0,0.0,55.6,10,15,0.0,26,51.0,0,7,,,,68.1,52.2,73.6,,49.6,,62.5,,,0,0,29,26.7,73.4,15.4,4,4,0,3,0,0,0.0,108,6.0
Ron Peace,186224,QB,TXAMCO,1,2.54,2.47,3.1,4.07,51,1139,66.7,27,29,10.0,1.73,1,2,6.7,62.1,18,2,0.0,29,56.9,0,10,,,,68.2,77.1,73.7,,76.4,,,,,1,0,30,0.0,100.5,0.0,0,0,0,0,1,0,0.0,245,8.4,45.5,11,16,20.5,3.78,0,2,12.5,25.0,4,13,20.0,21,41.2,1,4,,,,14.1,54.2,72.5,,56.9,,54.5,,,4,0,21,15.4,65.4,9.5,2,3,0,1,1,2,9.5,67,4.2
Max Brosmer,105568,QB,MINNESOTA,1,2.89,2.7,3.0,6.85,51,225,60.0,15,15,7.1,1.95,0,0,0.0,60.0,9,5,0.0,17,33.3,0,2,,,,27.9,47.8,72.0,,47.8,,,,,0,0,18,40.0,90.7,11.8,2,0,0,0,1,0,0.0,59,3.9,73.1,26,30,11.0,3.36,0,1,3.2,60.0,18,13,5.3,34,66.7,1,10,,,,68.5,76.4,74.3,,73.4,,68.3,,,0,0,35,15.4,80.3,5.9,2,2,0,4,0,1,2.9,203,6.8
