player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Tyler Knoop,108982,QB,STNY BROOK,1,2.98,2.53,4.08,6.32,64,303,74.2,31,31,7.1,2.08,0,1,3.2,71.0,22,6,4.3,31,48.4,1,15,,68.3,65.4,73.9,65.0,,,0,1,31,0.0,96.4,0.0,0,0,0,0,2,2,6.5,202,6.5,85.0,20,23,13.4,3.82,0,3,11.5,69.6,16,15,5.9,33,51.6,1,9,,68.7,85.7,74.4,90.8,,51.8,2,0,36,26.7,130.2,12.1,4,6,0,1,2,0,0.0,227,9.9
Reggie Graff,165710,QB,UTAHTC,1,2.29,2.17,2.0,4.53,62,1285,68.3,41,43,4.5,1.85,1,0,0.0,58.1,25,12,10.7,44,71.0,3,9,,69.4,55.8,75.3,55.5,,,1,0,46,8.3,80.9,2.3,1,0,0,0,2,1,2.2,153,3.6,54.5,11,15,17.4,3.34,0,0,0.0,40.0,6,12,0.0,18,29.0,0,8,,66.8,60.6,72.2,57.3,,64.7,0,0,19,0.0,109.7,0.0,0,3,0,4,1,0,0.0,228,15.2
Behren Morton,144747,QB,TEXAS TECH,1,2.82,2.69,3.6,7.2,57,315,96.2,26,26,6.5,1.91,0,3,11.5,92.3,24,3,4.0,26,45.6,1,13,,67.8,94.6,73.3,94.2,,,0,0,26,0.0,129.3,0.0,0,0,0,0,2,0,0.0,231,8.9,56.0,25,27,12.6,3.58,0,3,9.7,48.1,13,13,7.1,31,54.4,1,6,,68.6,67.0,74.3,68.1,,57.0,0,1,35,23.1,78.2,9.7,3,1,0,2,2,2,5.7,173,6.4
Taron Dickens,177946,QB,W CAROLINA,1,2.59,2.28,3.83,4.8,54,344,88.5,26,26,4.0,1.76,0,1,3.8,88.5,23,2,0.0,26,48.1,0,13,,67.8,91.5,73.3,91.1,,,0,0,26,0.0,138.5,0.0,0,0,0,0,3,0,0.0,208,8.0,63.2,19,19,11.5,3.36,0,0,0.0,63.2,12,15,0.0,28,51.9,0,9,,68.1,68.9,73.6,73.9,,50.3,0,1,29,40.0,74.7,21.4,6,3,0,0,0,1,3.4,191,10.1
Chandler Morris,122938,QB,N TEXAS,1,2.43,2.1,3.6,5.3,54,251,88.6,35,35,4.3,1.64,0,0,0.0,74.3,26,2,16.1,35,64.8,5,15,,68.8,73.7,74.5,73.0,,,0,0,37,0.0,115.5,0.0,0,0,0,0,3,1,2.7,193,5.5,81.8,11,13,11.1,3.88,1,0,0.0,46.2,6,12,33.3,19,35.2,3,4,,23.9,56.0,72.4,54.9,,60.0,1,0,20,8.3,62.7,5.3,1,5,0,0,0,2,10.0,69,5.3
Nate Glantz,157587,QB,LNDNWD,1,2.84,2.64,3.83,4.35,53,949,73.1,26,27,7.7,1.79,0,1,3.3,63.0,17,6,10.5,30,56.6,2,8,,28.6,66.4,74.1,66.0,,,1,0,33,50.0,94.7,10.0,3,0,0,0,1,1,3.0,180,6.7,73.3,15,18,12.4,4.2,0,1,5.3,61.1,11,12,0.0,23,43.4,0,6,,25.6,54.3,73.0,53.1,,61.3,0,2,24,25.0,52.3,13.0,3,2,0,3,0,2,8.3,168,9.3
Jaxson Dart,146409,QB,OLE MISS,1,3.09,2.52,4.85,5.44,52,226,95.0,20,21,5.0,1.81,1,1,4.8,81.0,17,1,10.5,21,40.4,2,5,,67.2,79.0,72.5,78.4,,,0,0,21,0.0,97.8,0.0,0,0,0,0,0,0,0.0,157,7.5,57.9,19,20,22.5,3.96,0,6,28.6,35.0,7,16,36.4,31,59.6,4,10,,68.4,90.0,74.0,85.4,,73.0,0,2,32,25.0,59.6,12.9,4,7,0,1,2,1,3.1,166,8.3
E.J. Warner,156185,QB,RICE,1,2.64,2.48,4.8,5.45,52,275,63.0,27,28,6.4,1.87,1,0,0.0,57.1,16,3,5.9,28,53.8,1,7,,68.0,43.3,73.5,43.5,,,0,2,28,0.0,51.3,0.0,0,0,0,0,1,2,7.1,131,4.7,68.4,19,21,7.7,3.55,1,1,4.5,57.1,12,12,7.7,24,46.2,1,4,,26.0,55.6,73.1,49.7,,71.0,0,1,25,8.3,47.9,4.2,1,2,0,1,0,3,12.0,91,4.3
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,1,2.61,2.57,2.4,4.6,52,144,65.4,26,27,6.3,1.82,0,0,0.0,59.3,16,6,5.9,28,53.8,1,7,,68.2,48.6,73.7,48.6,,,0,1,30,16.7,64.6,3.6,1,0,0,1,0,1,3.3,185,6.9,50.0,20,23,16.9,3.53,0,2,7.7,39.1,9,12,10.0,24,46.2,1,6,,67.9,59.0,73.4,60.1,,57.3,0,0,27,0.0,70.4,0.0,0,1,0,3,1,1,3.7,117,5.1
Jaden Craig,159342,QB,HARVARD,1,2.71,2.54,3.7,5.3,51,179,65.4,26,27,6.8,1.91,1,1,3.3,51.9,14,2,17.6,27,52.9,3,7,,68.2,54.0,73.7,53.9,,,0,1,30,0.0,58.6,0.0,0,0,0,0,1,1,3.3,106,3.9,46.7,15,18,24.7,3.62,1,1,4.5,38.9,7,9,0.0,24,47.1,0,5,,68.0,52.6,73.7,49.6,,64.9,0,0,28,55.6,114.6,20.8,5,1,0,2,2,1,3.6,186,10.3
