player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Quinn Ewers,127253,QB,TEXAS,1,2.69,2.64,2.93,3.8,44,311,70.6,17,19,7.2,1.83,2,1,4.8,57.9,11,5,8.3,19,43.2,1,6,,67.2,64.5,72.5,64.1,,,0,0,21,0.0,117.2,0.0,0,0,0,0,2,0,0.0,145,7.6,77.8,18,20,10.8,3.34,1,2,9.5,60.0,12,15,14.3,25,56.8,2,4,,16.6,56.3,73.3,57.3,,57.8,0,1,26,26.7,60.2,16.0,4,1,0,1,0,2,7.7,139,7.0
Will Howard,122599,QB,OHIO STATE,1,2.81,2.64,3.0,8.1,36,260,92.3,13,14,3.8,1.93,1,0,0.0,78.6,11,0,8.3,14,38.9,1,7,,66.4,84.8,71.4,84.1,,,0,0,15,,94.3,0.0,0,0,0,0,0,0,0.0,93,6.6,88.2,17,19,10.1,3.37,1,0,0.0,68.4,13,11,13.3,22,61.1,2,5,,25.2,54.4,72.8,55.8,,57.3,0,1,23,18.2,97.7,9.1,2,1,0,1,1,2,8.7,196,10.3
Aidan Bouman,122508,QB,S DAKOTA,1,2.67,2.65,3.0,,31,291,78.6,14,14,6.1,2.1,0,0,0.0,71.4,10,4,9.1,14,45.2,1,5,,66.2,66.7,71.2,66.3,,,0,0,14,0.0,93.2,0.0,0,0,0,0,0,0,0.0,106,7.6,80.0,15,15,9.5,3.15,0,2,12.5,66.7,10,7,16.7,17,54.8,2,5,,66.8,80.2,72.0,79.5,,,0,0,18,28.6,93.8,11.8,2,0,0,0,0,0,0.0,130,8.7
Mark Gronowski,138303,QB,S DAK ST,1,2.83,2.74,2.6,4.1,28,292,50.0,8,8,15.5,2.04,0,1,11.1,37.5,3,4,25.0,8,28.6,1,1,,65.1,69.8,69.8,69.4,,,0,0,9,0.0,50.5,0.0,0,0,0,0,0,0,0.0,33,4.1,68.8,16,17,9.6,3.15,0,0,0.0,64.7,11,8,0.0,20,71.4,0,8,,67.2,69.6,72.5,73.4,,53.5,0,0,21,12.5,117.5,5.0,1,2,0,1,1,0,0.0,171,10.1
Riley Leonard,143862,QB,NOTRE DAME,1,2.88,2.54,3.0,5.33,28,258,91.7,12,14,5.7,2.02,1,0,0.0,71.4,10,2,9.1,14,50.0,1,5,,66.2,84.9,71.2,84.2,,,1,0,14,0.0,125.3,0.0,0,0,0,0,1,0,0.0,134,9.6,71.4,7,9,15.0,3.73,0,1,10.0,55.6,5,10,0.0,14,50.0,0,4,,66.5,38.4,71.6,43.7,,49.4,1,2,16,20.0,50.0,14.3,2,3,0,1,0,2,12.5,89,9.9
Drew Allar,164157,QB,PENN STATE,1,2.85,2.44,4.77,6.5,27,266,69.2,13,14,3.0,2.07,0,0,0.0,57.1,8,3,11.1,14,51.9,1,4,,66.2,55.1,71.2,55.0,,,0,0,14,0.0,75.0,0.0,0,0,0,1,0,0,0.0,85,6.1,44.4,9,9,11.0,3.69,0,1,9.1,44.4,4,5,0.0,13,48.1,0,3,,66.2,29.3,71.4,29.7,,57.3,0,1,15,60.0,22.7,23.1,3,1,0,0,0,3,20.0,50,5.6
Cam Miller,125299,QB,N DAK ST,1,2.96,2.33,2.8,5.0,26,250,90.9,11,11,10.5,1.84,0,2,18.2,90.9,10,1,0.0,11,42.3,0,7,,65.6,91.9,70.4,91.6,,,0,0,11,0.0,150.9,0.0,0,0,0,0,2,0,0.0,118,10.7,37.5,8,8,16.8,3.79,0,1,12.5,37.5,3,5,0.0,15,57.7,0,5,,66.4,66.0,71.4,63.5,,63.5,0,0,15,20.0,102.6,6.7,1,6,0,0,1,1,6.7,57,7.1
Tommy Mellott,147646,QB,MONTANA ST,1,3.16,2.86,,4.08,24,233,33.3,3,4,8.3,1.9,0,0,0.0,25.0,1,1,0.0,4,16.7,0,0,,63.3,50.4,67.4,50.5,,,0,0,4,0.0,39.6,0.0,0,0,0,1,0,0,0.0,6,1.5,66.7,12,14,18.5,3.42,1,2,14.3,50.0,7,4,12.5,20,83.3,1,11,,67.1,90.0,72.4,85.2,,72.7,0,0,20,0.0,105.7,0.0,0,6,0,1,1,0,0.0,128,9.1
Steve Angeli,156966,QB,NOTRE DAME,1,2.34,2.36,2.3,,9,258,100.0,5,5,1.6,2.03,0,0,0.0,100.0,5,4,0.0,7,77.8,0,3,,64.2,74.9,69.1,74.5,,,0,0,7,50.0,93.3,28.6,2,0,0,0,0,0,0.0,32,6.4,100.0,1,2,4.0,3.45,0,0,0.0,50.0,1,1,0.0,2,22.2,0,0,,61.8,58.9,65.5,58.9,,,0,0,2,0.0,68.8,0.0,0,0,0,1,0,0,0.0,12,6.0
Chase Mason,159444,QB,S DAK ST,1,2.8,2.8,,,1,292,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,13.0,2.8,0,0,0.0,0.0,0,1,,1,100.0,0,0,,60.3,46.8,63.6,47.3,,,0,0,1,0.0,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
