player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Seth Henigan,144267,QB,MEMPHIS,1,3.16,3.06,3.6,4.38,61,218,82.4,17,17,6.6,1.96,0,0,0.0,76.5,13,0,7.1,17,27.9,1,7,,,,66.8,83.3,72.0,82.5,,,,0,0,18,,95.7,0.0,0,0,0,0,0,0,0.0,122,7.2,58.8,34,39,16.3,3.62,0,1,2.4,48.7,19,11,5.0,44,72.1,1,11,,,,35.5,52.9,75.4,54.4,,,54.1,0,1,47,9.1,75.7,2.3,1,4,0,5,2,3,6.4,249,6.4
John Mateer,158516,QB,WASH STATE,1,3.12,2.8,4.9,4.84,60,341,77.8,18,19,6.3,1.79,1,0,0.0,73.7,14,1,0.0,19,31.7,0,8,,,,67.1,63.2,72.4,62.9,,,,0,1,20,0.0,93.5,0.0,0,0,0,0,1,1,5.0,157,8.3,62.5,24,27,21.2,3.92,0,4,13.8,44.4,12,18,20.0,39,65.0,3,12,,,,69.1,79.5,74.9,75.4,,,70.4,1,1,42,16.7,96.7,7.7,3,9,0,2,3,1,2.4,233,8.6
David Wright,195328,QB,CLARK ATL,1,2.93,2.82,2.7,4.24,59,369,84.6,26,26,8.1,1.93,0,1,3.6,84.6,22,7,0.0,27,45.8,0,13,,,,68.1,75.0,73.6,74.3,,,,0,0,29,14.3,147.0,3.7,1,0,0,0,4,0,0.0,254,9.8,47.6,21,23,13.3,3.78,0,1,4.2,34.8,8,18,20.0,32,54.2,2,8,,,,28.6,55.1,74.1,44.7,,,78.1,0,1,33,22.2,35.1,12.5,4,5,0,2,0,3,9.1,122,5.3
Jacolby Criswell,122830,QB,N CAROLINA,1,3.07,2.82,4.43,5.88,56,245,70.6,17,18,7.1,2.03,0,0,0.0,66.7,12,7,0.0,19,33.9,0,8,,,,24.3,52.1,72.5,52.0,,,,1,0,21,14.3,89.1,5.3,1,0,0,0,0,1,4.8,136,7.6,67.9,28,30,17.3,3.71,1,2,5.7,53.3,16,13,15.8,36,64.3,3,16,,,,31.8,71.3,75.1,67.4,,,70.4,0,2,41,15.4,99.4,5.6,2,4,0,1,3,3,7.3,341,11.4
Emmett Brown,157344,QB,S JOSE ST,1,2.45,2.4,3.1,4.6,56,285,75.8,33,34,8.7,1.97,1,3,8.1,67.6,23,8,8.0,34,60.7,2,11,,,,68.8,57.0,74.5,56.8,,,,0,1,37,0.0,91.8,0.0,0,0,0,0,2,3,8.1,212,6.2,66.7,18,20,14.6,3.2,0,3,13.6,60.0,12,10,0.0,22,39.3,0,7,,,,15.5,64.5,73.1,66.0,,,57.0,0,1,25,10.0,98.5,4.5,1,1,0,2,2,4,16.0,163,8.2
Devon Dampier,171556,QB,NEW MEXICO,1,2.68,2.52,,5.47,56,241,80.0,30,30,6.4,1.89,0,0,0.0,73.3,22,5,8.3,30,53.6,2,10,,,,68.3,63.0,73.9,62.6,,,,0,2,31,0.0,69.7,0.0,0,0,0,0,1,2,6.5,167,5.6,60.0,20,23,14.9,3.59,0,2,7.7,47.8,11,10,8.3,26,46.4,1,8,,,,68.1,80.9,73.6,83.3,,,56.4,0,0,29,0.0,72.2,0.0,0,3,0,3,0,0,0.0,167,7.3
Miller Moss,70727,QB,USC,1,2.52,2.49,2.95,,55,326,66.7,21,23,2.0,1.91,1,0,0.0,60.9,14,7,0.0,24,43.6,0,5,,,,67.9,45.1,73.4,45.1,,,,0,1,27,14.3,64.4,4.2,1,0,0,1,1,2,7.4,84,3.7,71.4,21,28,11.1,2.99,1,1,3.6,50.0,14,18,6.7,31,56.4,1,9,,,,28.3,73.6,73.9,73.0,,,,4,0,31,16.7,97.2,9.7,3,0,0,2,2,1,3.2,199,7.1
Shedeur Sanders,131396,QB,COLORADO,1,3.5,3.19,3.76,5.3,55,143,87.5,16,18,2.9,2.04,2,0,0.0,72.2,13,2,7.1,18,32.7,1,4,,,,66.8,69.4,72.0,69.0,,,,0,0,18,0.0,84.5,0.0,0,0,0,0,0,0,0.0,96,5.3,65.0,20,23,18.0,4.21,0,3,10.7,52.2,12,26,7.7,37,67.3,1,11,,,,69.2,78.9,75.2,73.6,,,72.7,0,0,45,30.8,118.9,21.6,8,6,0,3,2,0,0.0,245,10.7
Hunter Simmons,148254,QB,S ILLINOIS,1,2.48,2.34,2.77,5.2,53,295,71.4,28,32,7.0,2.0,2,2,6.1,53.1,17,8,15.0,33,62.3,3,8,,,,68.5,56.7,74.2,56.4,,,,2,0,34,12.5,79.7,3.0,1,0,0,0,1,1,2.9,176,5.5,73.3,15,16,9.4,3.26,0,0,0.0,68.8,11,6,0.0,20,37.7,0,10,,,,67.5,58.7,72.8,58.6,,,59.5,1,0,23,33.3,102.3,10.0,2,2,0,0,0,0,0.0,165,10.3
Danny Lauter,162145,QB,GEORGETOWN,1,2.5,2.29,3.3,5.8,53,172,73.1,26,27,3.7,1.86,1,0,0.0,66.7,18,4,5.3,28,52.8,1,9,,,,68.0,60.6,73.5,60.3,,,,0,1,28,25.0,85.3,3.6,1,0,0,0,1,0,0.0,199,7.4,47.4,19,20,13.7,3.22,0,1,5.0,45.0,9,9,0.0,25,47.2,0,5,,,,67.5,57.9,73.1,61.0,,,52.6,0,1,25,33.3,49.6,12.0,3,2,0,1,0,0,0.0,148,7.4
