player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Carson Beck,124010,QB,GEORGIA,1,2.51,2.28,4.15,4.26,58,173,71.4,28,29,9.7,1.78,0,1,3.1,65.5,19,3,5.0,29,50.0,1,13,,,,,68.4,74.1,74.0,73.4,,,,0,2,32,0.0,84.6,0.0,0,0,0,1,2,2,6.3,234,8.1,50.0,22,22,20.9,3.24,0,4,15.4,36.4,8,9,27.3,29,50.0,3,7,,,,,28.6,56.2,74.1,61.9,,47.3,,0,1,33,22.2,67.4,6.9,2,5,0,0,1,4,12.1,205,9.3
Owen McCown,157688,QB,UTSA,1,3.19,2.97,6.4,5.23,55,331,63.6,22,22,6.2,1.76,0,0,0.0,54.5,12,1,14.3,22,40.0,2,4,,,,,67.5,59.0,72.8,58.8,,,,0,0,23,0.0,75.2,0.0,0,0,0,0,1,1,4.3,66,3.0,56.0,25,28,11.7,4.15,0,2,6.9,42.9,12,15,14.3,33,60.0,2,7,,,,,68.5,57.8,74.2,59.2,,56.1,,2,2,34,6.7,35.6,3.0,1,4,0,1,0,2,5.9,185,6.6
Sawyer Robertson,146839,QB,BAYLOR,1,2.97,2.84,2.7,4.63,55,118,63.2,19,21,10.5,1.74,2,0,0.0,57.1,12,1,0.0,21,38.2,0,6,,,,,67.5,49.8,72.8,49.8,,,,0,1,23,0.0,66.4,0.0,0,0,0,0,1,2,8.7,104,5.0,66.7,24,28,13.8,3.73,0,0,0.0,53.6,15,19,6.3,34,61.8,1,12,,,,,68.6,73.7,74.3,69.9,,69.5,,0,1,35,10.5,88.4,5.9,2,4,0,4,2,1,2.9,220,7.9
Myles Crawley,141731,QB,GRAMBLING,1,2.76,2.55,3.8,5.1,54,177,76.2,21,22,6.0,1.8,1,0,0.0,68.2,15,5,6.3,22,40.7,1,3,,,,,67.5,59.0,72.8,58.8,,,,0,2,23,0.0,37.1,0.0,0,0,0,0,0,0,0.0,85,3.9,69.6,23,26,12.7,3.43,0,0,0.0,53.8,14,14,12.5,32,59.3,2,10,,,,,20.3,52.9,74.5,62.8,,34.6,,0,0,37,21.4,104.8,9.4,3,3,0,3,2,2,5.4,201,7.7
Kyle McCord,145053,QB,SYRACUSE,1,2.39,2.26,3.03,6.7,54,304,68.6,35,37,9.3,1.89,2,1,2.6,54.1,20,6,16.7,38,70.4,4,15,,,,,68.9,73.6,74.7,72.9,,,,0,0,39,16.7,90.1,2.6,1,0,0,0,2,0,0.0,222,6.0,69.2,13,13,16.8,3.56,0,5,35.7,61.5,8,9,11.1,16,29.6,1,7,,,,,22.4,78.0,71.8,79.6,,57.8,,0,2,17,22.2,105.4,12.5,2,1,0,0,2,3,17.6,163,12.5
Jake Stearney,171991,QB,COLGATE,1,2.47,2.18,,5.8,51,142,78.1,32,35,5.9,1.91,1,0,0.0,68.6,24,6,4.0,35,68.6,1,8,,,,,68.7,51.5,74.4,51.4,,,,1,1,36,0.0,70.4,0.0,0,0,0,1,0,1,2.8,194,5.5,63.6,11,12,10.9,3.68,0,0,0.0,58.3,7,7,0.0,16,31.4,0,3,,,,,66.5,52.8,71.6,61.8,,48.2,,0,0,16,0.0,91.0,0.0,0,4,0,1,1,0,0.0,35,2.9
John Mateer,158516,QB,WASH STATE,1,2.71,2.39,3.74,3.9,51,341,95.5,22,22,3.6,1.6,0,0,0.0,86.4,19,0,9.5,22,43.1,2,8,,,,,67.4,60.7,72.7,60.4,,,,0,0,22,,101.1,0.0,0,0,0,0,0,0,0.0,182,8.3,60.0,15,15,15.3,3.68,0,1,5.9,46.7,7,19,22.2,28,54.9,2,8,,,,,68.2,64.8,73.7,61.6,,65.6,,0,1,30,42.1,92.8,28.6,8,5,0,0,2,1,3.3,144,9.6
Alan Bowman,77679,QB,OKLA STATE,1,2.53,2.53,,,50,262,63.0,27,27,7.7,1.81,0,0,0.0,63.0,17,4,0.0,27,54.0,0,8,,,,,68.1,47.5,73.6,47.5,,,,0,2,29,0.0,50.7,0.0,0,0,0,0,0,2,6.9,175,6.5,52.9,17,23,15.4,3.37,0,0,0.0,39.1,9,9,0.0,23,46.0,0,7,,,,,67.7,58.8,73.1,58.5,,,,0,0,25,0.0,83.4,0.0,0,0,0,6,1,1,4.0,189,8.2
Luke Bailey,143172,QB,DRAKE,1,2.46,2.46,,,50,153,75.0,28,28,3.6,1.79,0,0,0.0,64.3,18,3,14.3,28,56.0,3,5,,,,,68.2,65.5,73.7,65.0,,,,0,0,30,0.0,85.1,0.0,0,0,0,0,1,0,0.0,118,4.2,63.2,19,22,10.2,3.32,0,0,0.0,50.0,11,5,8.3,22,44.0,1,5,,,,,67.6,54.2,73.0,54.1,,,,1,0,24,0.0,86.4,0.0,0,0,0,2,1,1,4.2,145,6.6
Billy Edwards Jr.,144185,QB,MARYLAND,1,2.3,2.05,3.24,4.2,49,215,71.4,28,28,9.3,1.71,0,1,3.3,67.9,19,9,5.0,29,59.2,1,8,,,,,68.3,57.3,73.9,57.1,,,,0,0,31,11.1,109.4,3.4,1,0,0,0,2,1,3.2,181,6.5,53.8,13,13,17.0,3.16,0,1,5.9,53.8,7,10,0.0,20,40.8,0,5,,,,,67.7,64.0,73.1,62.4,,62.8,,0,0,25,40.0,107.2,20.0,4,3,0,0,1,0,0.0,108,8.3
