player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Kevin Jennings,158272,QB,SMU,1,2.96,2.9,4.65,,54,287,84.0,25,26,8.2,1.86,1,1,3.7,69.2,18,4,14.3,26,48.1,3,8,,67.9,86.8,73.4,85.8,,,0,0,27,0.0,117.5,0.0,0,0,0,0,3,0,0.0,120,4.6,69.6,23,26,9.3,3.99,1,1,3.7,57.7,15,10,6.3,28,51.9,1,11,,27.7,58.0,73.6,57.8,,,0,1,29,20.0,65.2,7.1,2,0,0,2,0,2,6.9,194,7.5
Quinn Ewers,127253,QB,TEXAS,1,2.56,2.45,3.4,,52,311,76.2,21,23,7.5,1.92,1,1,4.2,52.2,12,5,25.0,23,44.2,4,7,,67.6,74.2,73.0,73.6,,,1,2,24,0.0,47.6,0.0,0,0,0,0,1,1,4.2,131,5.7,85.0,20,23,10.1,3.07,0,3,12.5,65.2,15,12,11.8,29,55.8,2,9,,68.3,90.2,73.9,90.5,,57.3,0,0,31,50.0,97.6,20.7,6,0,0,3,0,1,3.2,227,9.9
Cade Klubnik,156253,QB,CLEMSON,1,2.64,2.47,4.03,5.3,45,140,75.0,20,20,4.6,1.68,0,0,0.0,70.0,14,3,6.7,20,44.4,1,6,,67.1,61.5,72.4,61.2,,,0,0,20,0.0,114.0,0.0,0,0,0,0,2,1,5.0,97,4.9,66.7,18,21,10.8,3.41,0,1,4.5,47.6,10,14,16.7,25,55.6,2,8,,67.8,83.2,73.3,84.8,,57.3,0,0,26,21.4,106.1,12.0,3,1,0,3,2,0,0.0,164,7.8
Drew Allar,164157,QB,PENN STATE,1,2.72,2.63,,4.4,41,266,61.9,21,22,5.7,2.0,0,1,4.3,54.5,12,3,7.7,22,53.7,1,6,,67.5,69.1,72.8,68.6,,,0,0,23,0.0,83.7,0.0,0,0,0,1,1,0,0.0,111,5.0,50.0,16,17,15.2,3.55,0,2,11.8,47.1,8,9,0.0,19,46.3,0,8,,67.0,65.4,72.5,59.7,,70.8,0,2,19,0.0,69.1,0.0,0,2,0,1,2,2,10.5,115,6.8
Rocco Becht,157567,QB,IOWA STATE,1,2.85,2.78,,5.55,39,193,77.8,18,21,8.3,1.9,3,1,4.5,66.7,14,2,0.0,21,53.8,0,7,,67.5,76.2,72.8,75.6,,,0,0,23,0.0,118.8,0.0,0,0,0,0,2,0,0.0,148,7.0,72.7,11,15,12.1,4.2,0,2,13.3,53.3,8,7,0.0,17,43.6,0,7,,66.7,90.3,71.8,82.5,,75.8,0,1,17,0.0,40.1,0.0,0,2,0,4,0,0,0.0,77,5.1
Hajj-Malik Williams,102348,QB,UNLV,1,2.91,2.34,3.68,5.73,38,325,62.5,16,16,6.6,2.02,0,0,0.0,62.5,10,3,0.0,17,44.7,0,2,,66.7,28.4,71.8,28.6,,,0,1,17,33.3,44.5,5.9,1,0,0,0,0,3,17.6,63,3.9,25.0,12,12,20.8,3.63,0,2,15.4,25.0,3,11,0.0,21,55.3,0,3,,24.8,55.8,72.7,49.6,,68.4,0,0,22,45.5,43.4,23.8,5,4,0,0,0,1,4.5,47,3.9
Dillon Gabriel,86272,QB,OREGON,1,2.52,2.29,3.7,5.5,35,264,88.9,18,19,3.6,1.73,1,0,0.0,73.7,14,3,12.5,19,54.3,2,7,,67.0,87.3,72.2,86.5,,,0,0,19,0.0,137.3,0.0,0,0,0,0,3,0,0.0,156,8.2,81.8,11,13,10.1,3.46,2,0,0.0,61.5,8,8,11.1,16,45.7,1,6,,66.5,73.3,71.6,72.8,,61.8,0,0,16,12.5,119.7,6.3,1,2,0,0,1,0,0.0,127,9.8
Darian Mensah,169984,QB,TULANE,1,3.73,3.41,1.85,5.68,33,319,85.7,7,7,5.3,2.0,0,0,0.0,85.7,6,2,0.0,8,24.2,0,0,,12.7,50.7,69.5,50.7,,,0,0,8,50.0,92.3,12.5,1,0,0,0,0,1,12.5,43,6.1,70.6,17,18,12.9,4.28,0,0,0.0,61.1,11,9,8.3,25,75.8,1,10,,32.0,45.9,73.1,50.2,,50.7,1,1,25,11.1,105.3,4.0,1,6,0,0,2,2,8.0,166,9.2
Caden Veltkamp,156642,QB,W KENTUCKY,1,2.4,2.41,2.27,,33,346,63.6,22,22,9.0,1.89,0,0,0.0,63.6,14,6,0.0,24,72.7,0,6,,24.1,62.3,73.4,61.9,,,0,0,27,33.3,90.0,8.3,2,0,0,0,1,1,3.7,104,4.7,57.1,7,8,16.0,3.76,0,0,0.0,50.0,4,6,0.0,9,27.3,0,0,,65.4,59.2,70.4,59.0,,,0,0,11,16.7,63.0,11.1,1,0,0,1,0,0,0.0,37,4.6
Daniel Beale,197861,QB,LA LAFAYET,1,3.22,2.88,2.9,5.0,31,207,72.7,11,11,5.8,1.98,0,0,0.0,54.5,6,1,25.0,11,35.5,2,3,,65.6,57.7,70.4,57.6,,,0,0,11,0.0,68.8,0.0,0,0,0,0,0,0,0.0,56,5.1,50.0,10,13,17.4,3.91,1,1,6.7,23.1,3,12,40.0,20,64.5,2,2,,67.4,41.2,72.7,51.0,,43.0,0,1,22,16.7,7.5,10.0,2,5,0,2,0,1,4.5,39,3.0
