player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_run,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_run,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cade Klubnik,156253,QB,CLEMSON,1,2.93,2.84,5.4,6.1,62,140,80.0,25,27,7.4,1.88,1,0,0.0,70.4,19,5,5.0,27,43.5,1,11,,,,,67.9,69.6,73.4,69.1,,,0,0,27,0.0,86.3,0.0,0,0,0,1,0,0,0.0,166,6.1,56.3,32,33,13.1,3.74,0,1,2.8,54.5,18,20,0.0,35,56.5,0,10,,,,,68.9,69.8,74.6,70.6,,57.0,0,1,38,5.0,90.1,2.9,1,1,0,1,3,1,2.6,197,6.0
Quincy Crittendon,149944,QB,SAMFORD,1,3.34,2.94,4.23,8.0,61,282,75.0,20,20,8.8,1.95,0,0,0.0,70.0,14,2,6.7,20,32.8,1,10,,,,,67.2,58.1,72.5,57.9,,,0,1,21,0.0,91.7,0.0,0,0,0,0,1,2,9.5,170,8.5,79.3,29,34,9.4,4.02,0,1,2.9,61.8,21,26,8.7,41,67.2,2,14,,,,,69.1,75.0,74.9,73.6,,64.3,0,0,42,11.5,108.2,7.3,3,4,0,5,2,0,0.0,286,8.4
Micah Alejado,184162,QB,HAWAII,1,2.59,2.27,3.48,4.24,58,180,60.6,33,34,7.1,1.88,1,0,0.0,58.8,20,2,0.0,34,58.6,0,6,,,,,68.6,27.1,74.3,27.4,,,0,3,35,0.0,37.7,0.0,0,0,0,0,1,4,11.4,111,3.3,72.7,11,13,15.4,3.61,0,2,13.3,61.5,8,13,0.0,24,41.4,0,6,,,,,67.8,72.7,73.3,75.2,,60.2,0,0,26,30.8,88.0,16.7,4,7,0,2,0,0,0.0,108,8.3
Jalen Kitna,146688,QB,UAB,1,2.48,2.37,3.13,6.1,55,321,86.7,30,30,2.5,1.83,0,0,0.0,80.0,24,2,7.7,31,56.4,2,10,,,,,68.3,68.9,73.9,68.4,,,0,1,31,50.0,90.0,3.2,1,0,0,0,1,1,3.2,188,6.3,66.7,21,21,9.6,3.32,0,1,4.8,66.7,14,13,0.0,24,43.6,0,7,,,,,25.6,57.0,73.0,58.8,,56.2,0,0,24,15.4,108.4,8.3,2,1,0,0,1,1,4.2,176,8.4
Gunnar Smith,162611,QB,FORDHAM,1,2.83,2.44,2.1,5.13,53,168,70.8,24,24,9.1,1.93,0,1,4.0,58.3,14,3,17.6,27,50.9,3,6,,,,,68.0,67.7,73.5,67.2,,,0,0,28,100.0,99.7,11.1,3,0,0,0,2,0,0.0,122,5.1,70.6,17,18,10.1,3.77,0,2,11.1,55.6,10,7,16.7,26,49.1,2,9,,,,,67.8,64.6,73.3,64.3,,61.2,1,1,26,0.0,64.8,0.0,0,8,0,0,1,1,3.8,91,5.1
Braylon Braxton,144442,QB,SO MISS,1,2.99,2.68,3.3,5.25,53,296,75.0,20,21,8.6,1.85,1,3,13.0,66.7,14,3,6.7,21,39.6,1,10,,,,,67.5,76.5,72.8,75.8,,,0,1,23,0.0,95.7,0.0,0,0,0,0,1,1,4.3,212,10.1,66.7,21,25,13.5,3.73,1,1,3.8,56.0,14,9,0.0,32,60.4,0,9,,,,,68.5,64.0,74.1,66.3,,56.7,0,0,33,11.1,92.1,3.1,1,6,0,3,1,0,0.0,180,7.2
Jax Leatherwood,171548,QB,SE MO ST,1,2.23,2.15,3.2,3.6,52,293,80.0,35,35,6.8,1.82,0,2,5.7,68.6,24,2,14.3,35,67.3,4,15,,,,,68.6,91.9,74.3,91.5,,,0,1,35,0.0,89.8,0.0,0,0,0,0,1,1,2.9,277,7.9,81.8,11,11,10.0,3.26,0,1,8.3,81.8,9,6,0.0,16,30.8,0,8,,,,,66.8,79.5,72.0,77.0,,66.3,0,0,18,50.0,149.1,18.8,3,2,0,0,1,0,0.0,145,13.2
Anthony Colandrea,170131,QB,UNLV,1,2.24,2.01,3.28,3.65,51,325,82.4,34,36,6.1,1.77,2,1,2.7,72.2,26,6,7.1,38,74.5,2,17,,,,,68.9,73.1,74.7,70.8,,64.3,0,2,39,16.7,89.4,2.6,1,1,0,0,2,1,2.6,274,7.6,42.9,7,7,10.1,3.62,0,0,0.0,42.9,3,9,0.0,13,25.5,0,2,,,,,66.2,42.9,71.2,42.1,,57.2,0,0,14,33.3,50.3,23.1,3,3,0,0,0,0,0.0,19,2.7
Malachi Nelson,174203,QB,UTEP,1,2.61,2.51,2.83,4.45,51,330,56.5,23,23,8.3,1.88,0,0,0.0,47.8,11,4,15.4,24,47.1,2,5,,,,,67.7,64.1,73.1,63.7,,,0,0,25,25.0,62.4,4.2,1,0,0,0,0,0,0.0,113,4.9,66.7,21,23,18.2,3.25,0,6,23.1,47.8,11,12,21.4,27,52.9,3,10,,,,,68.2,90.9,73.7,91.5,,53.1,0,2,30,16.7,97.4,7.4,2,2,0,2,3,2,6.7,288,12.5
Bronson Barron,141710,QB,SO UTAH,1,2.78,2.69,2.68,4.23,51,298,61.1,18,20,9.1,2.0,2,0,0.0,50.0,10,5,9.1,21,41.2,1,5,,,,,67.2,72.5,72.5,71.9,,,0,0,21,20.0,87.3,4.8,1,0,0,0,1,0,0.0,129,6.5,68.2,22,23,12.0,3.32,0,1,4.2,56.5,13,13,13.3,30,58.8,2,10,,,,,17.9,63.8,73.9,67.8,,51.0,1,1,31,30.8,79.4,13.3,4,3,0,0,1,4,12.9,187,8.1
