player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Danny Scudero,170781,WR,S JOSE ST,9,119,0,285,0,-2.5,2,85.7,,0,0,7.7,1,5,0,0,10,0.0,0,30,12,100.0,30,120.2,14,46.7,2,47,75,6.3,3.9,1.57,13.5,11,60.0,47.1,8,17,15.5,11,33,1,0,70,0.0,0,365,60,94.8,346,117.8,100,28.9,8,937,260,4.3,15.6,2.71
Skyler Bell,145163,WR,UCONN,10,118,0,146,0,-2.2,5,93.5,,0,0,0.0,0,6,1,0,38,0.0,0,59,29,96.6,57,102.3,31,54.4,1,185,251,8.7,6.4,3.25,6.3,3,84.8,50.0,2,4,2.5,1,17,2,0,46,0.0,0,136,39,94.9,129,132.5,46,35.7,4,407,257,6.6,10.4,3.16
Jacob De Jesus,174068,WR,CAL,10,109,0,130,0,-2.3,2,88.0,,0,0,0.0,0,6,0,0,15,0.0,0,52,22,98.1,51,84.7,25,49.0,0,108,161,7.3,4.9,2.12,9.9,9,63.6,41.7,5,12,8.7,4,20,0,3,38,0.0,0,226,42,93.8,212,65.1,66,31.1,0,458,215,5.1,10.9,2.16
Ted Hurst,187922,WR,GA STATE,9,101,0,175,0,-2.5,6,100.0,,0,0,0.0,0,4,0,0,14,0.0,0,46,11,91.3,42,93.6,11,26.2,0,71,98,8.9,6.5,1.69,10.6,4,45.0,50.0,2,4,18.2,2,7,0,2,70,0.0,0,64,9,92.2,59,67.1,20,33.9,2,162,81,9.0,18.0,2.75
Easton Messer,163051,WR,FAU,9,100,0,165,0,-2.1,3,81.8,,0,0,6.9,2,7,1,0,18,0.0,0,65,27,100.0,65,83.7,33,50.8,0,135,211,7.8,5.0,2.08,5.8,6,76.6,66.7,6,9,5.3,4,32,1,3,55,0.3,1,362,72,95.0,344,93.9,94,27.3,3,692,342,4.8,9.6,2.01
Pofele Ashlock,158166,WR,HAWAII,10,92,0,180,0,-1.3,3,87.5,,0,0,0.0,0,2,0,0,8,0.0,0,32,7,96.9,31,121.9,8,25.8,1,30,38,5.4,4.3,0.97,10.2,8,59.0,44.4,4,9,16.4,9,29,0,2,47,0.0,0,406,46,95.1,386,92.8,78,20.2,6,498,103,2.2,10.8,1.29
Lewis Bond,143817,WR,BOSTON COL,10,91,0,121,0,-2.8,5,92.9,,0,0,7.1,1,2,0,0,11,0.0,0,32,13,100.0,32,91.7,14,43.8,0,84,120,9.2,6.5,2.63,7.5,10,77.4,75.0,3,4,2.0,1,25,0,1,27,0.0,0,275,48,96.4,265,93.0,62,23.4,0,493,225,4.7,10.3,1.86
Jordyn Tyson,157690,WR,ARIZONA ST,7,90,0,110,0,-2.6,2,91.7,,0,0,0.0,0,5,1,0,19,0.0,0,52,11,94.2,49,120.8,12,24.5,1,76,106,9.6,6.9,1.55,10.4,1,65.4,50.0,1,2,5.6,1,8,0,0,36,0.0,0,76,17,89.5,68,109.8,26,38.2,2,172,80,4.7,10.1,2.53
Chris Bell,156321,WR,LOUISVILLE,9,89,0,210,0,-0.5,1,100.0,,0,0,0.0,0,0,0,0,13,0.0,0,34,2,100.0,34,95.8,2,5.9,0,14,15,7.5,7.0,0.41,4.8,1,75.0,0.0,0,2,0.0,0,1,0,0,9,0.0,0,39,6,94.9,37,85.9,8,21.6,0,41,20,3.3,6.8,1.11
Trent Walker,146340,WR,OREGON ST,10,88,0,265,0,-1.0,1,100.0,,0,0,0.0,0,1,0,0,9,0.0,0,45,6,97.8,44,91.0,6,13.6,0,35,41,6.8,5.8,0.8,9.4,3,63.4,25.0,2,8,10.3,3,15,0,2,30,0.0,0,168,26,95.2,160,61.1,41,25.6,0,261,98,3.8,10.0,1.63
Corey Rucker,121539,WR,ARK STATE,10,85,0,113,0,-2.3,2,75.0,0.0,0,1,0.0,0,0,0,0,4,0.0,0,55,3,98.2,54,77.1,4,7.4,0,6,14,4.7,2.0,0.11,13.8,1,45.5,0.0,0,4,0.0,0,3,0,1,50,0.0,0,75,5,93.3,70,66.1,11,15.7,1,89,18,3.6,17.8,1.27
Chase Hendricks,171348,WR,OHIO,9,85,0,259,0,-1.8,1,100.0,,0,0,0.0,0,2,0,0,15,0.0,0,13,5,100.0,13,92.5,5,38.5,0,31,40,8.0,6.2,2.38,11.8,7,70.1,57.9,11,19,3.6,2,36,2,3,67,0.0,0,292,54,94.2,275,108.8,77,28.0,5,792,245,4.5,14.7,2.88
Jaden Barnes,173738,WR,APP STATE,9,84,0,108,0,-1.8,9,92.3,,0,0,0.0,0,4,0,0,21,0.0,0,27,12,100.0,27,88.1,13,48.1,0,67,90,7.5,5.6,2.48,9.4,12,61.9,50.0,5,10,13.3,6,19,1,1,59,0.0,0,247,39,93.9,232,105.3,63,27.2,6,400,162,4.2,10.3,1.72
Junior Vandeross III,163156,WR,TOLEDO,9,82,0,316,0,-2.9,8,86.4,0.0,0,1,9.5,2,4,0,0,28,0.0,0,33,19,97.0,32,117.0,22,68.8,2,106,162,8.5,5.6,3.31,8.4,10,70.0,66.7,4,6,10.6,5,22,0,2,71,0.0,0,230,42,94.8,218,118.1,60,27.5,7,471,256,6.1,11.2,2.16
CJ Williams,158471,WR,STANFORD,10,82,0,300,0,,0,,,0,0,,0,0,0,0,0,0.0,0,15,0,86.7,13,0.0,0,0.0,0,0,0,,,0.0,8.7,0,60.0,33.3,1,3,0.0,0,3,0,1,17,0.0,0,44,6,95.5,42,67.9,10,23.8,1,53,18,3.0,8.8,1.26
Eric McAlister,145976,WR,TCU,9,82,0,305,0,-1.7,7,100.0,,0,0,0.0,0,3,0,0,15,0.0,0,49,9,100.0,49,91.2,9,18.4,0,53,68,7.6,5.9,1.08,8.5,7,66.7,33.3,2,6,6.7,1,10,1,1,30,0.0,0,78,14,98.7,77,86.8,21,27.3,1,167,72,5.1,11.9,2.17
Makai Lemon,174150,WR,USC,9,81,0,326,0,-2.1,6,100.0,,0,0,0.0,0,6,0,0,21,0.0,0,54,17,100.0,54,99.5,17,31.5,0,134,169,9.9,7.9,2.48,11.0,13,69.1,55.6,5,9,2.6,1,25,0,2,74,0.0,0,206,38,94.2,194,128.1,55,28.4,6,623,302,7.9,16.4,3.21
Braylon Staley,184893,WR,TENNESSEE,9,80,0,307,0,-2.1,0,88.2,,0,0,6.3,1,3,0,0,15,0.0,0,56,15,94.6,53,86.3,17,32.1,0,80,105,7.0,5.3,1.51,9.9,2,63.8,33.3,3,9,8.3,4,25,0,1,56,0.0,0,283,44,92.2,261,95.4,69,26.4,2,605,280,6.4,13.8,2.32
Denzel Boston,162481,WR,WASHINGTON,9,80,0,340,0,-2.3,2,100.0,,0,0,0.0,0,3,0,0,20,0.0,0,51,8,98.0,50,103.6,8,16.0,0,71,89,11.1,8.9,1.42,13.8,2,65.4,66.7,2,3,5.6,1,11,0,2,48,0.0,0,61,17,100.0,61,74.7,26,42.6,1,233,103,6.1,13.7,3.82
Beau Sparks,173021,WR,TEXAS ST,9,80,0,314,0,-1.3,5,93.3,,0,0,0.0,0,2,0,0,73,0.0,0,44,14,95.5,42,125.6,15,35.7,1,132,150,10.7,9.4,3.14,14.1,5,75.8,25.0,1,4,0.0,0,15,1,0,65,0.0,0,148,25,93.2,138,127.4,33,23.9,1,430,141,5.6,17.2,3.12
Chauncy Cobb,172187,WR,ARK STATE,10,79,0,113,0,-2.8,7,92.9,,0,0,3.7,1,6,2,0,27,0.0,0,56,26,98.2,55,87.1,28,50.9,0,137,209,8.0,5.3,2.49,6.2,11,78.1,40.0,2,5,3.8,2,22,2,2,51,0.0,0,346,50,92.2,319,89.0,64,20.1,0,543,328,6.6,10.9,1.7
Jeremiah Smith,183710,WR,OHIO STATE,9,79,0,260,0,-2.3,0,83.3,,0,0,16.7,2,2,0,0,18,0.0,0,35,10,100.0,35,111.8,12,34.3,1,50,80,8.0,5.0,1.43,5.4,6,85.0,100.0,1,1,5.6,1,10,0,0,35,0.0,0,48,17,95.8,46,145.6,20,43.5,3,189,104,6.1,11.1,4.11
KJ Duff,184654,WR,RUTGERS,10,79,0,278,0,2.0,0,100.0,,0,0,0.0,0,1,0,0,3,0.0,0,4,1,100.0,4,118.8,1,25.0,1,3,1,1.0,3.0,0.75,13.5,0,75.0,50.0,1,2,0.0,0,3,0,0,18,0.0,0,42,3,97.6,41,112.5,4,9.8,0,46,1,0.3,15.3,1.12
Kyre Duplessis,147082,WR,DELAWARE,9,76,0,151,0,,0,,,0,0,,0,0,0,0,0,0.0,0,18,0,100.0,18,0.0,0,0.0,0,0,0,,,0.0,24.5,0,25.0,100.0,1,1,0.0,0,2,0,1,68,0.0,0,31,2,83.9,26,79.2,8,30.8,1,107,50,25.0,53.5,4.12
Devin Voisin,97427,WR,S ALABAMA,9,76,0,288,0,-2.9,0,100.0,,0,0,0.0,0,1,0,0,7,0.0,0,47,7,93.6,44,79.2,7,15.9,0,17,37,5.3,2.4,0.39,11.1,3,75.9,50.0,2,4,4.3,1,13,0,1,55,0.0,0,94,22,93.6,88,130.8,29,33.0,3,316,122,5.5,14.4,3.59
Donovan Faupel,175668,WR,NEW MEX ST,9,75,0,242,0,-1.5,0,100.0,,0,0,0.0,0,0,0,0,1,0.0,0,29,2,96.6,28,79.2,2,7.1,0,-2,1,0.5,-1.0,-0.07,4.8,0,100.0,,0,0,0.0,0,2,0,0,9,0.0,0,16,4,93.8,15,101.0,4,26.7,0,33,14,3.5,8.3,2.2
Kenny Odom,164032,WR,UTEP,8,74,0,330,0,-2.0,5,82.1,50.0,1,2,4.2,1,5,0,0,27,0.0,0,45,23,100.0,45,112.5,28,62.2,2,148,197,8.6,6.4,3.29,8.4,12,63.6,57.1,4,7,6.7,2,11,1,2,74,0.0,0,153,28,98.0,150,79.0,44,29.3,2,292,197,7.0,10.4,1.95
Ian Strong,170319,WR,RUTGERS,8,74,0,278,0,,0,,,0,0,,0,0,0,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,49.0,0,0.0,0.0,0,1,,0,0,0,1,0,0.0,0,1,0,100.0,1,0.0,1,100.0,0,0,0,,,0.0
