player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Easton Messer,163051,WR,FAU,5,7.3,3,72.1,50.0,3,6,0,2.0,1,22,165,1,87.4,58.5,71.6,,72.1,0.0,0,2,55,0.0,0,219,0,49,96.8,212,92.7,203,85.2,68,1,6.8,15,497,252,5.1,10.1,2.34
Skyler Bell,145163,WR,UCONN,6,9.1,5,71.6,53.8,7,13,0,4.0,2,22,146,2,80.9,26.7,75.2,,75.8,0.0,0,0,80,0.0,0,197,0,48,94.9,187,37.6,74,127.1,67,6,60.9,120,570,325,6.8,11.9,3.05
Danny Scudero,170781,WR,S JOSE ST,5,14.8,9,60.6,33.3,3,9,0,9.1,4,25,285,2,65.1,26.7,78.5,,79.2,0.0,0,0,70,0.0,0,204,0,40,95.1,194,89.7,183,115.3,66,4,9.8,20,674,198,5.0,16.9,3.47
Trent Walker,146340,WR,OREGON ST,6,10.3,5,70.5,44.4,4,9,0,8.5,4,28,265,0,67.0,78.6,77.6,,77.7,0.0,0,3,37,0.0,0,225,0,43,95.1,214,36.9,83,80.2,61,0,63.1,142,584,189,4.4,13.6,2.73
Jordyn Tyson,157690,WR,ARIZONA ST,5,10.6,5,67.2,50.0,5,10,1,2.5,1,27,110,1,85.9,42.0,83.4,,86.2,0.0,0,1,57,0.0,0,207,2,39,92.3,191,27.1,56,125.2,58,7,72.5,150,483,205,5.3,12.4,2.53
Pofele Ashlock,158166,WR,HAWAII,6,7.6,11,66.7,28.6,2,7,0,11.6,5,20,180,0,58.3,72.9,59.9,,59.5,0.0,0,1,47,0.0,0,292,0,38,93.8,274,90.4,264,93.8,57,3,9.6,28,355,115,3.0,9.3,1.3
Jacquon Gibson,158762,WR,UMASS,5,8.7,7,65.5,83.3,5,6,0,7.7,3,18,216,0,68.5,74.8,72.3,,72.7,0.6,1,0,50,0.0,0,160,0,36,96.9,155,16.3,26,83.8,55,0,83.1,133,358,132,3.7,9.9,2.31
Chase Hendricks,171348,WR,OHIO,6,11.9,3,69.8,63.6,7,11,0,2.6,1,25,259,1,83.8,44.2,83.0,,85.8,0.0,0,1,67,0.0,0,208,1,37,94.7,197,95.2,198,123.5,53,4,4.8,10,585,186,5.0,15.8,2.97
Jacob De Jesus,174068,WR,CAL,6,8.3,8,65.4,37.5,3,8,0,8.1,3,17,130,0,68.0,81.6,64.7,61.0,66.6,1.9,4,2,30,0.5,1,209,0,34,93.3,195,67.5,141,77.5,52,2,25.4,53,301,162,4.8,8.9,1.54
Devin Voisin,97427,WR,S ALABAMA,6,11.0,6,72.5,80.0,4,5,1,2.6,1,21,288,0,83.6,78.7,78.4,,81.4,0.6,1,2,65,0.0,0,175,2,37,93.7,164,31.4,55,113.3,51,4,67.4,118,501,183,4.9,13.5,3.05
Chris Bell,156321,WR,LOUISVILLE,5,11.0,2,70.0,63.6,7,11,0,5.4,2,26,210,0,75.2,72.3,78.8,,79.0,0.0,0,0,64,0.0,0,181,3,35,93.4,169,11.0,20,128.9,50,4,89.0,161,502,167,4.8,14.3,2.97
Zion Booker,177939,WR,TULSA,6,4.8,7,71.4,33.3,1,3,0,5.4,2,15,320,0,75.1,55.0,65.4,,65.7,0.0,0,1,36,0.0,0,184,1,35,94.0,173,92.4,170,84.9,49,1,7.6,14,294,215,6.1,8.4,1.7
Jayce Brown,173093,WR,KANSAS ST,6,13.6,1,60.4,37.5,3,8,1,12.1,4,13,199,0,55.6,72.8,72.2,,68.9,0.0,0,0,48,0.0,0,161,1,29,97.5,157,68.9,111,107.1,48,3,31.1,50,390,89,3.1,13.4,2.48
Johntay Cook,131255,WR,SYRACUSE,6,9.1,3,66.7,37.5,3,8,0,11.1,4,17,304,3,58.3,15.3,64.9,,64.7,0.0,0,0,59,0.0,0,206,1,32,93.7,193,85.4,176,105.5,48,2,14.1,29,391,166,5.2,12.2,2.03
Michael Trigg,146410,TE,BAYLOR,6,11.3,8,60.4,28.6,2,7,1,9.4,3,21,118,0,63.3,71.6,78.3,70.1,81.4,29.3,58,0,42,4.0,8,198,1,29,88.4,175,69.7,138,118.3,48,4,1.0,2,439,148,5.1,15.1,2.51
