player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Danny Scudero,170781,WR,S JOSE ST,8,110,0,285,16.5,3,53.8,33.3,2,6,16.0,4,16,0,47.1,88.5,0,50,0.0,0,102,21,92.2,94,133.9,39,41.5,6,443,114,5.4,21.1,4.71,0,14.0,5,58.3,55.6,5,9,12.5,4,14,1,54.4,67.1,0,72,0.0,0,168,28,95.8,161,115.5,48,29.8,3,506,163,5.8,18.1,3.14
Skyler Bell,145163,WR,UCONN,9,103,0,146,13.0,2,55.2,33.3,2,6,11.1,2,10,0,58.6,77.0,0,80,0.0,0,81,16,90.1,73,127.7,29,39.7,4,279,174,10.9,17.4,3.82,0,7.5,8,79.7,71.4,5,7,2.1,1,20,1,86.8,78.0,0,80,0.0,0,177,47,97.2,172,125.4,59,34.3,3,591,375,8.0,12.6,3.44
Easton Messer,163051,WR,FAU,8,91,0,165,5.9,1,79.2,50.0,1,2,0.0,0,12,0,85.5,77.3,0,35,1.4,1,73,19,94.5,69,95.5,24,34.8,0,166,94,4.9,8.7,2.41,0,6.1,6,73.7,80.0,4,5,6.7,3,16,1,72.0,64.4,2,55,0.0,0,227,42,95.6,217,81.6,57,26.3,1,368,193,4.6,8.8,1.7
Jordyn Tyson,157690,WR,ARIZONA ST,7,90,0,110,12.9,2,56.8,33.3,2,6,0.0,0,15,0,87.0,89.5,0,36,0.0,0,87,21,92.0,80,115.7,37,46.3,5,237,80,3.8,11.3,2.96,0,8.0,3,75.0,40.0,2,5,3.2,1,15,1,81.4,74.6,1,57,0.0,0,162,30,92.6,150,94.6,40,26.7,1,308,146,4.9,10.3,2.05
Pofele Ashlock,158166,WR,HAWAII,9,88,0,180,9.5,3,60.0,100.0,2,2,16.0,4,17,0,56.1,63.8,1,38,0.0,0,161,21,93.8,151,95.3,35,23.2,3,223,38,1.8,10.6,1.48,0,11.0,3,55.6,20.0,1,5,20.0,5,9,0,37.0,56.2,1,47,0.0,0,173,20,96.5,167,72.2,36,21.6,1,226,53,2.7,11.3,1.35
Jacob De Jesus,174068,WR,CAL,9,87,0,130,11.4,2,68.0,33.3,1,3,5.6,1,12,0,72.8,78.5,1,30,0.0,0,97,17,88.7,86,114.0,25,29.1,3,194,55,3.2,11.4,2.26,0,8.0,6,55.1,28.6,2,7,18.2,6,10,0,38.5,53.7,3,22,0.5,1,182,27,96.7,176,41.0,49,27.8,0,218,138,5.1,8.1,1.24
Ted Hurst,187922,WR,GA STATE,8,83,0,175,12.0,1,42.9,83.3,5,6,25.0,3,7,0,33.2,67.5,2,52,0.0,0,76,9,92.1,70,57.7,21,30.0,2,140,51,5.7,15.6,2.0,0,12.0,13,63.6,50.0,3,6,6.7,2,18,0,70.7,77.0,2,70,0.0,0,164,28,93.9,154,92.0,44,28.6,2,429,222,7.9,15.3,2.79
Trent Walker,146340,WR,OREGON ST,9,81,0,265,8.6,1,68.0,40.0,2,5,10.5,2,8,0,60.0,63.3,0,24,0.0,0,94,17,93.6,88,84.4,25,28.4,0,154,61,3.6,9.1,1.75,0,12.2,5,64.3,50.0,2,4,12.9,4,19,0,54.4,74.5,3,37,0.0,0,152,27,96.1,146,65.7,42,28.8,0,401,122,4.5,14.9,2.75
Lewis Bond,143817,WR,BOSTON COL,9,81,0,121,9.7,5,76.5,66.7,2,3,0.0,0,10,0,82.7,71.7,0,27,1.0,1,98,13,92.9,91,106.0,17,18.7,0,164,71,5.5,12.6,1.8,0,6.8,8,80.0,100.0,1,1,4.3,2,19,0,79.9,69.9,2,32,0.0,0,222,44,97.3,216,87.2,55,25.5,1,391,182,4.1,8.9,1.81
Braylon Staley,184893,WR,TENNESSEE,9,80,0,307,7.8,0,56.3,33.3,1,3,10.0,1,8,0,61.4,69.7,1,56,0.0,0,65,9,87.7,57,62.8,16,28.1,0,153,82,9.1,17.0,2.68,0,9.2,2,68.4,33.3,2,6,7.1,3,18,0,64.6,73.2,0,73,0.0,0,219,39,94.5,207,115.3,57,27.5,3,529,232,5.9,13.6,2.56
Chris Bell,156321,WR,LOUISVILLE,8,80,0,210,10.8,2,65.2,50.0,4,8,0.0,0,14,0,83.8,89.3,0,35,0.0,0,67,15,94.0,63,138.4,23,36.5,3,234,102,6.8,15.6,3.71,0,8.8,5,75.6,71.4,5,7,2.9,1,21,0,82.2,77.1,1,64,0.0,0,170,34,96.5,164,119.4,45,27.4,3,447,178,5.2,13.1,2.73
Chase Hendricks,171348,WR,OHIO,8,76,0,259,12.2,1,80.8,85.7,6,7,0.0,0,14,1,86.3,86.7,0,67,0.0,0,87,21,89.7,78,152.2,26,33.3,4,287,77,3.7,13.7,3.68,0,10.9,1,73.8,57.1,4,7,6.1,2,21,1,73.4,83.2,1,43,0.0,0,149,31,96.0,143,116.7,42,29.4,2,475,152,4.9,15.3,3.32
Devin Voisin,97427,WR,S ALABAMA,9,76,0,288,9.0,2,62.5,100.0,2,2,9.1,1,5,0,62.9,65.2,0,28,0.0,0,67,10,85.1,57,103.4,16,28.1,1,109,42,4.2,10.9,1.91,0,13.2,3,63.9,25.0,1,4,0.0,0,14,0,87.4,82.0,1,65,0.0,0,132,23,93.9,124,103.5,36,29.0,2,356,140,6.1,15.5,2.87
Corey Rucker,121539,WR,ARK STATE,9,75,0,113,12.1,1,47.1,20.0,1,5,0.0,0,5,0,79.3,63.3,0,30,0.0,0,71,8,87.3,62,63.6,17,27.4,0,91,58,7.3,11.4,1.47,0,14.2,5,61.0,66.7,4,6,7.4,2,15,1,59.5,61.2,2,50,0.0,0,235,25,94.0,221,73.4,41,18.6,1,322,91,3.6,12.9,1.46
KJ Duff,184654,WR,RUTGERS,9,75,0,278,16.8,0,64.3,53.8,7,13,5.3,1,16,0,72.8,79.3,0,72,0.0,0,127,18,94.5,120,147.3,28,23.3,5,351,89,4.9,19.5,2.93,0,15.8,4,72.7,62.5,10,16,5.9,2,24,0,73.5,76.4,1,42,0.0,0,218,32,96.8,211,106.4,44,20.9,1,482,70,2.2,15.1,2.28
O'Mega Blake,146913,WR,ARKANSAS,9,74,0,111,11.7,2,42.9,100.0,1,1,14.3,1,2,0,53.4,53.8,0,27,0.0,0,88,6,96.6,85,58.3,14,16.5,0,69,32,5.3,11.5,0.81,0,11.3,7,72.3,50.0,5,10,2.9,1,24,1,83.2,80.9,2,33,0.0,0,186,34,93.5,174,83.3,47,27.0,0,436,139,4.1,12.8,2.51
