player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael Jackson III,146412,WR,USC,1,10,0,326,0,-2.0,1,100.0,,0,0,0.0,0,1,0,81.5,80.5,0,16,0.0,0,4,1,100.0,4,118.8,1,25.0,0,16,18,18.0,16.0,4.0,,0,,,0,0,,0,0,0,58.9,70.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Kyle Ford,71304,WR,USC,1,8,0,326,0,0.0,0,100.0,,0,0,0.0,0,1,0,81.5,91.3,0,16,0.0,0,2,1,100.0,2,118.8,1,50.0,0,16,16,16.0,16.0,8.0,,0,,,0,0,,0,0,0,58.9,77.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Tahj Washington,97288,WR,USC,1,6,0,326,0,-1.0,1,100.0,,0,0,0.0,0,0,0,86.7,91.3,0,9,0.0,0,6,2,100.0,6,97.9,2,33.3,0,15,17,8.5,7.5,2.5,,0,,,0,0,,0,0,0,78.5,67.7,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Kekoa Crawford,27369,WR,CAL,1,4,0,130,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,54.6,0,3,0.0,0,5,1,100.0,5,79.2,1,20.0,0,3,5,5.0,3.0,0.6,3.0,0,100.0,,0,0,0.0,0,0,0,74.9,56.2,0,3,0.0,0,7,1,100.0,7,79.2,1,14.3,0,3,0,0.0,3.0,0.43
Nikko Remigio,84150,WR,CAL,1,4,0,130,0,-3.7,3,100.0,,0,0,0.0,0,1,0,90.0,99.8,0,17,0.0,0,4,3,100.0,4,113.9,3,75.0,0,34,45,15.0,11.3,8.5,-3.7,3,100.0,,0,0,0.0,0,1,0,81.5,89.9,0,17,0.0,0,16,3,93.8,15,113.9,3,20.0,0,34,45,15.0,11.3,2.27
Trevon Clark,98727,WR,CAL,1,4,0,130,0,,0,,,0,0,,0,0,0,,49.4,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,12.0,0,100.0,,0,0,0.0,0,1,0,73.1,62.5,0,17,0.0,0,7,1,100.0,7,118.8,1,14.3,0,17,5,5.0,17.0,2.43
Collin Moore,60866,TE,CAL,1,3,0,130,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,55.7,0,5,0.0,0,4,1,100.0,4,87.5,1,25.0,0,5,6,6.0,5.0,1.25,2.0,0,100.0,,0,0,0.0,0,0,0,77.5,57.6,0,2,0.0,0,1,1,100.0,1,79.2,1,100.0,0,2,0,0.0,2.0,2.0
Chris Brooks,83644,HB,CAL,1,2,0,130,0,,0,,,0,0,,0,0,0,,55.5,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,74.9,69.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Brandon Campbell,146414,HB,USC,1,2,0,326,0,,0,,,0,0,,0,0,0,,50.4,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,72.0,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Kyron Hudson,146411,WR,USC,1,2,0,326,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,59.3,0,-1,0.0,0,2,1,100.0,2,79.2,1,50.0,0,-1,0,0.0,-1.0,-0.5,,0,,,0,0,,0,0,0,70.7,55.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0
