player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
T.J. Moore,189369,WR,CLEMSON,1,11,0,140,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,57.2,0,3,0.0,0,3,1,100.0,3,79.2,1,33.3,0,3,6,6.0,3.0,1.0,10.5,0,100.0,,0,0,0.0,0,1,0,84.7,75.7,0,29,0.0,0,8,2,100.0,8,118.8,2,25.0,0,32,11,5.5,16.0,4.0
Bryant Wesco Jr.,183206,WR,CLEMSON,1,10,0,140,0,,0,,,0,0,,0,0,0,,50.5,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,5.5,0,0.0,0.0,0,1,,0,0,0,77.5,60.0,0,0,0.0,0,4,0,100.0,4,39.6,2,50.0,0,0,0,,,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,9,0,258,0,-3.0,1,66.7,,0,0,33.3,1,1,0,12.9,58.3,0,9,0.0,0,4,2,100.0,4,70.1,3,75.0,0,8,16,8.0,4.0,2.0,-4.0,0,100.0,,0,0,0.0,0,0,0,33.4,61.4,0,-1,0.0,0,1,1,100.0,1,79.2,1,100.0,0,-1,3,3.0,-1.0,-1.0
Ke'Shawn Williams,123406,WR,INDIANA,1,8,0,190,0,-1.0,1,100.0,,0,0,0.0,0,0,0,81.5,92.2,0,8,0.0,0,2,1,100.0,2,100.0,1,50.0,0,8,9,9.0,8.0,4.0,10.9,0,57.1,100.0,1,1,0.0,0,2,0,80.9,68.8,1,16,0.0,0,26,4,88.5,23,32.1,7,30.4,0,37,0,0.0,9.3,1.61
Chris Brazzell II,158409,WR,TENNESSEE,1,8,0,307,0,,0,,,0,0,,0,0,0,,50.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,31.6,49.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Harrison Wallace III,145090,WR,PENN STATE,1,7,0,266,0,,0,,,0,0,,0,0,0,,52.1,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,17.0,1,100.0,,0,0,0.0,0,1,0,59.3,64.4,0,25,0.0,0,4,1,100.0,4,118.8,1,25.0,0,25,8,8.0,25.0,6.25
Elijah Sarratt,159499,WR,INDIANA,1,7,0,190,0,,0,,,0,0,,0,0,0,,49.1,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,80.1,68.7,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Gunnar Helm,144726,TE,TEXAS,1,7,0,311,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,90.1,0,14,0.0,0,5,1,100.0,5,118.8,1,20.0,0,14,16,16.0,14.0,2.8,8.7,0,66.7,0.0,0,1,0.0,0,1,0,81.5,93.2,0,16,0.0,0,5,2,100.0,5,92.4,3,60.0,0,25,9,4.5,12.5,5.0
Jeremiah Smith,183710,WR,OHIO STATE,1,7,0,260,0,,0,,,0,0,,0,0,0,,49.6,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,1.5,1,100.0,,0,0,0.0,0,3,0,79.3,71.1,0,18,0.0,0,14,4,92.9,13,112.5,4,30.8,0,44,38,9.5,11.0,3.38
Emeka Egbuka,145055,WR,OHIO STATE,1,7,0,260,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,57.1,0,8,0.0,0,2,1,100.0,2,100.0,1,50.0,0,8,10,10.0,8.0,4.0,11.2,0,66.7,100.0,1,1,0.0,0,4,0,80.1,78.0,0,40,0.0,0,18,4,94.4,17,108.3,6,35.3,0,73,22,5.5,18.3,4.29
