player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,22,0,122,0,-1.8,1,100.0,,0,0,0.0,0,2,0,92.6,93.2,0,23,0.0,0,9,5,100.0,9,107.5,5,55.6,0,49,58,11.6,9.8,5.44,11.1,0,42.9,0.0,0,2,25.0,1,2,0,63.6,75.2,0,22,0.0,0,16,3,100.0,16,62.2,7,43.8,0,41,23,7.7,13.7,2.56
Coleman Owen,104969,WR,OHIO,1,17,0,259,0,-2.0,0,100.0,,0,0,0.0,0,0,0,86.7,57.8,0,5,0.0,0,5,2,100.0,5,79.2,2,40.0,0,3,7,3.5,1.5,0.6,10.8,1,64.7,66.7,2,3,0.0,0,6,0,86.3,84.5,1,34,0.0,0,38,11,94.7,36,66.1,17,47.2,0,141,63,5.7,12.8,3.92
Junior Vandeross III,163156,WR,TOLEDO,1,16,0,316,0,-0.5,2,100.0,,0,0,0.0,0,2,0,91.4,95.5,0,67,0.0,0,6,4,100.0,6,158.3,4,66.7,1,71,73,18.3,17.8,11.83,10.0,1,73.3,100.0,4,4,0.0,0,7,0,87.4,89.6,0,67,0.0,0,46,11,89.1,41,137.5,15,36.6,1,199,102,9.3,18.1,4.85
Kyle Williams,128374,WR,WASH STATE,1,15,0,341,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,52.4,0,-2,0.0,0,5,1,100.0,5,79.2,1,20.0,0,-2,0,0.0,-2.0,-0.4,12.8,2,60.0,,0,0,0.0,0,2,0,85.1,83.1,1,66,0.0,0,13,3,84.6,11,104.2,5,45.5,1,100,63,21.0,33.3,9.09
Hudson Clement,173172,WR,W VIRGINIA,1,14,0,343,0,,0,,,0,0,,0,0,0,,47.4,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,77.2,86.4,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0
Matthew Coleman,157831,WR,S JOSE ST,1,14,0,285,0,-3.7,0,100.0,,0,0,0.0,0,0,0,90.0,60.8,0,4,0.0,0,5,3,100.0,5,79.2,3,60.0,0,4,15,5.0,1.3,0.8,5.7,4,83.3,100.0,1,1,0.0,0,7,0,87.4,79.5,0,23,0.0,0,53,10,90.6,48,129.2,12,25.0,1,100,48,4.8,10.0,2.08
Cam Vaughn,170441,WR,JVILLE ST,1,14,0,196,0,2.0,1,66.7,,0,0,33.3,1,0,0,12.9,38.2,0,8,0.0,0,6,2,83.3,5,79.9,3,60.0,0,16,15,7.5,8.0,3.2,4.0,0,0.0,,0,0,,0,0,0,47.2,78.1,0,0,0.0,0,5,0,80.0,4,39.6,1,25.0,0,0,0,,,0.0
Sean Atkins,101127,WR,USF,1,14,0,327,0,-1.8,0,100.0,,0,0,0.0,0,1,0,93.6,71.6,0,12,0.0,0,10,6,90.0,9,94.4,6,66.7,0,40,51,8.5,6.7,4.44,7.1,0,75.0,,0,0,0.0,0,3,0,83.3,66.2,0,42,0.0,0,33,9,90.9,30,100.0,12,40.0,0,102,62,6.9,11.3,3.4
Jerjuan Newton,97308,WR,TOLEDO,1,13,0,316,0,-5.0,0,100.0,,0,0,0.0,0,0,0,81.5,54.6,0,2,0.0,0,4,1,100.0,4,79.2,1,25.0,0,2,7,7.0,2.0,0.5,15.5,0,50.0,50.0,1,2,0.0,0,2,0,55.5,69.8,0,11,0.0,0,16,3,93.8,15,56.9,6,40.0,0,19,15,5.0,6.3,1.27
Kisean Johnson,141735,WR,W KENTUCKY,1,13,0,346,0,-2.0,2,100.0,,0,0,0.0,0,1,0,90.0,78.7,0,7,0.0,0,6,3,100.0,6,86.1,3,50.0,0,14,20,6.7,4.7,2.33,,0,,,0,0,,0,0,0,70.1,67.1,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
