player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Carnell Tate,170273,WR,OHIO STATE,1,9,0,260,0,-4.0,0,100.0,,0,0,0.0,0,1,0,81.5,74.4,0,5,0.0,0,6,1,100.0,6,87.5,1,16.7,0,5,9,9.0,5.0,0.83,13.0,0,100.0,,0,0,0.0,0,1,0,66.1,70.1,0,18,0.0,0,2,1,100.0,2,118.8,1,50.0,0,18,5,5.0,18.0,9.0
Mitchell Evans,147486,TE,NOTRE DAME,1,8,0,258,0,,0,,,0,0,,0,0,0,,48.7,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,8.8,0,75.0,50.0,1,2,0.0,0,1,0,50.1,70.9,0,32,0.0,0,23,3,95.7,22,113.5,4,18.2,0,47,19,6.3,15.7,2.14
Emeka Egbuka,145055,WR,OHIO STATE,1,7,0,260,0,-5.0,1,100.0,,0,0,0.0,0,0,0,81.5,75.9,0,8,0.0,0,6,1,83.3,5,100.0,1,20.0,0,8,13,13.0,8.0,1.6,11.5,1,66.7,33.3,1,3,33.3,2,3,0,30.0,68.1,0,14,0.0,0,30,4,96.7,29,89.6,6,20.7,0,46,21,5.3,11.5,1.59
Quintrevion Wisner,176190,HB,TEXAS,1,7,0,311,0,-6.0,0,100.0,,0,0,0.0,0,1,0,81.5,90.3,0,10,0.0,0,5,1,100.0,5,108.3,1,20.0,0,10,16,16.0,10.0,2.0,,0,,,0,0,,0,0,0,47.7,62.6,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jaden Greathouse,171085,WR,NOTRE DAME,1,7,0,258,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,56.2,0,3,0.0,0,4,1,100.0,4,79.2,1,25.0,0,3,4,4.0,3.0,0.75,8.0,0,100.0,100.0,2,2,0.0,0,3,0,82.2,75.7,0,54,0.0,0,30,6,93.3,28,158.3,6,21.4,1,99,51,8.5,16.5,3.54
Tyler Warren,129798,TE,PENN STATE,1,7,0,266,0,-2.0,1,100.0,,0,0,0.0,0,2,0,86.7,94.6,0,13,0.0,0,4,2,100.0,4,102.1,2,50.0,0,17,21,10.5,8.5,4.25,9.3,0,75.0,,0,0,0.0,0,1,0,80.9,74.5,0,22,0.0,0,15,3,93.3,14,93.8,4,28.6,0,28,8,2.7,9.3,2.0
Ryan Wingo,184520,WR,TEXAS,1,6,0,311,0,-4.0,0,100.0,,0,0,0.0,0,1,0,81.5,74.6,0,22,0.0,0,6,1,100.0,6,118.8,1,16.7,0,22,26,26.0,22.0,3.67,21.7,0,33.3,,0,0,0.0,0,1,0,17.0,49.5,0,22,0.0,0,20,1,100.0,20,60.4,3,15.0,0,22,26,26.0,22.0,1.1
Jaydon Blue,157303,HB,TEXAS,1,6,0,311,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,59.4,0,5,0.0,0,2,1,100.0,2,87.5,1,50.0,0,5,8,8.0,5.0,2.5,-4.0,0,100.0,,0,0,0.0,0,0,0,36.7,55.0,0,5,0.0,0,5,2,100.0,5,87.5,2,40.0,0,10,18,9.0,5.0,2.0
Nicholas Singleton,164188,HB,PENN STATE,1,6,0,266,0,-3.0,0,100.0,,0,0,0.0,0,1,0,86.7,92.4,0,23,25.0,1,4,2,75.0,3,118.8,2,66.7,0,33,39,19.5,16.5,11.0,8.0,0,0.0,,0,0,,0,0,0,45.4,54.1,0,0,0.0,0,3,0,100.0,3,39.6,2,66.7,0,0,0,,,0.0
DeAndre Moore Jr.,173164,WR,TEXAS,1,6,0,311,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,55.4,0,2,0.0,0,4,1,100.0,4,79.2,1,25.0,0,2,5,5.0,2.0,0.5,14.8,0,75.0,,0,0,0.0,0,1,0,78.5,55.2,0,15,0.0,0,21,3,95.2,20,94.8,4,20.0,0,29,12,4.0,9.7,1.45
Aneyas Williams,184108,HB,NOTRE DAME,1,5,0,258,0,-2.5,0,100.0,,0,0,0.0,0,1,0,86.7,92.9,0,5,33.3,1,3,2,66.7,2,85.4,2,100.0,0,9,14,7.0,4.5,4.5,,0,,,0,0,,0,0,0,80.9,93.3,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Gee Scott Jr.,129756,TE,OHIO STATE,1,5,0,260,0,-3.0,0,100.0,,0,0,0.0,0,0,0,81.5,50.4,0,-2,0.0,0,6,1,83.3,5,79.2,1,20.0,0,-2,1,1.0,-2.0,-0.4,8.0,0,100.0,,0,0,0.0,0,1,0,80.1,64.6,0,14,7.1,1,14,2,92.9,13,110.4,2,15.4,0,21,5,2.5,10.5,1.62
Quinshon Judkins,157128,HB,OHIO STATE,1,3,0,260,0,-5.0,1,100.0,,0,0,0.0,0,1,0,81.5,91.7,0,11,0.0,0,3,1,66.7,2,112.5,1,50.0,0,11,16,16.0,11.0,5.5,,0,,,0,0,,0,0,0,77.5,78.4,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jeremiah Smith,183710,WR,OHIO STATE,1,3,0,260,0,-5.0,2,100.0,,0,0,0.0,0,0,0,86.7,73.0,0,3,0.0,0,7,1,85.7,6,79.2,1,16.7,0,3,8,8.0,3.0,0.5,35.0,0,0.0,,0,0,,0,0,0,74.9,55.7,0,0,0.0,0,8,0,75.0,6,39.6,1,16.7,0,0,0,,,0.0
Harrison Wallace III,145090,WR,PENN STATE,1,3,0,266,0,,0,,,0,0,,0,0,0,,48.6,0,0,0.0,0,5,0,100.0,5,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,,50.4,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Matthew Golden,156165,WR,TEXAS,1,3,0,311,0,,0,,,0,0,,0,0,0,,51.6,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,26.0,0,100.0,,0,0,0.0,0,1,0,66.7,56.5,0,27,0.0,0,7,1,100.0,7,118.8,1,14.3,0,27,1,1.0,27.0,3.86
Gunnar Helm,144726,TE,TEXAS,1,3,0,311,0,,0,,,0,0,,0,0,0,,41.9,0,0,14.3,1,7,0,85.7,6,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,74.9,56.1,0,0,0.0,0,13,0,92.3,12,0.0,0,0.0,0,0,0,,,0.0
