player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Jeremiah Smith,183710,WR,OHIO STATE,1,7,0,260,0,0.0,0,50.0,,0,0,0.0,0,0,0,81.5,54.0,0,2,0.0,0,4,1,100.0,4,56.3,2,50.0,0,2,3,3.0,2.0,0.5,1.0,0,0.0,,0,0,,0,0,0,78.5,69.6,0,0,0.0,0,4,0,100.0,4,39.6,1,25.0,0,0,0,,,0.0
Jaden Greathouse,171085,WR,NOTRE DAME,1,7,0,258,0,,0,,,0,0,,0,0,0,,45.6,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,13.5,2,83.3,66.7,2,3,0.0,0,5,0,82.2,84.2,0,34,0.0,0,31,5,90.3,28,158.3,6,21.4,2,122,44,8.8,24.4,4.36
Emeka Egbuka,145055,WR,OHIO STATE,1,6,0,260,0,-5.0,1,100.0,,0,0,0.0,0,0,1,81.5,51.5,0,24,0.0,0,4,1,100.0,4,118.8,1,25.0,0,24,29,29.0,24.0,6.0,5.2,1,100.0,,0,0,0.0,0,1,0,80.9,60.6,0,12,0.0,0,25,5,92.0,23,100.0,5,21.7,0,40,14,2.8,8.0,1.74
Mitchell Evans,147486,TE,NOTRE DAME,1,5,0,258,0,,0,,,0,0,,0,0,0,,45.5,0,0,0.0,0,5,0,80.0,4,0.0,0,0.0,0,0,0,,,0.0,6.0,2,100.0,,0,0,0.0,0,1,0,80.1,61.7,0,33,0.0,0,24,4,83.3,20,118.8,4,20.0,0,52,28,7.0,13.0,2.6
Beaux Collins,144112,WR,NOTRE DAME,1,5,0,258,0,-1.0,0,100.0,,0,0,0.0,0,0,0,86.7,56.8,0,7,0.0,0,5,2,100.0,5,87.5,2,40.0,0,10,12,6.0,5.0,2.0,,0,,,0,0,,0,0,0,81.5,68.5,0,0,0.0,0,1,0,0.0,0,0.0,0,,0,0,0,,,
Kris Mitchell,97659,WR,NOTRE DAME,1,4,0,258,0,-1.0,0,100.0,,0,0,0.0,0,1,0,81.5,81.4,0,6,0.0,0,4,1,100.0,4,91.7,1,25.0,0,6,7,7.0,6.0,1.5,,0,,,0,0,,0,0,0,76.3,67.4,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Carnell Tate,170273,WR,OHIO STATE,1,3,0,260,0,,0,,,0,0,,0,0,0,,49.7,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,73.1,62.5,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,2,0,258,0,,0,,,0,0,,0,0,0,,49.3,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,70.7,52.1,0,0,0.0,0,8,0,75.0,6,0.0,0,0.0,0,0,0,,,0.0
Quinshon Judkins,157128,HB,OHIO STATE,1,2,0,260,0,-3.0,1,100.0,,0,0,0.0,0,1,0,81.5,95.1,0,15,0.0,0,1,1,100.0,1,118.8,1,100.0,0,15,18,18.0,15.0,15.0,,0,,,0,0,,0,0,0,76.3,92.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Jeremiyah Love,171090,HB,NOTRE DAME,1,2,0,258,0,-3.5,1,100.0,,0,0,0.0,0,0,0,90.0,94.4,0,7,33.3,2,6,2,50.0,3,79.2,2,66.7,0,5,12,6.0,2.5,1.67,,0,,,0,0,,0,0,0,77.5,80.1,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
