player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Moore Jr.,173164,WR,TEXAS,1,13,0,311,0,-4.0,0,100.0,,0,0,0.0,0,0,0,81.5,54.0,0,0,0.0,0,5,1,100.0,5,79.2,1,20.0,0,0,4,4.0,0.0,0.0,7.1,1,66.7,100.0,3,3,14.3,1,2,0,55.5,81.8,0,41,0.0,0,31,6,90.3,28,134.5,9,32.1,1,86,63,10.5,14.3,3.07
Ricky White,129639,WR,UNLV,1,12,0,325,0,-1.0,0,100.0,,0,0,0.0,0,0,0,81.5,56.2,0,3,0.0,0,3,1,100.0,3,79.2,1,33.3,0,3,4,4.0,3.0,1.0,11.3,0,33.3,0.0,0,1,0.0,0,0,0,78.5,55.1,0,3,0.0,0,8,1,100.0,8,42.4,3,37.5,0,3,4,4.0,3.0,0.38
Tez Johnson,123709,WR,OREGON,1,12,0,264,0,-3.4,1,80.0,,0,0,20.0,1,1,0,29.3,74.7,0,17,0.0,0,7,4,100.0,7,87.5,5,71.4,0,25,38,9.5,6.3,3.57,6.7,5,100.0,,0,0,0.0,0,6,0,74.4,93.6,0,48,0.0,0,22,9,100.0,22,155.8,9,40.9,1,165,105,11.7,18.3,7.5
Matthew Golden,156165,WR,TEXAS,1,12,0,311,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,52.8,0,5,0.0,0,6,1,100.0,6,87.5,1,16.7,0,5,7,7.0,5.0,0.83,6.5,0,50.0,,0,0,50.0,1,1,0,56.8,71.6,0,13,0.0,0,10,1,100.0,10,70.8,2,20.0,0,13,1,1.0,13.0,1.3
Tyler Warren,129798,TE,PENN STATE,1,12,0,266,0,0.0,0,100.0,,0,0,0.0,0,0,0,81.5,65.2,0,0,0.0,0,2,1,100.0,2,79.2,1,50.0,0,0,0,0.0,0.0,0.0,13.0,1,66.7,,0,0,20.0,1,3,0,47.1,69.1,0,28,0.0,0,21,4,90.5,19,93.1,6,31.6,0,51,20,5.0,12.8,2.68
Brashard Smith,143951,HB,SMU,1,11,0,287,0,,0,,,0,0,,0,0,0,,50.4,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,4.0,0,0.0,,0,0,100.0,1,0,0,20.7,39.7,0,0,0.0,0,3,0,100.0,3,39.6,1,33.3,0,0,0,,,0.0
Bryant Wesco Jr.,183206,WR,CLEMSON,1,11,0,140,0,-3.0,0,100.0,,0,0,0.0,0,1,0,86.7,70.3,0,11,0.0,0,8,2,100.0,8,102.1,2,25.0,0,17,23,11.5,8.5,2.13,20.0,1,100.0,100.0,1,1,0.0,0,1,0,83.8,77.2,0,43,0.0,0,5,1,100.0,5,158.3,1,20.0,1,43,23,23.0,43.0,8.6
Roderick Daniels Jr.,144356,WR,SMU,1,10,0,287,0,-2.3,0,100.0,,0,0,0.0,0,1,0,90.0,79.1,0,14,0.0,0,6,3,100.0,6,79.2,3,50.0,0,5,12,4.0,1.7,0.83,11.3,1,85.7,,0,0,0.0,0,4,0,62.9,63.0,0,37,0.0,0,47,6,93.6,44,144.9,7,15.9,1,65,13,2.2,10.8,1.48
Easton Messer,163051,WR,W KENTUCKY,1,10,0,346,0,-1.5,0,100.0,,0,0,0.0,0,1,0,86.7,58.6,0,6,0.0,0,4,2,100.0,4,89.6,2,50.0,0,11,14,7.0,5.5,2.75,11.1,0,66.7,0.0,0,1,0.0,0,3,0,83.3,66.8,0,21,0.0,0,26,6,96.2,25,93.3,9,36.0,0,77,23,3.8,12.8,3.08
Jayden Higgins,150240,WR,IOWA STATE,1,10,0,193,0,,0,,,0,0,,0,0,0,,50.1,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,16.3,0,75.0,100.0,2,2,0.0,0,2,0,81.5,77.3,0,25,0.0,0,15,3,86.7,13,116.7,4,30.8,0,50,6,2.0,16.7,3.85
Javon Tracy,158028,WR,MIAMI OH,1,10,0,221,0,-1.0,0,100.0,,0,0,0.0,0,1,0,81.5,91.5,0,3,0.0,0,2,1,100.0,2,79.2,1,50.0,0,3,4,4.0,3.0,1.5,9.0,1,80.0,,0,0,0.0,0,1,0,83.8,77.2,0,12,0.0,0,14,4,100.0,14,95.0,5,35.7,0,34,23,5.8,8.5,2.43
Mario Williams,144620,WR,TULANE,1,10,0,319,0,-2.0,0,100.0,,0,0,0.0,0,0,0,81.5,59.7,0,3,0.0,0,2,1,100.0,2,79.2,1,50.0,0,3,5,5.0,3.0,1.5,10.5,3,100.0,,0,0,0.0,0,1,0,80.1,78.5,0,42,0.0,0,6,2,100.0,6,158.3,2,33.3,1,51,30,15.0,25.5,8.5
Chase Hendricks,171348,WR,OHIO,1,10,0,259,0,,0,,,0,0,,0,0,0,,53.2,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,10.0,0,50.0,0.0,0,1,0.0,0,0,0,43.3,61.0,0,9,0.0,0,4,1,100.0,4,62.5,2,50.0,0,9,5,5.0,9.0,2.25
Coleman Owen,104969,WR,OHIO,1,9,0,259,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,15.3,0,55.6,50.0,2,4,0.0,0,3,0,80.9,81.2,0,25,0.0,0,27,5,100.0,27,119.2,9,33.3,1,73,17,3.4,14.6,2.7
T.J. Moore,189369,WR,CLEMSON,1,8,0,140,0,,0,,,0,0,,0,0,0,,49.8,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,,0,,,0,0,,0,0,0,4.5,46.6,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0
Arian Smith,124039,WR,GEORGIA,1,8,0,173,0,-3.3,1,100.0,,0,0,0.0,0,1,0,90.0,85.2,0,9,0.0,0,7,3,100.0,7,88.9,3,42.9,0,16,26,8.7,5.3,2.29,-2.0,0,100.0,,0,0,0.0,0,0,0,79.3,66.6,0,0,0.0,0,5,1,80.0,4,79.2,1,25.0,0,0,2,2.0,0.0,0.0
Harrison Wallace III,145090,WR,PENN STATE,1,8,0,266,0,,0,,,0,0,,0,0,0,,53.4,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,6.0,0,0.0,0.0,0,1,,0,0,0,79.3,73.4,0,0,0.0,0,7,0,100.0,7,39.6,1,14.3,0,0,0,,,0.0
Tychaun Chapman,162741,WR,MARSHALL,1,8,0,214,0,-1.7,3,100.0,,0,0,0.0,0,1,0,93.6,99.7,0,13,0.0,0,6,6,100.0,6,95.1,6,100.0,0,41,51,8.5,6.8,6.83,8.6,0,100.0,,0,0,0.0,0,1,0,81.5,87.4,0,37,0.0,0,10,5,90.0,9,152.1,5,55.6,1,55,16,3.2,11.0,6.11
Romello Brinson,143936,WR,SMU,1,8,0,287,0,1.0,0,100.0,,0,0,0.0,0,0,0,81.5,56.1,0,8,0.0,0,3,1,100.0,3,100.0,1,33.3,0,8,7,7.0,8.0,2.67,,0,,,0,0,,0,0,0,81.5,64.8,0,0,0.0,0,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0
Jake Briningstool,124831,TE,CLEMSON,1,7,0,140,0,-2.0,0,100.0,,0,0,0.0,0,1,0,81.5,85.2,0,5,0.0,0,5,1,100.0,5,127.1,1,20.0,1,5,7,7.0,5.0,1.0,4.5,0,50.0,0.0,0,1,0.0,0,2,0,77.5,64.2,0,8,0.0,0,22,2,95.5,21,96.9,4,19.0,1,13,12,6.0,6.5,0.62
