player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zay Flowers,97268,WR,BOSTON COL,1,12.2,3,58.8,50.0,1,2,0,9.1,1,5,121,0,63.3,70.4,70.1,,70.9,0.0,0,0,61,0.0,0,44,1,10,93.2,41,43.2,19,103.8,17,1,56.8,25,135,53,5.3,13.5,3.29
Ali Jennings,145344,WR,DOMINION,1,14.1,1,60.0,40.0,2,5,0,0.0,0,8,263,0,80.1,67.5,77.7,,76.4,0.0,0,0,37,0.0,0,40,0,9,95.0,38,30.0,12,110.4,15,1,70.0,28,130,39,4.3,14.4,3.42
Mac Hippenhammer,61591,WR,MIAMI OH,1,15.5,0,40.0,50.0,1,2,0,0.0,0,2,221,0,77.5,66.2,57.6,,59.0,0.0,0,0,16,0.0,0,52,1,6,98.1,51,9.6,5,48.5,15,0,90.4,47,47,6,1.0,7.8,0.92
Joshua Cephus,98095,WR,UTSA,1,7.3,3,73.3,66.7,2,3,0,0.0,0,4,331,0,81.5,73.4,69.3,,70.1,0.0,0,1,20,0.0,0,50,0,11,96.0,48,96.0,48,82.1,15,1,2.0,1,88,36,3.3,8.0,1.83
Tre Harris,122676,WR,LA TECH,1,11.1,0,53.3,28.6,2,7,0,11.1,1,5,208,0,62.9,68.7,75.8,61.0,75.2,0.0,0,1,32,1.9,1,52,0,8,86.5,45,15.4,8,83.9,15,3,84.6,44,92,49,6.1,11.5,2.04
Xavier Worthy,144718,WR,TEXAS,1,21.7,0,21.4,100.0,1,1,0,0.0,0,3,311,0,73.1,71.6,64.1,,64.0,0.0,0,1,30,0.0,0,50,0,3,98.0,49,22.0,11,17.0,14,0,76.0,38,66,38,12.7,22.0,1.35
Shocky Jacques-Louis,77960,WR,AKRON,1,9.1,0,71.4,50.0,1,2,0,9.1,1,4,102,0,62.9,67.9,61.4,61.2,62.5,0.0,0,0,24,2.1,1,48,1,10,95.8,46,14.6,7,87.2,14,0,85.4,41,86,24,2.4,8.6,1.87
J. Michael Sturdivant,146288,WR,CAL,1,13.2,1,61.5,50.0,1,2,0,20.0,2,5,130,0,41.2,67.1,67.7,,67.4,0.0,0,0,48,0.0,0,37,0,8,97.3,36,21.6,8,126.3,13,2,78.4,29,104,41,5.1,13.0,2.89
Hassan Beydoun,78185,WR,E MICHIGAN,1,5.9,0,76.9,,0,0,0,9.1,1,2,160,0,64.6,68.2,61.7,,63.1,0.0,0,0,19,0.0,0,37,1,10,89.2,33,100.0,37,93.4,13,0,0.0,0,85,32,3.2,8.5,2.58
Dalevon Campbell,101711,WR,NEVADA,1,9.7,0,38.5,0.0,0,2,0,0.0,0,1,239,0,76.3,65.7,55.5,,59.0,0.0,0,1,23,0.0,0,45,2,5,97.8,44,0.0,0,14.6,13,0,100.0,45,31,14,2.8,6.2,0.7
Charlie Jones,55038,WR,PURDUE,1,11.4,1,76.9,57.1,4,7,1,0.0,0,4,273,0,80.9,72.3,69.7,,70.7,0.0,0,0,27,0.0,0,41,1,10,92.7,38,4.9,2,99.8,13,0,95.1,39,105,21,2.1,10.5,2.76
John Humphreys,131762,WR,STANFORD,1,9.8,2,61.5,0.0,0,2,0,0.0,0,6,300,0,79.3,67.1,68.8,,66.3,0.0,0,0,16,0.0,0,59,0,8,98.3,58,13.6,8,82.2,13,0,86.4,51,90,27,3.4,11.3,1.55
Brycen Tremayne,84425,WR,STANFORD,1,14.8,1,38.5,20.0,1,5,0,16.7,1,4,300,0,49.8,65.7,58.3,,59.6,0.0,0,0,20,0.0,0,54,0,5,96.3,52,11.1,6,53.4,13,0,88.9,48,60,12,2.4,12.0,1.15
RaRa Thomas,146850,WR,MISS STATE,1,7.2,0,61.5,25.0,1,4,0,0.0,0,2,227,0,80.1,67.5,64.7,,64.2,0.0,0,0,20,0.0,0,38,0,8,92.1,35,2.6,1,76.8,13,0,97.4,37,73,32,4.0,9.1,2.09
Will Sheppard,124360,WR,VANDERBILT,1,15.1,0,23.1,0.0,0,6,0,0.0,0,2,333,0,74.9,71.7,54.0,,55.2,0.0,0,1,10,0.0,0,48,1,3,95.8,46,29.2,14,7.5,13,0,70.8,34,28,8,2.7,9.3,0.61
JP Richardson,144650,WR,OKLA STATE,1,8.0,1,58.3,66.7,2,3,0,12.5,1,4,262,0,56.8,66.7,64.4,,64.0,0.0,0,0,14,0.0,0,47,0,7,91.5,43,100.0,47,72.6,12,0,0.0,0,63,30,4.3,9.0,1.47
Rashee Rice,97605,WR,SMU,1,14.2,0,33.3,33.3,2,6,1,42.9,3,3,287,0,16.9,65.0,50.2,,53.2,0.0,0,1,17,0.0,0,44,1,4,93.2,41,18.2,8,9.4,12,0,81.8,36,41,8,2.0,10.3,1.0
Jose Barbon,78032,WR,TEMPLE,1,10.5,0,50.0,50.0,2,4,0,14.3,1,3,306,0,53.4,66.2,54.6,,58.5,0.0,0,0,16,0.0,0,53,0,6,92.5,49,13.2,7,63.2,12,0,86.8,46,56,19,3.2,9.3,1.14
Amad Anderson Jr.,84380,WR,TEMPLE,1,9.4,1,66.7,100.0,1,1,0,11.1,1,6,306,0,59.3,72.1,70.2,,68.7,0.0,0,0,36,0.0,0,43,0,8,93.0,40,100.0,43,124.3,12,1,0.0,0,112,58,7.3,14.0,2.8
Benjamin Yurosek,131786,TE,STANFORD,1,5.1,0,83.3,100.0,3,3,0,0.0,0,5,300,0,80.9,67.9,68.1,55.9,71.2,42.6,23,0,17,11.1,6,54,0,10,88.9,48,55.6,30,93.8,12,0,1.9,1,78,36,3.6,7.8,1.63
C.J. Johnson,104187,WR,E CAROLINA,1,8.4,1,91.7,100.0,1,1,0,0.0,0,5,156,0,81.5,68.2,83.8,,82.8,0.0,0,0,39,0.0,0,36,0,11,97.2,35,100.0,36,143.1,12,1,0.0,0,140,55,5.0,12.7,4.0
Tyrese Chambers,109628,WR,FIU,1,11.2,1,75.0,100.0,3,3,0,18.2,2,6,166,0,44.7,69.0,75.5,,75.8,0.0,0,0,36,0.0,0,36,0,9,100.0,36,2.8,1,111.1,12,0,94.4,34,134,26,2.9,14.9,3.72
Devin Voisin,97427,WR,S ALABAMA,1,11.8,1,75.0,100.0,1,1,0,0.0,0,6,288,0,80.1,67.5,66.0,,69.3,0.0,0,1,21,0.0,0,49,1,9,93.9,46,26.5,13,63.5,12,0,73.5,36,97,36,4.0,10.8,2.11
