player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
T.J. Moore,189369,WR,CLEMSON,1,10.2,0,81.8,66.7,2,3,0,0.0,0,5,140,0,80.1,67.5,73.8,,72.7,0.0,0,0,30,0.0,0,43,0,9,97.7,42,18.6,8,140.9,11,1,81.4,35,116,19,2.1,12.9,2.76
Bryant Wesco Jr.,183206,WR,CLEMSON,1,11.1,0,30.0,25.0,1,4,0,0.0,0,2,140,0,73.1,64.1,59.3,,59.0,0.0,0,1,12,0.0,0,40,0,3,100.0,40,10.0,4,0.0,10,0,90.0,36,30,2,0.7,10.0,0.75
Jordan Faison,171081,WR,NOTRE DAME,1,9.8,3,77.8,100.0,2,2,0,12.5,1,5,258,0,56.4,66.7,76.0,,74.9,0.0,0,0,44,0.0,0,26,0,7,100.0,26,3.8,1,107.9,9,0,96.2,25,89,37,5.3,12.7,3.42
Ke'Shawn Williams,123406,WR,INDIANA,1,9.4,1,62.5,100.0,1,1,0,0.0,0,2,190,0,76.3,66.6,66.9,,66.7,0.0,0,1,16,0.0,0,28,0,5,89.3,25,92.9,26,38.0,8,0,7.1,2,45,9,1.8,9.0,1.8
Chris Brazzell II,158409,WR,TENNESSEE,1,14.4,0,12.5,0.0,0,1,0,66.7,2,0,307,0,11.2,61.0,44.1,,44.3,0.0,0,0,8,0.0,0,22,0,1,95.5,21,4.5,1,39.6,8,0,95.5,21,8,2,2.0,8.0,0.38
Harrison Wallace III,145090,WR,PENN STATE,1,8.9,1,57.1,50.0,1,2,0,20.0,1,2,266,0,45.9,65.0,62.1,,60.2,0.0,0,1,25,0.0,0,24,0,4,100.0,24,16.7,4,38.7,7,0,83.3,20,48,15,3.8,12.0,2.0
Elijah Sarratt,159499,WR,INDIANA,1,13.7,0,57.1,100.0,1,1,0,0.0,0,3,190,0,76.3,65.7,69.7,,68.1,0.0,0,0,28,0.0,0,40,0,4,92.5,37,7.5,3,89.6,7,0,92.5,37,67,17,4.3,16.8,1.81
Gunnar Helm,144726,TE,TEXAS,1,8.9,0,85.7,0.0,0,1,0,0.0,0,4,311,0,77.5,66.2,85.4,69.4,87.1,75.0,24,0,19,6.3,2,32,0,6,84.4,27,15.6,5,152.1,7,1,9.4,3,77,34,5.7,12.8,2.85
Jeremiah Smith,183710,WR,OHIO STATE,1,13.3,1,85.7,50.0,1,2,0,0.0,0,5,260,0,77.5,66.2,78.0,,75.8,0.0,0,1,37,0.0,0,34,1,6,91.2,31,41.2,14,118.8,7,2,58.8,20,103,38,6.3,17.2,3.32
Emeka Egbuka,145055,WR,OHIO STATE,1,9.3,0,71.4,100.0,1,1,0,0.0,0,4,260,0,76.3,66.6,77.5,,76.3,0.0,0,0,40,0.0,0,21,0,5,95.2,20,85.7,18,109.8,7,0,14.3,3,81,32,6.4,16.2,4.05
Roderick Daniels Jr.,144356,WR,SMU,1,13.7,3,57.1,100.0,1,1,0,20.0,1,3,287,0,26.0,68.4,55.0,,58.3,0.0,0,0,28,0.0,0,41,0,4,87.8,36,68.3,28,127.4,7,1,26.8,11,64,47,11.8,16.0,1.78
Tyler Warren,129798,TE,PENN STATE,1,5.8,1,66.7,0.0,0,1,0,0.0,0,1,266,0,74.9,66.7,70.5,,64.6,25.0,7,0,15,0.0,0,28,0,4,96.4,27,50.0,14,80.6,6,0,17.9,5,33,19,4.8,8.3,1.22
Antonio Williams,156241,WR,CLEMSON,1,9.7,1,66.7,,0,0,0,0.0,0,3,140,0,74.9,67.3,60.3,,58.3,0.0,0,0,22,0.0,0,47,0,4,97.9,46,87.2,41,143.1,6,1,12.8,6,66,35,8.8,16.5,1.43
Myles Price,123155,WR,INDIANA,1,7.0,3,83.3,0.0,0,1,0,0.0,0,4,190,0,76.3,68.7,76.6,,76.3,4.0,1,0,17,0.0,0,25,0,5,92.0,23,96.0,24,145.1,6,1,0.0,0,56,33,6.6,11.2,2.43
Bru McCoy,71345,WR,TENNESSEE,1,12.5,0,66.7,33.3,1,3,0,0.0,0,2,307,0,74.9,65.0,64.0,,61.5,0.0,0,0,21,0.0,0,33,0,4,97.0,32,15.2,5,85.4,6,0,84.8,28,40,3,0.8,10.0,1.25
Jake Briningstool,124831,TE,CLEMSON,1,8.3,0,66.7,100.0,1,1,0,0.0,0,3,140,0,74.9,65.0,63.2,65.6,64.4,25.0,11,0,28,2.3,1,44,0,4,95.5,42,65.9,29,105.6,6,0,9.1,4,69,25,6.3,17.3,1.64
Jordan Hudson,157298,WR,SMU,1,10.2,0,66.7,100.0,2,2,0,20.0,1,2,287,0,45.4,65.0,60.9,65.1,60.3,0.0,0,1,22,8.0,2,25,0,4,88.0,22,20.0,5,45.8,6,0,80.0,20,40,9,2.3,10.0,1.82
Brashard Smith,143951,HB,SMU,1,1.3,2,66.7,,0,0,0,0.0,0,2,287,0,74.9,76.2,63.0,53.1,66.7,0.0,0,1,13,14.3,4,28,0,4,82.1,23,25.0,7,34.7,6,0,3.6,1,24,33,8.3,6.0,1.04
Nicholas Singleton,164188,HB,PENN STATE,1,-0.6,1,40.0,,0,0,0,50.0,2,0,266,0,17.0,75.0,59.9,77.3,38.0,0.0,0,0,7,10.0,2,20,0,2,90.0,18,25.0,5,47.9,5,0,10.0,2,7,10,5.0,3.5,0.39
Aneyas Williams,184108,HB,NOTRE DAME,1,0.3,4,100.0,,0,0,0,0.0,0,1,258,0,74.9,69.7,66.8,20.9,67.1,0.0,0,0,9,16.7,3,18,0,4,77.8,14,16.7,3,82.3,4,0,0.0,0,15,14,3.5,3.8,1.07
Ryan Wingo,184520,WR,TEXAS,1,15.0,0,50.0,0.0,0,1,0,0.0,0,1,311,0,70.7,65.3,60.8,,56.2,0.0,0,0,13,0.0,0,30,0,2,90.0,27,43.3,13,67.7,4,0,56.7,17,23,18,9.0,11.5,0.85
Gee Scott Jr.,129756,TE,OHIO STATE,1,6.3,0,100.0,,0,0,0,0.0,0,1,260,0,74.9,65.0,59.7,65.6,59.7,29.2,7,0,26,4.2,1,24,0,4,91.7,22,33.3,8,107.3,4,0,37.5,9,39,14,3.5,9.8,1.77
TreVeyon Henderson,145059,HB,OHIO STATE,1,4.5,1,100.0,,0,0,0,0.0,0,3,260,0,74.9,73.5,86.1,67.6,88.1,0.0,0,0,21,6.7,1,15,0,4,93.3,14,13.3,2,118.8,4,0,13.3,2,54,36,9.0,13.5,3.86
Matthew Golden,156165,WR,TEXAS,1,12.3,0,50.0,100.0,1,1,0,33.3,1,1,311,0,31.6,64.6,55.1,,55.2,0.0,0,0,43,0.0,0,30,0,2,90.0,27,26.7,8,94.8,4,0,73.3,22,49,9,4.5,24.5,1.81
Quintrevion Wisner,176190,HB,TEXAS,1,-5.0,0,66.7,0.0,0,1,0,0.0,0,1,311,0,70.7,75.2,76.2,73.9,57.8,0.0,0,0,6,18.8,3,16,0,2,75.0,12,12.5,2,70.1,3,0,6.3,1,0,13,6.5,0.0,0.0
Matthew Hibner,129581,TE,SMU,1,11.7,0,66.7,0.0,0,1,0,0.0,0,2,287,0,70.7,62.9,58.4,81.0,64.1,28.9,11,0,20,23.7,9,38,0,2,68.4,26,47.4,18,109.7,3,0,0.0,0,38,21,10.5,19.0,1.46
Key'Shawn Smith,143950,WR,SMU,1,14.0,0,66.7,,0,0,0,0.0,0,2,287,0,70.7,62.9,60.3,,62.5,0.0,0,0,10,0.0,0,27,1,2,88.9,24,7.4,2,78.5,3,0,92.6,25,15,8,4.0,7.5,0.63
Beaux Collins,144112,WR,NOTRE DAME,1,7.7,1,66.7,,0,0,0,33.3,1,1,258,0,31.6,64.6,54.3,,52.7,0.0,0,0,10,0.0,0,36,0,2,97.2,35,22.2,8,82.6,3,0,77.8,28,18,6,3.0,9.0,0.51
Miles Cross,145887,WR,INDIANA,1,10.0,0,33.3,,0,0,0,0.0,0,0,190,0,66.7,61.0,53.3,,52.9,5.9,1,0,1,0.0,0,17,0,1,88.2,15,29.4,5,42.4,3,0,64.7,11,1,1,1.0,1.0,0.07
