player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,7.7,2,77.3,50.0,2,4,0,5.6,1,10,122,1,71.9,25.5,82.4,,86.8,25.0,12,0,35,0.0,0,48,1,17,95.8,46,33.3,16,122.0,22,1,33.3,16,213,123,7.2,12.5,4.63
Coleman Owen,104969,WR,OHIO,1,10.8,1,64.7,66.7,2,3,0,0.0,0,6,259,0,81.5,71.5,78.8,,78.5,0.0,0,1,34,0.0,0,39,0,11,94.9,37,97.4,38,66.1,17,0,2.6,1,141,63,5.7,12.8,3.81
Junior Vandeross III,163156,WR,TOLEDO,1,9.1,2,75.0,100.0,4,4,0,0.0,0,7,316,0,82.7,68.7,79.3,,82.7,1.8,1,0,67,0.0,0,56,1,12,89.3,50,82.1,46,135.9,16,1,16.1,9,194,102,8.5,16.2,3.88
Kyle Williams,128374,WR,WASH STATE,1,9.6,5,66.7,33.3,1,3,0,0.0,0,6,341,0,80.9,67.9,77.8,,79.1,0.0,0,1,66,0.0,0,40,0,10,92.5,37,32.5,13,99.9,15,1,67.5,27,172,89,8.9,17.2,4.65
Hudson Clement,173172,WR,W VIRGINIA,1,15.4,0,78.6,50.0,1,2,0,8.3,1,8,343,0,64.6,68.2,78.2,,77.4,0.0,0,0,37,0.0,0,41,0,11,97.6,40,12.2,5,155.7,14,2,87.8,36,166,25,2.3,15.1,4.15
Matthew Coleman,157831,WR,S JOSE ST,1,4.9,5,85.7,100.0,1,1,0,0.0,0,8,285,0,82.7,69.9,79.0,,78.2,0.0,0,0,23,0.0,0,59,0,12,88.1,52,89.8,53,125.3,14,1,10.2,6,117,64,5.3,9.8,2.25
Cam Vaughn,170441,WR,JVILLE ST,1,9.4,3,64.3,100.0,2,2,0,10.0,1,4,196,0,61.0,67.5,77.6,,76.6,0.0,0,0,75,0.0,0,36,0,9,91.7,33,13.9,5,131.5,14,1,86.1,31,183,103,11.4,20.3,5.55
Sean Atkins,101127,WR,USF,1,5.9,0,78.6,,0,0,0,0.0,0,3,327,0,81.5,71.5,71.4,,69.2,5.6,2,0,42,0.0,0,36,0,11,91.7,33,91.7,33,97.6,14,0,2.8,1,104,66,6.0,9.5,3.15
Jerjuan Newton,97308,WR,TOLEDO,1,11.5,0,61.5,50.0,1,2,0,11.1,1,5,316,0,61.0,67.5,70.3,,70.2,1.7,1,0,29,0.0,0,58,0,8,89.7,52,27.6,16,80.3,13,0,70.7,41,84,40,5.0,10.5,1.62
Kisean Johnson,141735,WR,W KENTUCKY,1,6.5,2,69.2,100.0,1,1,0,10.0,1,3,346,0,63.3,67.9,67.9,,67.4,0.0,0,0,36,0.0,0,41,0,9,95.1,39,7.3,3,82.2,13,0,92.7,38,70,29,3.2,7.8,1.79
Aaron Anderson,157010,WR,LSU,1,7.4,2,66.7,0.0,0,1,0,20.0,2,3,211,1,41.2,17.6,62.5,,62.0,0.0,0,0,32,0.0,0,31,0,8,100.0,31,64.5,20,88.9,12,0,35.5,11,90,72,9.0,11.3,2.9
