player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Carnell Tate,170273,WR,OHIO STATE,1,8.4,0,77.8,,0,0,0,12.5,1,5,260,0,56.4,66.7,66.8,,68.2,0.0,0,0,18,0.0,0,33,0,7,100.0,33,6.1,2,106.9,9,0,93.9,31,87,35,5.0,12.4,2.64
Mitchell Evans,147486,TE,NOTRE DAME,1,7.8,0,62.5,50.0,2,4,0,16.7,1,3,258,0,50.3,65.7,66.2,65.4,68.6,19.4,7,1,32,2.8,1,36,0,5,94.4,34,63.9,23,44.8,8,0,16.7,6,58,23,4.6,11.6,1.71
Emeka Egbuka,145055,WR,OHIO STATE,1,10.6,1,71.4,33.3,1,3,0,28.6,2,4,260,0,29.3,68.3,63.6,,64.2,0.0,0,0,14,0.0,0,35,0,5,94.3,33,85.7,30,92.0,7,0,14.3,5,51,21,4.2,10.2,1.55
Quintrevion Wisner,176190,HB,TEXAS,1,-1.6,3,85.7,,0,0,0,14.3,1,2,311,0,53.8,75.9,68.0,27.5,63.5,0.0,0,0,14,21.9,7,32,0,6,71.9,23,0.0,0,91.7,7,0,3.1,1,42,53,8.8,7.0,1.83
Jaden Greathouse,171085,WR,NOTRE DAME,1,7.6,0,100.0,100.0,2,2,0,0.0,0,4,258,0,78.5,66.7,73.7,,73.9,0.0,0,0,54,0.0,0,35,0,7,94.3,33,85.7,30,158.3,7,1,14.3,5,105,52,7.4,15.0,3.18
Tyler Warren,129798,TE,PENN STATE,1,7.3,1,85.7,,0,0,0,0.0,0,4,266,0,77.5,67.6,75.4,,72.9,25.0,7,0,27,0.0,0,28,0,6,89.3,25,53.6,15,109.5,7,0,17.9,5,72,38,6.3,12.0,2.88
Ryan Wingo,184520,WR,TEXAS,1,18.5,0,16.7,,0,0,0,0.0,0,1,311,0,24.5,64.3,54.1,,51.1,0.0,0,1,22,0.0,0,43,0,1,93.0,40,46.5,20,2.8,6,0,53.5,23,22,26,26.0,22.0,0.55
Jaydon Blue,157303,HB,TEXAS,1,7.7,1,83.3,100.0,1,1,0,16.7,1,2,311,0,50.3,69.9,60.0,,59.4,0.0,0,0,26,0.0,0,17,0,5,100.0,17,29.4,5,147.9,6,2,29.4,5,60,31,6.2,12.0,3.53
Nicholas Singleton,164188,HB,PENN STATE,1,5.3,0,33.3,,0,0,0,33.3,1,1,266,0,31.6,75.5,63.7,81.9,46.6,0.0,0,0,23,23.8,5,21,1,2,76.2,16,14.3,3,52.8,6,0,0.0,0,33,39,19.5,16.5,2.06
DeAndre Moore Jr.,173164,WR,TEXAS,1,10.0,0,66.7,0.0,0,1,0,0.0,0,1,311,0,74.9,65.0,58.7,,58.5,0.0,0,0,15,0.0,0,32,0,4,96.9,31,65.6,21,79.2,6,0,34.4,11,31,17,4.3,7.8,1.0
