player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Jeremiah Smith,183710,WR,OHIO STATE,1,7.0,0,71.4,0.0,0,1,0,0.0,0,4,260,0,76.3,67.0,74.4,,73.0,0.0,0,0,56,0.0,0,27,0,5,92.6,25,14.8,4,153.3,7,1,85.2,23,88,45,9.0,17.6,3.52
Jaden Greathouse,171085,WR,NOTRE DAME,1,12.3,2,85.7,66.7,2,3,0,0.0,0,5,258,0,77.5,66.2,82.2,,79.7,0.0,0,0,34,0.0,0,35,0,6,91.4,32,88.6,31,158.3,7,2,11.4,4,128,45,7.5,21.3,4.0
Emeka Egbuka,145055,WR,OHIO STATE,1,3.5,2,100.0,,0,0,0,0.0,0,1,260,1,78.5,20.5,63.3,,63.6,0.0,0,0,24,0.0,0,26,0,6,92.3,24,96.2,25,111.1,6,0,3.8,1,64,43,7.2,10.7,2.67
Mitchell Evans,147486,TE,NOTRE DAME,1,7.2,2,80.0,,0,0,0,0.0,0,1,258,0,74.9,65.0,64.8,,61.0,15.2,5,0,33,0.0,0,33,0,4,81.8,27,72.7,24,110.0,5,0,12.1,4,52,28,7.0,13.0,1.93
Beaux Collins,144112,WR,NOTRE DAME,1,3.6,0,80.0,,0,0,0,0.0,0,2,258,0,77.5,66.2,67.0,,68.5,0.0,0,0,12,0.0,0,33,1,4,87.9,29,3.0,1,93.3,5,0,97.0,32,32,18,4.5,8.0,1.1
Kris Mitchell,97659,WR,NOTRE DAME,1,5.8,0,50.0,,0,0,0,0.0,0,2,258,0,70.7,62.9,66.9,,63.7,0.0,0,0,10,0.0,0,21,0,2,95.2,20,9.5,2,60.4,4,0,90.5,19,16,12,6.0,8.0,0.8
Carnell Tate,170273,WR,OHIO STATE,1,22.3,0,66.7,,0,0,0,0.0,0,2,260,0,70.7,62.9,62.4,,62.8,0.0,0,0,20,0.0,0,23,0,2,95.7,22,8.7,2,106.3,3,0,91.3,21,35,0,0.0,17.5,1.59
Jordan Faison,171081,WR,NOTRE DAME,1,4.0,0,50.0,,0,0,0,50.0,1,0,258,0,24.9,64.8,52.2,,48.3,0.0,0,0,6,0.0,0,21,0,1,76.2,16,38.1,8,56.3,2,0,57.1,12,6,3,3.0,6.0,0.38
Quinshon Judkins,157128,HB,OHIO STATE,1,4.0,1,100.0,,0,0,0,0.0,0,2,260,0,70.7,73.6,76.9,72.5,83.4,0.0,0,0,15,16.7,1,6,0,2,83.3,5,16.7,1,150.0,2,1,16.7,1,21,18,9.0,10.5,4.2
Jeremiyah Love,171090,HB,NOTRE DAME,1,-3.5,1,100.0,,0,0,0,0.0,0,0,258,0,73.1,69.5,59.9,80.1,74.8,0.0,0,0,7,32.0,8,25,0,2,64.0,16,0.0,0,79.2,2,0,0.0,0,5,12,6.0,2.5,0.31
Eli Raridon,156970,TE,NOTRE DAME,1,5.5,0,100.0,,0,0,0,0.0,0,1,258,0,70.7,62.9,71.0,72.1,65.3,9.1,1,0,14,18.2,2,11,0,2,72.7,8,81.8,9,108.3,2,0,9.1,1,20,9,4.5,10.0,2.5
Jayden Harrison,98556,WR,NOTRE DAME,1,-4.0,1,100.0,,0,0,0,0.0,0,0,258,0,66.7,61.0,60.8,63.8,59.9,0.0,0,0,-4,33.3,1,3,0,1,33.3,1,33.3,1,79.2,1,0,33.3,1,-4,0,0.0,-4.0,-4.0
TreVeyon Henderson,145059,HB,OHIO STATE,1,14.0,0,0.0,0.0,0,1,0,,0,0,260,0,,74.1,73.3,80.7,53.0,0.0,0,0,0,33.3,7,21,0,0,61.9,13,9.5,2,39.6,1,0,0.0,0,0,0,,,0.0
Brandon Inniss,170255,WR,OHIO STATE,1,7.0,0,100.0,,0,0,0,0.0,0,1,260,0,66.7,65.3,72.9,,70.3,0.0,0,0,19,0.0,0,3,0,1,100.0,3,100.0,3,118.8,1,0,0.0,0,19,12,12.0,19.0,6.33
Gee Scott Jr.,129756,TE,OHIO STATE,1,-1.0,1,100.0,,0,0,0,0.0,0,0,260,0,66.7,61.0,58.4,72.5,50.8,55.0,11,0,4,5.0,1,20,0,1,90.0,18,15.0,3,83.3,1,0,25.0,5,4,5,5.0,4.0,0.22
Jayden Thomas,147485,WR,NOTRE DAME,1,18.0,0,0.0,0.0,0,1,0,,0,0,258,0,,,55.1,,55.5,0.0,0,0,0,0.0,0,8,0,0,75.0,6,12.5,1,39.6,1,0,87.5,7,0,0,,,0.0
