player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
T.J. Moore,189369,WR,CLEMSON,1,11,0,140,12.0,0,50.0,0.0,0,1,0.0,0,1,0,66.7,70.9,0,29,0.0,0,8,1,87.5,7,95.8,2,28.6,0,29,5,5.0,29.0,4.14,0,9.8,0,87.5,100.0,2,2,0.0,0,3,0,78.5,67.3,0,30,0.0,0,34,7,100.0,34,108.3,8,23.5,0,80,14,2.0,11.4,2.35
Bryant Wesco Jr.,183206,WR,CLEMSON,1,10,0,140,2.0,0,0.0,,0,0,,0,0,0,,54.3,0,0,0.0,0,8,0,100.0,8,39.6,1,12.5,0,0,0,,,0.0,0,12.1,0,33.3,25.0,1,4,0.0,0,2,0,73.1,61.3,1,12,0.0,0,31,3,100.0,31,4.2,9,29.0,0,30,2,0.7,10.0,0.97
Jordan Faison,171081,WR,NOTRE DAME,1,9,0,258,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,9.8,3,77.8,100.0,2,2,12.5,1,5,0,56.4,78.0,0,44,0.0,0,20,7,100.0,20,107.9,9,45.0,0,89,37,5.3,12.7,4.45
Ke'Shawn Williams,123406,WR,INDIANA,1,8,0,190,8.4,1,57.1,100.0,1,1,0.0,0,1,0,74.9,67.1,1,10,0.0,0,17,4,94.1,16,27.4,7,43.8,0,29,9,2.3,7.3,1.81,0,16.0,0,100.0,,0,0,0.0,0,1,0,66.7,64.9,0,16,0.0,0,8,1,100.0,8,118.8,1,12.5,0,16,0,0.0,16.0,2.0
Chris Brazzell II,158409,WR,TENNESSEE,1,8,0,307,12.5,0,0.0,0.0,0,1,,0,0,0,,58.0,0,0,0.0,0,4,0,75.0,3,39.6,2,66.7,0,0,0,,,0.0,0,16.8,0,20.0,,0,0,66.7,2,0,0,11.2,43.3,0,8,0.0,0,16,1,100.0,16,39.6,5,31.3,0,8,2,2.0,8.0,0.5
Harrison Wallace III,145090,WR,PENN STATE,1,7,0,266,7.0,0,50.0,50.0,1,2,0.0,0,0,0,66.7,57.4,0,7,0.0,0,6,1,100.0,6,58.3,2,33.3,0,7,1,1.0,7.0,1.17,0,9.6,1,60.0,,0,0,25.0,1,2,0,40.2,61.6,1,25,0.0,0,18,3,100.0,18,46.7,5,27.8,0,41,14,4.7,13.7,2.28
Elijah Sarratt,159499,WR,INDIANA,1,7,0,190,17.5,0,50.0,100.0,1,1,0.0,0,2,0,70.7,65.2,0,28,0.0,0,26,2,96.2,25,90.6,4,16.0,0,45,11,5.5,22.5,1.8,0,8.7,0,66.7,,0,0,0.0,0,1,0,70.7,64.5,0,15,0.0,0,9,2,100.0,9,88.2,3,33.3,0,22,6,3.0,11.0,2.44
Gunnar Helm,144726,TE,TEXAS,1,7,0,311,6.0,0,100.0,,0,0,0.0,0,0,0,66.7,72.4,0,9,0.0,0,4,1,100.0,4,104.2,1,25.0,0,9,3,3.0,9.0,2.25,0,9.3,0,83.3,0.0,0,1,0.0,0,4,0,76.3,85.8,0,19,3.8,1,26,5,84.6,22,153.5,6,27.3,1,68,31,6.2,13.6,3.09
Jeremiah Smith,183710,WR,OHIO STATE,1,7,0,260,4.0,0,100.0,,0,0,0.0,0,1,0,66.7,66.7,0,10,0.0,0,6,1,100.0,6,108.3,1,16.7,0,10,6,6.0,10.0,1.67,0,15.3,1,100.0,100.0,1,1,0.0,0,4,0,74.9,79.4,0,37,0.0,0,22,4,86.4,19,158.3,4,21.1,2,87,29,7.3,21.8,4.58
Emeka Egbuka,145055,WR,OHIO STATE,1,7,0,260,0.3,0,66.7,,0,0,0.0,0,2,0,70.7,75.4,0,10,0.0,0,6,2,100.0,6,81.3,3,50.0,0,17,19,9.5,8.5,2.83,0,9.3,0,66.7,,0,0,0.0,0,1,0,70.7,61.5,0,16,0.0,0,12,2,91.7,11,91.0,3,27.3,0,24,9,4.5,12.0,2.18
