player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Harold Fannin Jr.,163104,TE,BOWL GREEN,1,22,0,122,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,7.8,2,76.5,0.0,0,2,7.1,1,8,1,67.5,86.3,0,35,0.0,0,37,13,94.6,35,112.4,17,48.6,0,190,114,8.8,14.6,5.43
Coleman Owen,104969,WR,OHIO,1,17,0,259,9.5,1,61.5,66.7,2,3,0.0,0,4,0,79.3,79.4,1,34,0.0,0,23,8,100.0,23,53.7,13,56.5,0,101,55,6.9,12.6,4.39,0,18.0,0,66.7,,0,0,0.0,0,2,0,70.7,68.7,0,20,0.0,0,14,2,85.7,12,106.3,3,25.0,0,35,8,4.0,17.5,2.92
Junior Vandeross III,163156,WR,TOLEDO,1,16,0,316,9.0,1,100.0,100.0,1,1,0.0,0,1,0,73.1,85.5,0,27,0.0,0,4,2,50.0,2,112.5,2,100.0,0,22,4,2.0,11.0,11.0,0,9.2,1,69.2,100.0,2,2,0.0,0,5,0,80.1,76.9,0,67,0.0,0,45,9,97.8,44,137.3,13,29.5,1,162,96,10.7,18.0,3.68
Kyle Williams,128374,WR,WASH STATE,1,15,0,341,12.4,5,60.0,0.0,0,1,0.0,0,3,0,73.1,91.7,0,66,0.0,0,11,3,100.0,11,143.8,5,45.5,1,113,71,23.7,37.7,10.27,0,8.2,0,70.0,50.0,1,2,0.0,0,3,0,78.5,63.5,1,29,0.0,0,29,7,89.7,26,45.4,10,38.5,0,59,18,2.6,8.4,2.27
Hudson Clement,173172,WR,W VIRGINIA,1,14,0,343,17.2,0,66.7,50.0,1,2,0.0,0,2,0,74.9,80.4,0,37,0.0,0,11,4,90.9,10,149.3,6,60.0,1,81,8,2.0,20.3,8.1,0,15.8,0,83.3,,0,0,16.7,1,5,0,49.8,70.3,0,23,0.0,0,23,5,100.0,23,147.2,6,26.1,1,59,9,1.8,11.8,2.57
Matthew Coleman,157831,WR,S JOSE ST,1,14,0,285,8.5,1,66.7,100.0,1,1,0.0,0,3,0,74.9,73.5,0,23,0.0,0,26,4,88.5,23,129.9,6,26.1,1,47,12,3.0,11.8,2.04,0,1.7,3,100.0,,0,0,0.0,0,4,0,78.5,73.2,0,20,0.0,0,23,7,91.3,21,102.4,7,33.3,0,60,48,6.9,8.6,2.86
Cam Vaughn,170441,WR,JVILLE ST,1,14,0,196,4.0,0,100.0,100.0,1,1,0.0,0,0,0,66.7,59.5,0,4,0.0,0,3,1,66.7,2,83.3,1,50.0,0,4,0,0.0,4.0,2.0,0,9.8,3,61.5,100.0,1,1,11.1,1,4,0,58.9,79.8,0,75,0.0,0,29,8,96.6,28,131.1,13,46.4,1,179,103,12.9,22.4,6.39
Sean Atkins,101127,WR,USF,1,14,0,327,,0,,,0,0,,0,0,0,,58.0,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,3.1,0,75.0,,0,0,0.0,0,0,0,77.5,57.7,0,8,0.0,0,20,6,100.0,20,78.1,8,40.0,0,26,29,4.8,4.3,1.3
Jerjuan Newton,97308,WR,TOLEDO,1,13,0,316,,0,,,0,0,,0,0,0,,55.6,0,0,0.0,0,6,0,66.7,4,0.0,0,0.0,0,0,0,,,0.0,0,11.5,0,61.5,50.0,1,2,11.1,1,5,0,58.9,70.8,0,29,0.0,0,44,8,97.7,43,80.3,13,30.2,0,84,40,5.0,10.5,1.95
Kisean Johnson,141735,WR,W KENTUCKY,1,13,0,346,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,2.9,2,72.7,100.0,1,1,11.1,1,2,0,59.3,63.1,0,36,0.0,0,31,8,96.8,30,82.8,11,36.7,0,53,29,3.6,6.6,1.77
