player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Carnell Tate,170273,WR,OHIO STATE,1,9,0,260,11.0,0,50.0,,0,0,50.0,1,1,0,24.5,59.9,0,18,0.0,0,2,1,100.0,2,81.3,2,100.0,0,18,5,5.0,18.0,9.0,0,7.7,0,85.7,,0,0,0.0,0,4,0,77.5,70.3,0,15,0.0,0,27,6,100.0,27,107.7,7,25.9,0,69,30,5.0,11.5,2.56
Mitchell Evans,147486,TE,NOTRE DAME,1,8,0,258,8.0,0,80.0,66.7,2,3,0.0,0,3,0,74.9,76.5,0,32,0.0,0,19,4,100.0,19,107.5,5,26.3,0,49,16,4.0,12.3,2.58,0,7.3,0,33.3,0.0,0,1,50.0,1,0,0,24.9,55.5,1,9,7.1,1,14,1,92.9,13,2.8,3,23.1,0,9,7,7.0,9.0,0.69
Emeka Egbuka,145055,WR,OHIO STATE,1,7,0,260,,0,,,0,0,,0,0,0,,58.3,0,0,0.0,0,2,0,100.0,2,0.0,0,0.0,0,0,0,,,0.0,0,10.0,1,83.3,50.0,1,2,16.7,1,4,0,50.3,69.8,0,14,0.0,0,29,5,93.1,27,102.1,6,22.2,0,51,21,4.2,10.2,1.89
Quintrevion Wisner,176190,HB,TEXAS,1,7,0,311,-3.0,1,100.0,,0,0,0.0,0,1,0,66.7,73.7,0,14,28.6,2,7,1,57.1,4,118.8,1,25.0,0,14,17,17.0,14.0,3.5,0,-2.2,2,80.0,,0,0,20.0,1,1,0,45.9,57.2,0,11,6.7,1,15,4,93.3,14,85.8,5,35.7,0,23,34,8.5,5.8,1.64
Jaden Greathouse,171085,WR,NOTRE DAME,1,7,0,258,11.3,0,100.0,100.0,1,1,0.0,0,3,0,74.9,77.3,0,54,0.0,0,21,4,95.2,20,158.3,4,20.0,1,92,47,11.8,23.0,4.6,0,2.7,0,100.0,100.0,1,1,0.0,0,1,0,73.1,64.4,0,6,0.0,0,11,3,100.0,11,84.7,3,27.3,0,13,5,1.7,4.3,1.18
Tyler Warren,129798,TE,PENN STATE,1,7,0,266,5.4,1,100.0,,0,0,0.0,0,4,0,76.3,80.7,0,27,0.0,0,19,5,89.5,17,118.8,5,29.4,0,72,45,9.0,14.4,4.24,0,17.0,0,0.0,,0,0,,0,0,0,,44.4,0,0,0.0,0,7,0,85.7,6,39.6,1,16.7,0,0,0,,,0.0
Ryan Wingo,184520,WR,TEXAS,1,6,0,311,,0,,,0,0,,0,0,0,16.4,45.9,0,0,0.0,0,7,0,71.4,5,0.0,0,0.0,0,0,0,,,0.0,0,10.5,0,25.0,,0,0,0.0,0,1,0,66.7,57.4,1,22,0.0,0,24,1,100.0,24,10.4,4,16.7,0,22,26,26.0,22.0,0.92
Jaydon Blue,157303,HB,TEXAS,1,6,0,311,13.0,1,100.0,,0,0,0.0,0,1,0,66.7,89.1,0,26,0.0,0,2,1,100.0,2,158.3,1,50.0,1,26,13,13.0,26.0,13.0,0,9.5,0,75.0,100.0,1,1,25.0,1,1,0,40.2,53.9,0,18,0.0,0,12,3,100.0,12,134.4,4,33.3,1,29,8,2.7,9.7,2.42
Nicholas Singleton,164188,HB,PENN STATE,1,6,0,266,7.0,0,20.0,,0,0,50.0,1,0,0,24.5,38.6,0,10,21.4,3,14,1,78.6,11,39.6,5,45.5,0,10,13,13.0,10.0,0.91,0,-3.0,0,100.0,,0,0,0.0,0,1,0,66.7,73.5,0,23,0.0,0,5,1,100.0,5,118.8,1,20.0,0,23,26,26.0,23.0,4.6
DeAndre Moore Jr.,173164,WR,TEXAS,1,6,0,311,0.5,0,100.0,,0,0,0.0,0,0,0,70.7,58.3,0,4,0.0,0,8,2,87.5,7,79.2,2,28.6,0,6,5,2.5,3.0,0.86,0,18.3,0,66.7,,0,0,0.0,0,1,0,70.7,60.4,0,15,0.0,0,18,2,100.0,18,92.4,3,16.7,0,25,12,6.0,12.5,1.39
Aneyas Williams,184108,HB,NOTRE DAME,1,5,0,258,8.0,0,100.0,,0,0,0.0,0,2,0,73.1,91.1,0,36,26.7,4,15,3,73.3,11,118.8,3,27.3,0,45,21,7.0,15.0,4.09,0,4.0,0,100.0,,0,0,0.0,0,0,0,70.7,86.2,0,12,37.5,3,8,2,62.5,5,110.4,2,40.0,0,21,13,6.5,10.5,4.2
Gee Scott Jr.,129756,TE,OHIO STATE,1,5,0,260,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,4.3,0,100.0,,0,0,0.0,0,1,0,74.9,61.8,0,14,5.3,1,19,4,84.2,16,90.6,4,25.0,0,23,6,1.5,5.8,1.44
Quinshon Judkins,157128,HB,OHIO STATE,1,3,0,260,,0,,,0,0,,0,0,0,,60.0,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-1.0,1,100.0,,0,0,0.0,0,1,0,70.7,71.9,0,11,30.8,4,13,2,61.5,8,102.1,2,25.0,0,17,19,9.5,8.5,2.13
