player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Jeremiah Smith,183710,WR,OHIO STATE,1,7,0,260,8.0,0,60.0,0.0,0,1,0.0,0,3,0,73.1,77.2,0,56,0.0,0,15,3,93.3,14,143.8,5,35.7,1,71,37,12.3,23.7,5.07,0,4.5,0,100.0,,0,0,0.0,0,1,0,70.7,63.5,0,15,0.0,0,10,2,90.0,9,102.1,2,22.2,0,17,8,4.0,8.5,1.89
Jaden Greathouse,171085,WR,NOTRE DAME,1,7,0,258,17.0,2,100.0,100.0,2,2,0.0,0,2,0,70.7,89.6,0,34,0.0,0,10,2,90.0,9,158.3,2,22.2,2,64,30,15.0,32.0,7.11,0,5.0,0,100.0,,0,0,0.0,0,1,0,70.7,60.5,0,11,0.0,0,17,2,94.1,16,102.1,2,12.5,0,17,7,3.5,8.5,1.06
Emeka Egbuka,145055,WR,OHIO STATE,1,6,0,260,4.7,0,100.0,,0,0,0.0,0,0,0,73.1,56.3,0,7,0.0,0,15,3,93.3,14,88.9,3,21.4,0,16,2,0.7,5.3,1.14,0,2.3,2,100.0,,0,0,0.0,0,1,1,74.9,71.8,0,24,0.0,0,9,3,88.9,8,118.8,3,37.5,0,48,41,13.7,16.0,6.0
Mitchell Evans,147486,TE,NOTRE DAME,1,5,0,258,12.0,0,0.0,,0,0,,0,0,0,,53.8,0,0,0.0,0,10,0,80.0,8,39.6,1,12.5,0,0,0,,,0.0,0,6.3,2,100.0,,0,0,0.0,0,1,0,73.1,67.7,0,33,0.0,0,15,3,86.7,13,118.8,3,23.1,0,45,26,8.7,15.0,3.46
Beaux Collins,144112,WR,NOTRE DAME,1,5,0,258,8.5,0,50.0,,0,0,0.0,0,1,0,66.7,64.9,0,12,0.0,0,7,1,85.7,6,68.8,2,33.3,0,12,-1,-1.0,12.0,2.0,0,0.3,0,100.0,,0,0,0.0,0,1,0,74.9,66.2,0,10,0.0,0,18,3,88.9,16,94.4,3,18.8,0,20,19,6.3,6.7,1.25
Kris Mitchell,97659,WR,NOTRE DAME,1,4,0,258,13.0,0,0.0,,0,0,,0,0,0,,55.2,0,0,0.0,0,8,0,87.5,7,39.6,1,14.3,0,0,0,,,0.0,0,3.3,0,66.7,,0,0,0.0,0,2,0,70.7,70.3,0,10,0.0,0,10,2,100.0,10,79.9,3,30.0,0,16,12,6.0,8.0,1.6
Carnell Tate,170273,WR,OHIO STATE,1,3,0,260,23.5,0,50.0,,0,0,0.0,0,1,0,66.7,61.1,0,15,0.0,0,14,1,92.9,13,75.0,2,15.4,0,15,0,0.0,15.0,1.15,0,,0,,,0,0,,0,0,0,,55.1,0,0,0.0,0,7,0,100.0,7,0.0,0,0.0,0,0,0,,,0.0
Jordan Faison,171081,WR,NOTRE DAME,1,2,0,258,3.0,0,100.0,,0,0,0.0,0,0,0,66.7,57.8,0,6,0.0,0,4,1,75.0,3,91.7,1,33.3,0,6,3,3.0,6.0,2.0,0,,0,,,0,0,,0,0,0,,54.9,0,0,0.0,0,9,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0
Quinshon Judkins,157128,HB,OHIO STATE,1,2,0,260,,0,,,0,0,,0,0,0,,58.8,0,0,33.3,1,3,0,66.7,2,0.0,0,0.0,0,0,0,,,0.0,0,-3.0,1,100.0,,0,0,0.0,0,1,0,66.7,77.3,0,15,0.0,0,2,1,100.0,2,118.8,1,50.0,0,15,18,18.0,15.0,7.5
Jeremiyah Love,171090,HB,NOTRE DAME,1,2,0,258,,0,,,0,0,,0,0,0,,57.8,0,0,57.1,4,7,0,42.9,3,0.0,0,0.0,0,0,0,,,0.0,0,-5.0,0,100.0,,0,0,0.0,0,0,0,66.7,70.2,0,7,20.0,2,10,1,80.0,8,95.8,1,12.5,0,7,12,12.0,7.0,0.88
Eli Raridon,156970,TE,NOTRE DAME,1,2,0,258,2.0,0,100.0,,0,0,0.0,0,0,0,66.7,59.7,0,6,33.3,1,3,1,66.7,2,91.7,1,50.0,0,6,4,4.0,6.0,3.0,0,9.0,0,100.0,,0,0,0.0,0,1,0,66.7,68.4,0,14,0.0,0,5,1,80.0,4,118.8,1,25.0,0,14,5,5.0,14.0,3.5
Jayden Harrison,98556,WR,NOTRE DAME,1,1,0,258,,0,,,0,0,,0,0,0,,59.1,0,0,0.0,0,1,0,0.0,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
TreVeyon Henderson,145059,HB,OHIO STATE,1,1,0,260,14.0,0,0.0,0.0,0,1,,0,0,0,,56.1,0,0,33.3,4,12,0,58.3,7,39.6,1,14.3,0,0,0,,,0.0,0,,0,,,0,0,,0,0,0,,54.9,0,0,37.5,3,8,0,62.5,5,0.0,0,0.0,0,0,0,,,0.0
