player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
DeAndre Moore Jr.,173164,WR,TEXAS,1,13,0,311,8.6,0,71.4,100.0,4,4,0.0,0,2,0,76.3,83.1,0,22,0.0,0,16,5,87.5,14,90.8,7,50.0,0,49,24,4.8,9.8,3.5,0,7.5,2,66.7,100.0,1,1,20.0,1,2,0,45.4,69.7,0,41,0.0,0,19,4,94.7,18,142.4,6,33.3,1,65,43,10.8,16.3,3.61
Ricky White,129639,WR,UNLV,1,12,0,325,13.5,0,25.0,0.0,0,1,0.0,0,0,0,66.7,55.6,0,3,0.0,0,10,1,100.0,10,39.6,4,40.0,0,3,4,4.0,3.0,0.3,0,8.4,2,42.9,,0,0,0.0,0,0,0,73.1,54.8,0,9,0.0,0,26,3,100.0,26,50.3,7,26.9,0,18,5,1.7,6.0,0.69
Tez Johnson,123709,WR,OREGON,1,12,0,264,5.0,0,100.0,,0,0,0.0,0,1,0,73.1,68.6,0,16,0.0,0,8,3,100.0,8,105.6,3,37.5,0,28,13,4.3,9.3,3.5,0,3.1,4,85.7,,0,0,14.3,1,4,0,53.4,84.7,0,31,0.0,0,15,6,100.0,15,118.8,7,46.7,0,96,70,11.7,16.0,6.4
Matthew Golden,156165,WR,TEXAS,1,12,0,311,9.5,1,50.0,0.0,0,1,0.0,0,1,0,66.7,65.1,1,25,0.0,0,16,1,93.8,15,56.3,2,13.3,0,25,17,17.0,25.0,1.67,0,16.3,0,66.7,33.3,1,3,25.0,2,4,0,33.8,70.0,0,50,0.0,0,25,6,96.0,24,109.7,9,37.5,0,124,38,6.3,20.7,5.17
Tyler Warren,129798,TE,PENN STATE,1,12,0,266,10.1,1,62.5,,0,0,16.7,1,3,0,49.8,71.5,0,28,0.0,0,20,5,95.0,19,80.7,8,42.1,0,51,20,4.0,10.2,2.68,0,6.7,1,33.3,,0,0,0.0,0,1,0,66.7,59.1,0,19,0.0,0,19,1,100.0,19,56.3,3,15.8,0,19,15,15.0,19.0,1.0
Brashard Smith,143951,HB,SMU,1,11,0,287,,0,,,0,0,,0,0,0,,57.1,0,0,50.0,4,8,0,50.0,4,0.0,0,0.0,0,0,0,,,0.0,0,2.7,0,60.0,0.0,0,1,25.0,2,3,0,33.4,49.6,0,7,13.9,5,36,6,80.6,29,64.6,10,34.5,0,28,25,4.2,4.7,0.97
Bryant Wesco Jr.,183206,WR,CLEMSON,1,11,0,140,8.0,0,100.0,100.0,1,1,0.0,0,0,0,66.7,62.7,0,8,0.0,0,11,1,100.0,11,100.0,1,9.1,0,8,0,0.0,8.0,0.73,0,13.7,1,70.0,50.0,1,2,0.0,0,6,0,78.5,77.8,0,43,0.0,0,33,7,97.0,32,152.1,10,31.3,2,134,67,9.6,19.1,4.19
Roderick Daniels Jr.,144356,WR,SMU,1,10,0,287,22.0,0,100.0,,0,0,0.0,0,2,0,70.7,78.3,0,37,0.0,0,9,2,100.0,9,158.3,2,22.2,1,41,2,1.0,20.5,4.56,0,5.3,1,85.7,,0,0,14.3,1,4,0,53.4,62.2,0,19,0.0,0,42,6,95.2,40,100.0,7,17.5,0,56,25,4.2,9.3,1.4
Easton Messer,163051,WR,W KENTUCKY,1,10,0,346,10.7,0,57.1,0.0,0,1,0.0,0,2,0,74.9,66.2,0,21,0.0,0,19,4,94.7,18,80.7,7,38.9,0,52,23,5.8,13.0,2.89,0,8.5,0,100.0,,0,0,0.0,0,1,0,70.7,58.2,0,21,0.0,0,8,2,100.0,8,118.8,2,25.0,0,26,9,4.5,13.0,3.25
Jayden Higgins,150240,WR,IOWA STATE,1,10,0,193,16.0,0,60.0,100.0,1,1,0.0,0,3,0,73.1,81.5,0,25,0.0,0,11,3,100.0,11,98.8,5,45.5,0,56,6,2.0,18.7,5.09,0,12.3,0,100.0,100.0,2,2,0.0,0,2,0,73.1,69.7,0,18,0.0,0,18,3,88.9,16,118.8,3,18.8,0,40,3,1.0,13.3,2.5
Javon Tracy,158028,WR,MIAMI OH,1,10,0,221,34.0,0,0.0,,0,0,,0,0,0,,56.8,0,0,25.0,1,4,0,75.0,3,39.6,1,33.3,0,0,0,,,0.0,0,4.0,2,77.8,50.0,1,2,0.0,0,3,0,78.5,74.5,0,15,4.5,1,22,7,95.5,21,93.5,9,42.9,0,58,32,4.6,8.3,2.76
Mario Williams,144620,WR,TULANE,1,10,0,319,,0,,,0,0,,0,0,0,,59.9,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,11.2,3,60.0,0.0,0,1,0.0,0,2,0,73.1,71.7,0,42,0.0,0,20,3,100.0,20,143.8,5,25.0,1,75,65,21.7,25.0,3.75
Chase Hendricks,171348,WR,OHIO,1,10,0,259,,0,,,0,0,,0,0,0,,54.4,0,0,0.0,0,10,0,90.0,9,0.0,0,0.0,0,0,0,,,0.0,0,8.5,0,70.0,66.7,2,3,22.2,2,3,0,37.6,61.1,0,17,0.0,0,20,7,100.0,20,85.8,10,50.0,0,61,11,1.6,8.7,3.05
Coleman Owen,104969,WR,OHIO,1,9,0,259,16.0,0,50.0,66.7,2,3,0.0,0,2,0,73.1,82.0,0,25,0.0,0,11,3,90.9,10,111.8,6,60.0,1,41,6,2.0,13.7,4.1,0,14.0,0,66.7,0.0,0,1,0.0,0,1,0,70.7,64.4,0,23,0.0,0,18,2,100.0,18,102.1,3,16.7,0,32,11,5.5,16.0,1.78
T.J. Moore,189369,WR,CLEMSON,1,8,0,140,9.0,0,0.0,0.0,0,2,100.0,2,0,0,2.7,39.8,0,0,0.0,0,10,0,100.0,10,39.6,3,30.0,0,0,0,,,0.0,0,8.0,0,60.0,0.0,0,1,0.0,0,2,0,73.1,64.7,0,12,0.0,0,20,3,100.0,20,77.9,5,25.0,0,31,6,2.0,10.3,1.55
