player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Na'eem Abdul-Rahim Gladding,190053,WR,DOMINION,1,17,0,263,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Eric McAlister,145976,WR,TCU,1,17,0,305,16.8,1,50.0,100.0,1,1,0.0,0,2,1,70.7,43.3,0,12,0.0,0,10,2,90.0,9,67.7,4,44.4,0,23,13,6.5,11.5,2.56,0,10.4,1,50.0,50.0,1,2,20.0,1,4,0,45.4,75.5,0,28,0.0,0,24,4,95.8,23,83.3,8,34.8,0,76,53,13.3,19.0,3.3
Chauncy Cobb,172187,WR,ARK STATE,1,14,0,113,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Parker Kingston,163251,WR,BYU,1,13,0,128,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Jaden Barnes,173738,WR,APP STATE,1,13,0,108,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Germie Bernard,158374,WR,ALABAMA,1,13,0,103,17.3,0,50.0,50.0,1,2,0.0,0,2,0,70.7,64.1,0,13,0.0,0,16,2,100.0,16,101.0,4,25.0,1,17,6,3.0,8.5,1.06,0,14.9,0,28.6,33.3,1,3,33.3,1,2,0,31.6,56.0,0,11,0.0,0,29,2,93.1,27,39.6,7,25.9,0,14,5,2.5,7.0,0.52
Kajiya Hollawayne,146386,WR,TEMPLE,1,13,0,306,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Donovan Faupel,175668,WR,NEW MEX ST,1,13,0,242,,0,,,0,0,,0,0,0,,56.9,0,0,0.0,0,3,0,100.0,3,0.0,0,0.0,0,0,0,,,0.0,0,7.3,0,80.0,0.0,0,1,0.0,0,4,0,79.3,68.8,1,14,0.0,0,22,8,95.5,21,50.4,10,47.6,0,56,15,1.9,7.0,2.67
Denzel Boston,162481,WR,WASHINGTON,1,13,0,340,11.0,0,100.0,100.0,1,1,0.0,0,3,0,73.1,81.0,0,17,0.0,0,8,3,87.5,7,145.1,3,42.9,1,28,2,0.7,9.3,4.0,0,10.4,1,62.5,,0,0,0.0,0,4,0,76.3,74.2,0,24,0.0,0,23,5,95.7,22,94.8,8,36.4,0,78,66,13.2,15.6,3.55
Ronnel Johnson,178430,WR,MO STATE,1,12,0,230,9.8,0,50.0,33.3,1,3,0.0,0,2,0,70.7,58.0,0,8,0.0,0,13,2,92.3,12,99.0,4,33.3,1,15,1,0.5,7.5,1.25,0,13.8,0,50.0,,0,0,20.0,1,2,0,45.4,62.4,1,35,0.0,0,25,4,96.0,24,47.9,8,33.3,0,84,16,4.0,21.0,3.5
Ryan Wingo,184520,WR,TEXAS,1,12,0,311,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Nik McMillan,157951,WR,BUFFALO,1,12,0,126,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Cam Vaughn,170441,WR,W VIRGINIA,1,12,0,343,25.3,0,25.0,,0,0,0.0,0,1,0,66.7,70.7,0,29,0.0,0,9,1,100.0,9,57.3,4,44.4,0,29,6,6.0,29.0,3.22,0,10.0,3,62.5,33.3,1,3,0.0,0,3,0,76.3,67.1,0,16,0.0,0,33,5,93.9,31,83.3,8,25.8,0,56,31,6.2,11.2,1.81
Wyatt Young,190632,WR,N TEXAS,1,12,0,251,4.5,2,75.0,,0,0,0.0,0,2,0,73.1,79.2,0,70,0.0,0,8,3,100.0,8,156.3,4,50.0,1,83,71,23.7,27.7,10.38,0,5.3,3,75.0,,0,0,25.0,2,4,0,33.8,71.1,0,40,0.0,0,30,6,100.0,30,116.7,8,26.7,0,107,67,11.2,17.8,3.57
Nick Marsh,183541,WR,MICH STATE,1,12,0,223,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Junior Vandeross III,163156,WR,TOLEDO,1,12,0,316,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
Isaiah Sategna III,163642,WR,OKLAHOMA,1,11,0,261,18.0,0,75.0,50.0,1,2,0.0,0,2,0,73.1,73.8,0,39,0.0,0,9,3,100.0,9,116.7,4,44.4,0,50,7,2.3,16.7,5.56,0,16.2,0,33.3,0.0,0,2,0.0,0,1,0,70.7,62.9,0,76,0.0,0,22,2,81.8,18,121.5,6,33.3,1,77,67,33.5,38.5,4.28
Josiah Freeman,163398,WR,FRESNO ST,1,11,0,169,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,,0,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,,0,0,0,,,
