player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cale Hellums,170981,QB,ARMY,2,49,6,1,9.9,16,0,105,0,0,4,71,17.8,4,19,114,0,20,79.7,70.7,78.2,46.0,,55.9,72.9,60.0,16,0,0,0,1,70,56,9,0,40,3,161,88,1.8,3.3,0.0,5
Rashod Dubinion,157020,HB,APP STATE,2,47,13,3,20.9,62,0,296,0,1,13,205,115.2,7,14,108,3,27,37.1,80.4,80.3,,81.5,63.0,80.8,77.8,26,0,34,6,58,54,0,0,7,53,1,296,205,4.36,6.3,0.59,20
Kentrel Bullock,124129,HB,S ALABAMA,2,47,12,1,8.5,20,0,234,0,1,12,141,81.2,9,14,288,1,30,58.0,73.3,78.3,,39.4,55.7,72.7,70.4,20,0,-2,1,20,55,0,0,1,48,3,234,141,3.0,5.0,-0.1,16
Devin Mockobee,145111,HB,PURDUE,2,46,12,0,0.0,0,0,185,0,2,12,147,89.5,5,15,273,1,30,57.4,73.8,79.9,,36.4,67.9,73.4,59.4,13,0,66,4,34,51,0,0,4,50,3,185,147,3.2,4.0,1.94,16
Cam Cook,173133,HB,JVILLE ST,2,45,17,5,43.3,117,0,270,0,1,17,180,146.9,9,12,196,0,9,82.0,82.8,80.3,,73.5,67.2,82.0,65.2,31,0,43,4,33,70,0,0,4,49,2,270,180,4.0,6.0,1.3,36
Bryson Washington,174649,HB,BAYLOR,2,45,5,2,19.5,33,0,169,0,0,5,107,23.8,4,12,118,0,10,81.6,67.5,80.3,,61.4,53.9,70.7,60.0,18,0,13,5,60,47,0,0,8,50,2,169,107,2.38,3.8,0.22,31
Kewan Lacy,190221,HB,OLE MISS,2,44,22,5,53.7,132,0,246,0,1,22,164,190.5,6,16,226,0,22,81.6,80.6,79.7,,81.7,53.5,81.1,65.6,42,0,4,1,36,61,0,0,1,45,4,246,164,3.73,5.6,0.11,22
Bryson Donelson,191080,HB,FRESNO ST,3,41,5,4,39.1,92,0,235,1,1,5,138,43.0,7,10,169,1,28,55.4,73.1,78.8,,52.0,57.9,72.7,79.2,31,0,68,6,36,43,0,0,8,47,1,235,138,3.37,5.7,1.89,11
Dominic Richardson,122985,HB,TULSA,2,40,9,3,44.3,104,0,235,0,0,9,152,77.7,4,10,320,0,13,81.0,73.1,79.3,,52.8,57.9,73.8,71.0,57,0,26,4,36,47,0,0,5,44,1,235,152,3.8,5.9,0.72,27
Anthony Hankerson,157691,HB,OREGON ST,2,39,7,3,36.7,66,0,180,1,2,7,116,62.3,6,9,265,0,18,81.0,61.8,80.7,,51.2,47.2,65.5,69.3,26,0,22,4,50,49,0,0,8,43,1,180,116,2.97,4.6,0.44,20
Hollywood Smothers,173719,HB,NC STATE,2,39,14,2,35.2,76,0,216,0,3,14,202,195.7,6,9,248,0,17,80.8,78.8,79.3,,27.0,62.9,81.5,66.7,57,0,43,6,36,52,0,0,7,45,3,216,202,5.18,5.5,1.19,19
Jalen Buckley,163158,HB,W MICHIGAN,2,39,3,1,19.5,26,0,133,1,0,3,115,19.7,2,9,347,1,26,80.5,67.3,79.8,,74.0,57.6,68.5,54.0,26,0,58,6,32,53,0,0,8,45,0,133,115,2.95,3.4,1.81,12
Jonah Coleman,158717,HB,WASHINGTON,2,39,11,6,44.1,127,0,288,0,0,11,228,156.8,10,19,340,0,4,80.9,86.9,79.8,,48.1,60.4,89.4,47.4,38,0,46,2,29,44,0,0,3,41,7,288,228,5.85,7.4,1.59,34
