player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Brashard Smith,143951,HB,SMU,1,17,3,1,25.4,16,0,63,0,2,3,35,49.0,1,3,287,0,5,76.2,63.0,76.8,,53.1,66.7,61.4,57.5,16,0,24,4,23,20,0,0,6,21,0,63,35,2.06,3.7,1.04,11
Nico Iamaleava,174728,QB,TENNESSEE,1,16,4,0,0.0,0,0,35,0,0,1,18,36.7,2,7,307,1,0,71.9,61.5,77.0,56.8,,,64.7,60.0,14,0,0,0,0,26,47,9,0,7,2,82,81,5.06,5.1,,5
Quintrevion Wisner,176190,HB,TEXAS,1,15,3,3,51.8,57,0,110,0,0,3,47,55.3,4,6,311,0,4,75.2,76.2,75.1,,73.9,57.8,77.2,60.0,22,0,0,2,12,16,0,0,3,17,2,110,47,3.13,7.3,0.0,11
Jaydon Blue,157303,HB,TEXAS,1,14,3,2,78.8,115,0,146,0,1,3,103,183.9,2,3,311,0,5,74.8,74.9,76.7,,72.8,66.1,74.9,58.7,77,0,31,2,13,20,0,0,2,16,2,146,103,7.36,10.4,2.38,9
Nicholas Singleton,164188,HB,PENN STATE,1,14,3,2,40.0,36,0,90,2,1,3,62,110.7,3,5,266,0,6,75.0,59.9,76.9,,77.3,38.0,69.3,60.0,18,0,7,2,18,16,0,0,5,16,1,90,62,4.43,6.4,0.39,8
Jadarian Price,156985,HB,NOTRE DAME,1,11,2,1,62.5,20,0,32,0,0,2,31,47.0,1,1,258,0,4,73.6,59.6,74.2,,20.5,62.6,61.1,60.0,20,0,8,1,5,14,0,0,1,12,0,32,31,2.82,2.9,1.6,7
Justice Ellison,123383,HB,INDIANA,1,11,0,1,40.5,15,0,37,0,1,0,15,10.5,2,4,190,0,8,74.1,59.4,76.1,,26.7,58.9,62.4,59.3,15,0,6,2,20,14,0,0,2,13,0,37,15,1.36,3.4,0.3,3
Kaytron Allen,164158,HB,PENN STATE,1,11,3,2,60.0,42,0,70,0,0,3,49,102.8,2,5,266,0,5,73.8,74.6,76.2,,21.0,64.9,74.4,74.9,25,0,28,2,10,14,0,0,3,13,2,70,49,4.45,6.4,2.8,6
Ty Son Lawton,78578,HB,INDIANA,1,10,2,1,64.7,22,0,34,0,0,2,13,23.6,1,1,190,0,3,73.6,65.5,72.9,,35.0,75.7,62.1,,22,0,10,1,6,11,0,0,1,11,0,34,13,1.3,3.4,1.67,7
TreVeyon Henderson,145059,HB,OHIO STATE,1,10,4,3,85.0,68,0,80,0,1,4,59,210.7,3,4,260,0,8,73.5,86.1,73.9,,67.6,88.1,79.3,59.4,29,0,54,4,14,13,0,0,4,14,2,80,59,5.9,8.0,3.86,2
