player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Desmond Reid,159936,HB,PITTSBURGH,1,33,13,2,23.1,39,0,169,1,1,13,98,109.4,5,9,268,0,13,81.2,76.0,79.4,,36.7,61.3,77.3,66.0,22,0,15,5,23,52,0,0,6,38,1,169,98,2.97,5.1,0.65,20
Cam Skattebo,147787,HB,ARIZONA ST,1,30,10,2,33.6,48,0,143,1,0,10,117,105.4,4,11,110,0,9,79.4,80.7,80.0,77.9,27.2,76.7,79.0,55.1,33,0,37,7,39,40,0,0,10,37,2,143,117,3.9,4.8,0.95,21
Ashton Jeanty,157196,HB,BOISE ST,1,30,16,1,26.3,26,0,99,0,3,16,81,155.5,3,4,120,2,15,25.8,61.4,78.0,,68.2,64.5,60.2,59.8,26,0,22,3,33,32,0,0,3,33,0,99,81,2.7,3.3,0.67,15
Bryson Daily,147303,QB,ARMY,1,28,0,1,11.9,15,0,126,0,0,0,56,0.0,2,13,114,0,7,78.0,75.3,77.2,47.3,,,78.0,60.0,15,0,0,0,0,64,0,0,0,28,3,126,56,2.0,4.5,,17
Anthony Tyus III,145037,HB,OHIO,1,27,5,1,16.5,17,0,103,0,0,5,40,24.7,5,8,259,2,14,25.2,60.1,79.3,,55.9,77.2,57.4,56.1,17,0,34,3,25,37,0,0,3,30,0,103,40,1.48,3.8,1.36,13
Jordan Marshall,190837,HB,MICHIGAN,1,24,12,1,27.6,24,0,87,1,0,12,82,170.8,2,4,222,0,11,77.8,78.4,76.3,,77.1,36.3,80.6,60.0,24,0,0,0,11,28,0,0,1,24,0,87,82,3.42,3.6,0.0,12
CJ Donaldson,157372,HB,W VIRGINIA,1,22,2,0,0.0,0,0,83,0,0,2,39,14.8,2,8,343,2,10,22.1,57.2,78.5,,31.9,53.3,60.1,60.0,13,0,11,2,28,25,0,0,2,24,2,83,39,1.77,3.8,0.39,12
Al-Jay Henderson,145676,HB,BUFFALO,1,21,1,1,37.8,45,0,119,0,0,1,39,8.1,3,5,126,0,1,77.3,62.7,75.9,,52.3,69.3,62.5,55.0,45,0,36,2,11,34,0,0,2,23,1,119,39,1.86,5.7,3.27,20
Braydon Bennett,122318,HB,COAST CAR,1,21,1,0,0.0,0,0,55,1,4,1,40,38.1,1,3,141,0,11,77.0,63.3,0.0,59.4,50.7,65.8,64.7,59.1,10,1,28,4,21,27,0,0,5,25,0,55,40,1.9,2.6,1.33,10
Dawson Pendergrass,174637,HB,BAYLOR,1,21,2,0,0.0,0,0,63,0,2,2,43,34.1,1,4,118,0,10,77.0,66.4,76.8,,54.4,68.7,66.1,60.0,14,0,26,3,22,22,0,0,3,24,2,63,43,2.05,3.0,1.18,11
Lincoln Pare,121537,HB,TEXAS ST,1,21,4,3,79.7,114,0,143,0,4,4,111,169.1,3,6,314,0,13,77.3,77.6,0.0,,73.2,68.1,78.7,59.9,73,1,32,4,22,25,0,0,4,25,2,143,111,5.29,6.8,1.45,8
Braylen Russell,184393,HB,ARKANSAS,1,20,4,0,0.0,0,0,50,1,0,4,52,52.0,1,5,111,0,13,76.7,65.5,77.0,,24.8,30.5,70.5,58.9,11,0,0,0,10,25,0,0,2,20,1,50,52,2.6,2.5,0.0,7
Darius Taylor,173422,HB,MINNESOTA,1,20,6,2,41.6,47,0,113,2,2,6,67,111.7,3,7,225,0,0,76.7,69.3,77.6,72.6,83.1,38.1,73.6,60.0,28,0,17,4,22,24,0,0,7,24,1,113,67,3.35,5.7,0.77,20
Hayden Reed,163213,HB,ARMY,1,20,4,1,13.2,15,0,114,0,0,4,70,70.0,3,7,114,0,3,77.0,75.8,79.6,,55.6,,75.7,54.9,15,0,0,0,0,46,0,0,0,20,1,114,70,3.5,5.7,,1
Blake Horvath,162555,QB,NAVY,1,19,2,2,85.7,132,0,152,0,0,2,116,80.3,2,3,237,0,15,75.3,67.9,76.0,63.0,,54.3,66.0,60.0,95,0,0,0,1,40,2,2,0,17,2,154,123,6.47,8.1,0.0,1
Diego Pavia,156927,QB,VANDERBILT,1,19,8,1,18.5,15,0,49,0,0,4,29,51.6,4,6,333,0,8,74.2,75.0,18.7,68.2,,,71.5,60.0,16,3,0,0,0,32,32,4,0,15,2,81,54,2.84,4.3,,0
Isaac Brown,183312,HB,LOUISVILLE,1,18,3,3,65.7,65,0,99,0,0,3,60,55.6,3,4,210,0,10,76.2,68.0,75.7,,77.1,54.0,67.7,60.0,26,0,0,0,9,19,0,0,0,18,0,99,60,3.33,5.5,0.0,8
Avery Morrow,128240,HB,COLO STATE,1,18,2,0,0.0,0,0,50,0,2,2,47,49.7,2,2,144,1,2,33.3,54.5,76.7,,85.0,37.6,57.4,60.0,12,0,18,3,21,22,0,0,4,21,0,50,47,2.61,2.8,0.86,16
Dylan Edwards,171893,HB,KANSAS ST,1,18,5,3,73.5,144,0,196,1,0,5,89,123.6,5,5,199,0,15,76.2,70.6,76.1,,,46.9,78.0,58.7,65,0,27,2,22,24,0,0,7,20,2,196,89,4.94,10.9,1.23,3
Antwan Raymond,190489,HB,RUTGERS,1,18,5,2,78.8,89,0,113,0,1,5,51,89.5,2,5,278,0,4,76.2,71.9,75.5,,64.7,60.8,73.4,59.2,65,0,16,1,26,21,0,0,1,19,3,113,51,2.83,6.3,0.62,13
Quintrevion Wisner,176190,HB,TEXAS,1,18,3,0,0.0,0,0,45,0,0,3,33,25.0,0,2,311,1,7,32.7,61.4,76.9,,34.3,63.3,61.7,60.0,7,0,40,4,27,19,0,0,4,22,0,45,33,1.83,2.5,1.48,11
Telly Johnson Jr.,188420,HB,N ILLINOIS,1,18,2,1,28.6,16,0,56,0,1,2,40,35.1,2,5,254,0,11,76.2,60.3,76.5,,72.4,59.7,60.0,59.5,16,0,2,1,9,21,0,0,1,19,0,56,40,2.22,3.1,0.22,7
Julian Dugger,183269,QB,PITTSBURGH,1,18,5,1,14.8,17,0,85,0,0,3,39,52.0,3,9,268,2,9,33.4,80.2,76.8,50.4,,59.3,87.0,60.5,20,0,0,0,1,35,30,3,0,15,1,115,78,4.33,6.4,0.0,5
Jai'Den Thomas,174080,HB,UNLV,1,18,3,0,0.0,0,0,72,0,0,3,37,34.3,2,5,325,0,12,76.2,73.0,76.0,,74.9,53.7,73.5,59.0,11,0,0,0,11,24,0,0,1,18,0,72,37,2.06,4.0,0.0,6
Kaytron Allen,164158,HB,PENN STATE,1,17,6,2,34.3,46,0,134,0,0,6,89,184.8,4,7,266,0,8,75.8,90.1,75.8,,80.1,56.9,86.1,58.6,23,0,0,0,3,21,0,0,0,17,0,134,89,5.24,7.9,0.0,9
