player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Kaytron Allen,164158,HB,PENN STATE,1,19,5,1,24.4,20,0,82,0,1,5,50,78.9,2,4,266,0,5,76.5,69.2,75.9,,14.0,56.3,70.6,67.1,20,0,6,1,10,28,0,0,1,20,0,82,50,2.63,4.3,0.6,14
Quintrevion Wisner,176190,HB,TEXAS,1,17,4,0,0.0,0,0,46,1,3,4,33,59.1,1,4,311,0,9,75.9,68.0,76.8,,27.5,63.5,69.6,67.8,13,0,42,6,23,20,0,0,7,23,0,46,33,1.94,2.7,1.83,7
Riley Leonard,143862,QB,NOTRE DAME,1,17,1,0,0.0,0,0,28,0,0,1,23,11.7,0,6,258,0,6,73.9,64.0,23.3,64.9,,,61.9,60.0,6,1,0,0,0,35,13,3,0,14,1,41,26,1.53,2.4,,4
Nicholas Singleton,164188,HB,PENN STATE,1,15,4,0,0.0,0,0,84,1,0,4,45,70.6,2,6,266,0,7,75.5,63.7,0.0,,81.9,46.6,68.7,,13,1,33,2,16,15,0,0,6,17,3,84,45,3.0,5.6,2.06,8
Jeremiyah Love,171090,HB,NOTRE DAME,1,11,2,0,0.0,0,0,45,0,0,2,32,48.5,0,3,258,0,7,73.6,70.2,76.1,,30.2,57.8,72.9,53.8,9,0,6,1,7,23,0,0,1,12,1,45,32,2.91,4.1,0.86,4
Quinshon Judkins,157128,HB,OHIO STATE,1,9,5,0,0.0,0,0,36,0,1,5,35,194.4,0,3,260,0,5,73.2,75.9,75.2,,23.6,72.4,75.1,71.3,9,0,22,3,11,16,0,0,3,12,2,36,35,3.89,4.0,2.0,4
Jadarian Price,156985,HB,NOTRE DAME,1,7,2,0,0.0,0,0,13,0,0,2,10,40.8,1,1,258,0,1,71.3,62.1,72.0,,70.0,56.7,62.6,58.8,12,0,0,0,5,10,0,0,0,7,0,13,10,1.43,1.9,0.0,6
TreVeyon Henderson,145059,HB,OHIO STATE,1,6,1,1,52.4,22,0,42,0,0,1,29,69.0,1,2,260,0,4,70.7,69.8,0.0,,34.1,64.0,77.2,59.7,22,1,75,1,20,9,0,0,1,7,0,42,29,4.83,7.0,3.75,2
Will Howard,122599,QB,OHIO STATE,1,6,1,1,90.0,18,0,18,0,0,1,16,64.0,1,2,260,1,3,36.4,67.2,76.4,69.8,,,54.6,60.0,18,0,0,0,0,22,2,1,0,5,0,20,16,2.67,3.3,,0
Jaydon Blue,157303,HB,TEXAS,1,4,1,0,0.0,0,0,16,1,1,1,14,77.8,0,2,311,0,0,69.9,60.0,75.2,,,59.4,60.4,60.0,8,0,60,5,17,5,0,0,6,9,0,16,14,3.5,4.0,3.53,4
Drew Allar,164157,QB,PENN STATE,1,3,1,0,0.0,0,0,20,0,0,1,10,250.0,1,2,266,1,0,69.1,42.8,77.2,36.6,,59.9,65.6,60.5,11,0,-4,0,1,37,5,1,0,2,0,25,10,3.33,8.3,-4.0,1
Aneyas Williams,184108,HB,NOTRE DAME,1,2,0,1,88.2,15,0,17,0,0,0,6,0.0,1,1,258,0,0,68.1,68.3,75.0,,5.2,91.7,60.6,60.0,15,0,66,5,17,3,0,0,5,7,0,17,6,3.0,8.5,3.88,2
Tyler Warren,129798,TE,PENN STATE,1,2,2,0,0.0,0,0,12,0,1,0,7,100.0,1,1,266,0,1,67.6,75.4,79.1,,,72.9,69.2,60.5,12,0,72,6,25,34,9,1,7,7,0,21,24,12.0,10.5,2.88,0
Arch Manning,173162,QB,TEXAS,1,1,0,0,0.0,0,0,8,0,0,0,8,0.0,0,1,311,0,0,62.5,66.5,63.6,,,,62.7,,8,0,0,0,0,1,0,0,0,1,0,8,8,8.0,8.0,,0
Quinn Ewers,127253,QB,TEXAS,1,1,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,311,2,0,22.8,60.7,77.0,60.7,,,57.8,60.0,9,0,0,0,0,23,9,1,0,0,0,9,1,1.0,9.0,,0
Jerrick Gibson,184509,HB,TEXAS,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,311,0,1,62.5,58.6,67.0,,,59.5,59.8,,0,0,0,0,1,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0
Ryan Wingo,184520,WR,TEXAS,1,1,1,0,0.0,0,0,6,0,0,1,12,600.0,0,0,311,0,0,64.3,54.1,78.2,,,51.1,63.2,68.1,6,0,22,1,40,22,0,0,6,2,0,6,12,12.0,6.0,0.55,0
Jayden Thomas,147485,WR,NOTRE DAME,1,1,0,1,100.0,18,0,18,0,0,0,21,0.0,1,1,258,0,0,62.5,52.9,78.8,,,51.8,62.3,56.8,18,0,0,0,30,26,0,0,0,1,0,18,21,21.0,18.0,0.0,0
Emeka Egbuka,145055,WR,OHIO STATE,1,1,0,0,,0,0,0,2,1,0,4,66.7,0,0,260,0,0,68.3,63.6,78.0,,,64.2,59.6,55.5,0,0,51,5,33,16,0,0,7,6,0,0,4,4.0,0.0,1.55,1
