player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Riley Leonard,143862,QB,NOTRE DAME,1,15,1,0,0.0,0,0,40,0,0,1,30,17.8,0,6,258,0,8,73.7,77.5,76.5,73.3,,57.2,70.7,60.0,8,0,0,0,0,22,13,2,0,13,1,53,34,2.27,3.5,,3
Will Howard,122599,QB,OHIO STATE,1,14,0,0,0.0,0,0,39,0,0,0,23,0.0,3,8,260,0,8,73.3,88.8,76.6,85.5,,,72.3,60.0,11,0,0,0,0,37,22,2,0,12,0,61,25,1.79,4.4,,2
TreVeyon Henderson,145059,HB,OHIO STATE,1,12,4,1,38.8,19,0,49,0,0,4,37,102.8,1,1,260,0,5,74.1,73.3,75.6,,80.7,53.0,74.0,65.0,19,0,0,0,13,20,0,0,1,12,0,49,37,3.08,4.1,0.0,7
Quinshon Judkins,157128,HB,OHIO STATE,1,11,1,1,70.0,70,0,100,0,1,1,26,36.4,1,3,260,0,6,73.6,76.9,74.8,,72.5,83.4,70.6,56.7,70,0,21,2,5,16,0,0,2,13,2,100,26,2.36,9.1,4.2,5
Jeremiyah Love,171090,HB,NOTRE DAME,1,4,0,0,0.0,0,0,3,0,1,0,4,16.7,0,0,258,0,1,69.5,59.9,78.0,,80.1,74.8,53.5,53.8,2,0,5,2,16,16,0,0,2,6,0,3,4,1.0,0.8,0.31,3
Jadarian Price,156985,HB,NOTRE DAME,1,3,0,0,0.0,0,0,13,0,0,0,14,0.0,0,0,258,0,2,67.3,57.9,73.5,,0.0,54.2,64.7,58.9,9,0,0,0,5,6,0,0,0,3,0,13,14,4.67,4.3,0.0,1
Mitchell Evans,147486,TE,NOTRE DAME,1,1,0,0,,0,0,0,0,2,0,0,0.0,0,0,258,1,0,65.0,64.8,77.6,,,61.0,60.0,76.5,0,0,52,4,27,16,0,0,5,5,0,0,0,0.0,0.0,1.93,0
Jordan Faison,171081,WR,NOTRE DAME,1,1,0,0,0.0,0,0,1,1,0,0,1,0.0,0,0,258,0,1,64.8,52.2,76.7,75.8,,48.3,57.9,61.6,1,0,6,1,16,12,0,0,2,2,0,1,1,1.0,1.0,0.38,0
Emeka Egbuka,145055,WR,OHIO STATE,1,1,1,0,0.0,0,0,13,0,2,1,11,471.4,1,1,260,1,0,20.5,63.3,78.2,,,63.6,63.2,49.2,13,0,64,6,24,28,0,0,6,7,0,13,11,11.0,13.0,2.67,0
Jeremiah Smith,183710,WR,OHIO STATE,1,1,0,0,0.0,0,0,-5,0,0,0,1,0.0,0,0,260,0,1,67.0,74.4,79.2,,,73.0,59.7,73.7,-5,0,88,5,25,35,0,0,7,6,0,-5,1,1.0,-5.0,3.52,0
