player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ashton Jeanty,157196,HB,BOISE ST,1,32,11,2,44.5,93,0,209,0,1,11,194,214.0,5,10,120,0,19,79.6,82.3,78.2,,79.9,66.8,80.0,60.0,75,0,14,2,17,36,0,0,2,34,1,209,194,6.06,6.5,0.82,13
Anthony Tyus III,145037,HB,OHIO,1,27,4,1,13.9,21,0,151,0,0,4,83,42.4,3,13,259,0,13,78.4,79.4,78.3,,74.9,62.3,80.6,57.0,21,0,22,2,24,40,0,0,2,29,1,151,83,3.07,5.6,0.92,14
Tre Stewart,160817,HB,JVILLE ST,1,27,7,4,45.8,92,0,201,0,0,7,131,113.2,8,14,196,0,7,78.7,87.3,76.1,,75.6,77.1,83.3,70.1,31,0,54,3,10,49,0,0,4,30,3,201,131,4.85,7.4,5.4,20
Bryson Daily,147303,QB,ARMY,1,25,6,1,16.7,21,0,115,0,0,5,65,56.4,5,13,114,0,6,77.5,84.3,76.2,72.7,,,74.4,60.0,21,0,0,0,0,54,11,1,0,24,4,126,82,3.28,5.0,,15
Brashard Smith,143951,HB,SMU,1,23,1,1,18.3,20,0,109,2,0,1,55,8.0,4,8,287,0,3,77.6,64.2,77.5,,52.0,53.2,68.3,55.6,20,0,38,7,38,28,0,0,11,30,0,109,55,2.39,4.7,1.0,19
Tyler Huff,142567,QB,JVILLE ST,1,23,2,1,28.7,48,0,167,0,0,2,78,29.5,5,6,196,0,13,76.6,90.5,77.0,86.3,,,76.3,60.0,48,0,0,0,0,56,0,0,0,23,1,167,78,3.39,7.3,,9
Jordan James,163295,HB,OREGON,1,20,4,0,0.0,0,0,87,1,0,4,47,40.9,2,8,264,0,8,76.8,66.4,76.8,,76.1,50.6,69.2,59.1,12,0,20,3,17,24,0,0,4,23,2,87,47,2.35,4.4,1.18,12
Kanye Udoh,171024,HB,ARMY,1,20,3,2,56.3,89,0,158,0,0,3,118,88.5,4,7,114,0,6,76.7,76.5,78.2,,73.6,,74.7,60.1,72,0,0,0,0,39,0,0,0,20,1,158,118,5.9,7.9,,5
Elijah Young,124223,HB,W KENTUCKY,1,19,3,1,18.5,20,0,108,0,0,3,64,45.9,5,5,346,0,11,76.5,73.9,75.8,,82.1,58.8,74.6,,20,0,-9,3,16,19,0,0,3,22,0,108,64,3.37,5.7,-0.56,5
Quintrevion Wisner,176190,HB,TEXAS,1,19,0,1,29.4,15,0,51,0,0,0,38,0.0,2,2,311,0,12,76.8,66.3,78.4,,61.6,60.4,67.7,60.0,15,0,15,3,34,21,0,0,3,22,0,51,38,2.0,2.7,0.44,7
