player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Caleb Komolafe,176513,HB,NWESTERN,1,27,5,0,0.0,0,0,119,0,0,5,92,63.1,3,8,256,1,11,41.6,79.9,77.0,,78.4,57.1,76.8,,13,0,0,0,4,27,0,0,0,27,1,119,92,3.41,4.4,0.0,16
J'Mari Taylor,150482,HB,VIRGINIA,1,27,4,1,26.3,26,0,99,0,2,4,76,56.3,1,7,335,0,2,78.7,68.2,79.0,,42.0,74.8,64.8,72.8,26,0,16,3,26,29,0,0,3,30,1,99,76,2.81,3.7,0.62,25
Antwan Raymond,190489,HB,RUTGERS,1,26,12,4,47.8,77,0,161,0,0,12,117,200.0,7,13,278,0,0,78.2,82.7,77.2,,59.3,63.0,82.6,60.0,23,0,12,1,18,28,0,0,2,27,2,161,117,4.5,6.2,0.67,26
Kendrick Raphael,170378,HB,CAL,1,25,4,2,31.9,38,0,119,0,0,4,85,52.3,2,6,130,0,9,78.7,69.8,78.2,,38.7,55.8,71.5,60.0,20,0,3,1,18,30,0,0,1,26,1,119,85,3.4,4.8,0.17,15
Al-Jay Henderson,145676,HB,BUFFALO,1,25,3,0,0.0,0,0,57,1,1,3,53,30.3,0,7,126,1,2,77.8,63.5,76.8,,16.4,54.9,67.5,54.8,6,0,18,3,18,32,0,0,5,28,0,57,53,2.12,2.3,1.0,22
Ahmad Hardy,190013,HB,MISSOURI,1,24,12,3,37.7,49,0,130,0,0,12,86,179.2,4,9,229,0,12,77.8,87.9,78.3,,74.8,54.1,87.3,60.0,18,0,0,0,13,25,0,0,0,24,3,130,86,3.58,5.4,0.0,11
Anthony Hankerson,157691,HB,OREGON ST,1,23,4,0,0.0,0,0,74,0,0,4,41,31.0,1,6,265,1,6,37.9,57.8,76.3,,82.0,52.5,58.0,60.0,14,0,0,0,17,29,0,0,2,23,0,74,41,1.78,3.2,0.0,17
Fluff Bothwell,190075,HB,MISS STATE,1,23,7,3,37.3,50,0,134,1,0,7,78,98.9,4,10,227,0,18,77.5,62.2,76.7,,12.9,41.9,67.9,52.5,20,0,2,1,23,27,0,0,4,24,2,134,78,3.39,5.8,0.09,5
Kewan Lacy,190221,HB,OLE MISS,1,23,6,2,34.0,32,0,94,2,0,6,70,70.2,4,6,226,0,7,78.0,62.4,77.6,,53.7,47.0,66.9,58.4,17,0,21,3,24,34,0,0,5,26,1,94,70,3.04,4.1,0.88,16
Angel Flores,164493,QB,C MICHIGAN,1,22,4,1,27.6,37,0,134,0,0,4,78,64.5,3,10,134,0,18,77.0,79.0,73.4,65.1,,,72.1,60.0,37,0,0,0,0,24,0,0,0,22,0,134,78,3.55,6.1,,4
Le'Veon Moss,158664,HB,TEXAS A&M,1,22,6,2,42.3,58,0,137,0,0,6,107,132.6,5,6,312,0,7,77.5,75.3,73.9,,0.0,56.2,76.1,60.0,38,0,0,0,5,26,0,0,0,22,1,137,107,4.86,6.2,0.0,15
Cam Cook,173133,HB,JVILLE ST,1,22,5,1,19.5,15,0,77,0,3,5,47,65.7,1,7,196,1,6,38.6,62.8,78.7,,40.1,75.4,59.5,56.7,15,0,77,4,31,44,0,0,7,26,1,77,47,2.14,3.5,2.48,16
Demond Claiborne,157523,HB,WAKE,1,21,8,3,57.1,68,0,119,0,0,8,88,145.8,3,5,339,1,8,36.9,84.8,77.0,,24.2,66.4,85.7,66.8,27,0,9,2,22,30,0,0,3,23,2,119,88,4.19,5.7,0.41,13
Raleek Brown,158458,HB,ARIZONA ST,1,21,5,2,47.0,63,0,134,0,2,5,67,74.4,5,5,110,0,13,77.1,63.5,78.7,,32.9,70.5,62.3,,35,0,50,9,35,21,0,0,9,30,0,134,67,3.19,6.4,1.43,8
Haynes King,124329,QB,GA TECH,1,21,3,2,37.7,40,0,106,0,0,3,70,47.6,3,9,176,0,17,75.8,78.3,77.8,69.9,,,74.7,60.0,22,0,0,0,0,42,0,0,0,21,2,106,70,3.33,5.0,,2
Blake Horvath,162555,QB,NAVY,1,21,2,0,0.0,0,0,91,0,0,2,50,25.0,3,5,237,0,16,75.9,83.6,76.7,78.2,,,72.4,60.0,19,0,0,0,0,47,19,1,0,20,2,110,51,2.43,5.2,,3
